Participant,Resolution,Date of Adoption,Registration Date,Registration Number,UNTS Volume,UNTS Page
Afghanistan1,34 (I),9 Nov 1946,14 Dec 1946,7,1,39
Albania,995 (X),14 Dec 1955,14 Dec 1955,3043,223,23
Algeria,1745 (XVII),8 Oct 1962,11 Oct 1962,6336,442,37
Andorra,47/232,28 Jul 1993,28 Jul 1993,30158,1728,31
Angola3,31/44,1 Dec 1976,1 Sep 1978,16920,1102,205
Antigua and Barbuda,36/26,11 Nov 1981,11 Nov 1981,20564,1256,47
Armenia,46/227,2 Mar 1992,2 Mar 1992,28686,1668,201
Austria,995 (X),14 Dec 1955,14 Dec 1955,3044,223,27
Azerbaijan,46/230,2 Mar 1992,2 Mar 1992,28691,1668,221
Bahamas,3051 (XXVII),18 Sep 1973,18 Sep 1973,12760,891,109
Bahrain,2752 (XXVI),21 Sep 1971,21 Sep 1971,11351,797,77
Bangladesh,3203 (XXIX),17 Sep 1974,17 Sep 1974,13543,950,3
Barbados,21 75 (XXI),9 Dec 1966,9 Dec 1966,8437,581,131
Belize,36/3,25 Sep 1981,25 Sep 1981,20408,1252,59
Benin4,1481 (XV),20 Sep 1960,20 Sep 1960,5357,375,91
Bhutan,2751 (XXVI),21 Sep 1971,21 Sep 1971,11340,796,295
Bosnia and Herzegovina5,46/237,22 May 1992,22 May 1992,28937,1675,227
Botswana,2136 (XXI),17 Oct 1966,17 Oct 1966,8357,575,151
Brunei Darussalam,39/1,21 Sep 1984,21 Sep 1984,23093,1369,81
Bulgaria,995 (X),14 Dec 1955,14 Dec 1955,3045,223,31
Burkina Faso6,1483 (XV),20 Sep 1960,20 Sep 1960,5359,375,99
Burundi,1749 (XVII),18 Sep 1962,18 Sep 1962,6303,437,149
Cambodia7,995 (X),14 Dec 1955,14 Dec 1955,3046,223,35
Cameroon8,1467 (XV),20 Sep 1960,20 Sep 1960,5354,375,79
Cape Verde,3363 (XXX),16 Sep 1975,16 Sep 1975,14309,981,345
Central African Republic9,1488 (XV),20 Sep 1960,20 Sep 1960,5363,375,115
Chad,1485 (XV),20 Sep 1960,20 Sep 1960,5361,375,107
Comoros,3385 (XXX),12 Nov 1975,12 Nov 1975,14414,986,239
Congo10,1486 (XV),20 Sep 1960,20 Sep 1960,5362,375,111
Cte d'Ivoire11,1484 (XV),20 Sep 1960,20 Sep 1960,5360,375,103
Croatia5,46/238,22 May 1992,22 May 1992,28935,1675,219
Cyprus,1489 (XV),20 Sep 1960,9 Jun 1961,5711,397,283
Czech Republic12,47/221,19 Jan 1993,19 Jan 1993,29466,1703,199
Democratic People's Republic of Korea,46/1,17 Sep 1991,17 Sep 1991,28363,1649,297
Democratic Republic of the Congo13,1480 (XV),20 Sep 1960,2 Jan 1960,6022,418,157
Djibouti,32/1,20 Sep 1977,1 Sep 1978,16922,1102,213
Dominica,33/107,18 Dec 1978,18 Dec 1978,17409,1120,111
Equatorial Guinea,2384 (XXIII),12 Nov 1968,12 Nov 1968,9295,649,197
Eritrea,47/230,28 May 1993,28 May 1993,30068,1723,215
Estonia14,46/4,17 Sep 1991,17 Sep 1991,28368,1649,317
Fiji,2622 (XXV),13 Oct 1970,13 Oct 1970,10789,752,207
Finland,995 (X),14 Dec 1955,19 Dec 1955,3055,223,69
Gabon,1487 (XV),20 Sep 1960,7 Nov 1960,5436,379,99
Gambia,2008 (XX),21 Sep 1965,21 Sep 1965,7928,545,143
Georgia,46/241,31 Jul 1992,31 Jul 1992,29076,1684,37
Germany15,3050 (XXVIII),18 Sep 1973,18 Sep 1973,12759,891,105
Ghana,1118 (XI),8 Mar 1957,8 Mar 1957,3727,261,113
Grenada,3204 (XXIX),17 Sep 1974,7 Sep 1974,13544,950,7
Guinea,1325 (XIII),12 Dec 1958,12 Dec 1958,4595,317,77
Guinea-Bissau,3205 (XXIX),17 Sep 1974,17 Sep 1974,13545,950,11
Guyana,2133 (XXI),20 Sep 1966,20 Sep 1966,8316,572,225
Hungary,995 (X),14 Dec 1955,15 Dec 1955,3054,223,65
Iceland1,34 (I),9 Nov 1946,14 Dec 1946,8,1,41
Indonesia16,491 (V),28 Sep 1950,28 Sep 1950,916,71,153
Ireland,995 (X),14 Dec 1955,29 Nov 1956,3594,254,223
Israel,273 (III),11 May 1949,11 May 1949,448,30,53
Italy,995 (X),14 Dec 1955,9 Apr 1956,3217,231,175
Jamaica,1750 (XVII),18 Sep 1962,18 Sep 1962,6304,437,153
Japan,1113 (XI),18 Dec 1956,18 Dec 1956,3626,256,167
Jordan,995 (X),14 Dec 1955,14 Dec 1955,3048,223,43
Kazakhstan,46/224,2 Mar 1992,2 Mar 1992,28687,1668,205
Kenya,1976 (XVIII),16 Dec 1963,16 Dec 1963,7015,483,233
Kiribati,54/1,14 Sep 1999,14 Sep 1999,36932,2121,115
Kuwait,1872 (S-IV),14 May 1963,14 May 1963,6705,463,213
Kyrgyzstan,46/225,2 Mar 1992,2 Mar 1992,28688,1668,209
Lao People's Democratic Republic17,995 (X),14 Dec 1955,14 Dec 1955,3049,223,47
Latvia18,46/5,17 Sep 1991,17 Sep 1991,28369,1649,321
Lesotho,2137 (XXI),17 Oct 1966,17 Oct 1966,8358,575,155
Libyan Arab Jamahiriya19,995 (X),14 Dec 1955,14 Dec 1955,3050,223,51
Liechtenstein,45/1,18 Sep 1990,18 Sep 1990,27554,1578,319
Lithuania20,46/6,17 Sep 1991,17 Sep 1991,28367,1649,313
Madagascar,1478 (XV),20 Sep 1960,20 Sep 1960,5356,375,87
Malawi21,,1 Dec 1964,1 Dec 1964,7496,519,3
Malaysia22,1134 (XII),17 Sep 1957,17 Sep 1957,3995,277,3
Maldives23,2009 (XX),21 Sep 1965,21 Sep 1965,7929,545,147
Mali,1491 (XV),28 Sep 1960,28 Oct 1960,5412,377,361
Malta21,,1 Dec 1964,1 Dec 1964,7497,519,7
Marshall Islands,46/3,17 Sep 1991,17 Sep 1991,28366,1649,309
Mauritania,1631 (XVI),27 Oct 1961,26 Mar 1963,6576,457,59
Mauritius,2371 (XXII),24 Apr 1968,24 Apr 1968,9064,634,217
Micronesia (Federated States of)24,46/2,17 Sep 1991,17 Sep 1991,28364,1649,301
Moldova,46/223,2 Mar 1992,2 Mar 1992,28692,1668,225
Monaco,47/231,28 May 1993,28 May 1993,30067,1723,11
Mongolia,1630 (XVI),27 Oct 1961,17 Jul 1962,6261,434,141
Montenegro25,60/264,28 Jun 2006,19 July 2006,42946,,
Morocco,1111 (XI),12 Nov 1956,12 Nov 1956,3575,253,77
Mozambique,3365 (XXX),16 Sep 1975,16 Sep 1975,14310,981,349
Myanmar26,188 (S-II),19 Apr 1948,19 Apr 1948,225,15,3
Namibia27,S-18/1,23 Apr 1990,23 Apr 1990,27200,1564,69
Nauru,54/2,14 Sep 1999,14 Sep 1999,36937,2121,177
Nepal,995 (X),14 Dec 1955,14 Dec 1955,3051,223,55
Niger,1482 (XV),20 Sep 1960,20 Sep 1960,5358,375,95
Nigeria,1492 (XV),7 Oct 1960,8 May 1961,5688,395,237
Oman,2754 (XXVI),7 Oct 1971,7 Oct 1971,11359,797,225
Pakistan1,108 (II),30 Sep 1947,30 Sep 1947,112,8,57
