Participant,Ratification
Afghanistan,25 Feb 1965
Albania,7 Dec 1964
Algeria,26 Mar 1964
Argentina,15 Mar 1966
Australia,9 Jun 1965
Austria,7 Oct 1964
Belarus,22 Jun 1965
Belgium,29 Apr 1965
Benin,17 Sep 1965
Bolivia (Plurinational State of),19 Jan 1966
Brazil,23 Dec 1964
Bulgaria,13 Jan 1965
Burkina Faso,11 Aug 1964
Burundi,23 Aug 1965
Cambodia,20 Jan 1966
Cameroon,25 Jun 1964
Canada,9 Sep 1964
Central African Republic,6 Aug 1964
Chad,2 Nov 1964
Chile,31 Aug 1965
Colombia,10 Oct 1966
Congo,7 Jul 1965
Costa Rica,7 Oct 1964
Cote d'Ivoire,2 Oct 1964
Cuba,22 Dec 1964
Cyprus,1 Sep 1965
Democratic Republic of the Congo,20 May 1966
Denmark,12 Jan 1965
Dominican Republic,4 Nov 1965
Ecuador,31 Aug 1965
Egypt,16 Dec 1964
El Salvador,1 Dec 1964
Ethiopia,22 Jul 1964
Finland,18 Jan 1965
France,24 Aug 1965
Gabon,11 Aug 1964
Ghana,4 May 1964
Greece,2 Aug 1965
Guatemala,18 Aug 1965
Guinea,19 Aug 1964
Honduras,9 Oct 1968
Hungary,23 Feb 1965
Iceland,6 Nov 1964
India,10 Sep 1964
Indonesia,30 Mar 1973
Iran (Islamic Republic of),12 Jan 1965
Iraq,25 Nov 1964
Ireland,27 Oct 1964
Israel,13 May 1965
Italy,25 Aug 1965
Jamaica,12 Mar 1964
Japan,4 Jun 1965
Jordan,7 Aug 1964
Kenya,28 Oct 1964
Kuwait,28 Dec 1964
Lao People's Democratic Republic,20 Apr 1965
Lebanon,27 Sep 1965
Liberia,21 Sep 1964
Libya,27 Aug 1964
Luxembourg,22 Oct 1965
Madagascar,14 Dec 1964
Malawi,2 Jun 1965
Malaysia,26 May 1965
Mali,23 Sep 1964
Malta,23 Jun 1965
Mauritania,29 Jan 1965
Mexico,5 May 1965
Mongolia,10 Mar 1965
Morocco,9 Nov 1964
Myanmar,3 Jun 1965
Nepal,3 Dec 1964
Netherlands,14 Dec 1964
New Zealand,26 Aug 1964
Niger,8 Sep 1964
Nigeria,5 Dec 1964
Norway,17 Dec 1964
Pakistan,25 Mar 1965
Panama,27 Jul 1965
Paraguay,17 Aug 1965
Peru,2 Dec 1966
Philippines,9 Nov 1964
Poland,8 Jan 1965
Romania,5 Feb 1965
Russian Federation,10 Feb 1965
Rwanda,17 Nov 1964
Saudi Arabia,17 Jun 1965
Senegal,23 Apr 1965
Sierra Leone,25 Mar 1965
Somalia,6 Oct 1965
Spain,5 Aug 1965
Sri Lanka,13 Nov 1964
Sudan,7 May 1965
Sweden,18 Dec 1964
Syrian Arab Republic,24 Feb 1965
Thailand,23 Mar 1964
Togo,19 Aug 1964
Trinidad and Tobago,18 Aug 1964
Tunisia,29 May 1964
Turkey,1 Jul 1965
Uganda,10 Feb 1965
Ukraine,17 May 1965
United Kingdom of Great Britain and Northern Ireland,4 Jun 1965
United Republic of Tanzania,7 Oct 1964
United States of America,31 Aug 1965
Venezuela (Bolivarian Republic of),1 Sep 1965
Yemen,7 Jul 1965
Zambia,28 Apr 1965
