Participant,Ratification
Afghanistan,16 Nov 1966
Albania,12 Oct 1966
Algeria,30 Apr 1969
Argentina,12 Apr 1967
Australia,27 Sep 1966
Austria,29 Sep 1966
Belarus,21 Sep 1966
Belgium,29 Jun 1966
Benin,29 Jun 1966
Bolivia (Plurinational State of),28 Jul 1966
Botswana,12 Jun 1968
Brazil,12 Jul 1966
Bulgaria,2 Jun 1966
Burkina Faso,18 Jul 1966
Canada,11 Jul 1966
Chile,22 Aug 1968
Côte d'Ivoire,15 Jan 1968
Cuba,17 May 1976
Cyprus,31 May 1966
Democratic Republic of the Congo,9 Jun 1966
Denmark,31 May 1967
Dominican Republic,4 May 1966
Ecuador,5 May 1966
Egypt,23 Jan 1967
Ethiopia,28 Jul 1966
Finland,11 Jan 1967
France,18 Oct 1967
Gabon,24 Dec 1968
Gambia,11 Jul 1966
Ghana,8 Sep 1966
Greece,17 Oct 1969
Guatemala,16 Jun 1966
Guyana,31 Jan 1968
Hungary,4 May 1967
Iceland,21 Jun 1966
India,11 Jul 1966
Indonesia,30 Mar 1973
Iran (Islamic Republic of),13 Jan 1967
Iraq,12 Jan 1967
Ireland,20 Sep 1966
Israel,29 Aug 1966
Italy,4 Dec 1967
Jamaica,12 Jul 1966
Jordan,25 Mar 1966
Kenya,16 Jun 1966
Kuwait,26 Oct 1967
Lao People's Democratic Republic,21 Oct 1966
Lebanon,20 Mar 1969
Liberia,1 Jul 1969
Libya,3 Aug 1967
Luxembourg,12 Dec 1967
Madagascar,23 Jan 1968
Malawi,11 Apr 1966
Malaysia,28 Apr 1966
Maldives,5 Sep 1968
Malta,30 Jun 1966
Mexico,18 Apr 1967
Mongolia,17 Apr 1969
Morocco,27 Dec 1966
Myanmar,8 Jun 1967
Nepal,20 Jul 1966
Netherlands,5 Jan 1967
New Zealand,20 May 1966
Niger,28 Apr 1966
Nigeria,15 Jun 1967
Norway,29 Apr 1966
Pakistan,10 Aug 1966
Paraguay,7 Aug 1967
Philippines,2 Oct 1967
Poland,22 May 1967
Romania,12 Jan 1967
Russian Federation,22 Sep 1966
Rwanda,9 Sep 1966
Saudi Arabia,11 Dec 1968
Sierra Leone,24 Jan 1968
Singapore,25 Jul 1966
Spain,28 Oct 1966
Sri Lanka,24 Aug 1966
Sudan,24 Apr 1968
Sweden,15 Jul 1966
Syrian Arab Republic,8 Dec 1967
Thailand,9 Jun 1966
Togo,14 May 1968
Trinidad and Tobago,22 Apr 1966
Tunisia,23 Aug 1966
Turkey,16 Mar 1967
Uganda,15 Apr 1969
Ukraine,1 Nov 1966
United Kingdom of Great Britain and Northern Ireland,19 Oct 1966
United Republic of Tanzania,20 Jun 1966
United States of America,31 May 1967
Venezuela (Bolivarian Republic of),9 Nov 1967
