Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Ratification, Definitive signature(s)"
Algeria,30 Sep 1994,4 Jan 1996
Angola,30 Sep 1994,
Barbados,,20 Jul 2004 a
Benin,30 Sep 1994,2 Jun 1998
Bolivia (Plurinational State of),30 Sep 1994,
Brazil,15 Dec 1994,25 Sep 2009
Burundi,30 Sep 1994,
Cambodia,30 Sep 1994,
Cape Verde,30 Sep 1994,
China,,4 May 1995 a
Colombia,[30 Sep 1994 ],[24 Jun 1997 ]
Cte d'Ivoire,25 Nov 1994,
Cuba,30 Sep 1994,17 Nov 1995
Democratic People's Republic of Korea,6 Dec 1994,31 May 1995 AA
Dominican Republic,,7 Jul 2008 a
Ecuador,,15 Sep 2011 a
Egypt,30 Sep 1994,27 Mar 1996
Gabon,,15 Dec 2004 a
Ghana,17 Oct 1994,
Guyana,,16 Sep 1994 s
Honduras,30 Sep 1994,
India,30 Sep 1994,13 Dec 1994
Indonesia,30 Sep 1994,17 Feb 1995
Iran (Islamic Republic of),30 Sep 1994,11 Sep 1997
Iraq,,24 Jul 1997 a
Jamaica,23 Nov 1994,8 Jul 1998
Jordan,30 Sep 1994,29 Dec 1995
Liberia,,16 Sep 2005 a
Libya,30 Sep 1994,22 Jul 1996
Malawi,30 Sep 1994,11 Mar 1996
Malaysia,1 Dec 1994,15 Jun 1995
Mali,30 Sep 1994,19 Apr 2001
Mauritius,,23 Jun 2005 a
Micronesia (Federated States of),30 Sep 1994,
Morocco,19 Oct 1994,28 Jan 2000
Mozambique,30 Sep 1994,
Namibia,30 Sep 1994,
Nigeria,30 Sep 1994,22 Feb 2001
Pakistan,,12 May 1995 a
Panama,30 Sep 1994,4 Apr 1996
Philippines,13 Oct 1994,14 Jun 1996
Seychelles,,30 Sep 1994 s
Sierra Leone,4 Oct 1994,
South Africa,3 Oct 1994,25 Aug 1998
Sri Lanka,30 Sep 1994,16 Mar 1995
Sudan,30 Sep 1994,
Suriname,30 Sep 1994,
Uganda,30 Sep 1994,12 May 1995
United Republic of Tanzania,30 Sep 1994,27 Sep 1995
Venezuela (Bolivarian Republic of),,25 Jul 2006 a
Viet Nam,25 Nov 1994,2 Jun 1995 A
Zimbabwe,,30 Sep 1994 s
