Participant,Participation in the Agreement as amended under paragraph 4 of resolution 05-79 and paragraph 1 of article 60 of the unamended Agreement,Signature by non-regional members under Section 3 (c) (i) of resolution 07-79,"Ratification, Accession(a), Acceptance(A)"
Angola,7 May 1982,,
Argentina,,6 Jun 1985,6 Jun 1985 A
Austria,,23 Jul 1982,10 Mar 1983
Belgium,,15 Feb 1983,15 Feb 1983
Benin,7 May 1982,,
Botswana,7 May 1982,,
Brazil,,8 Dec 1982,14 Jul 1983
Burkina Faso,7 May 1982,,
Burundi,11 Jan 1980,,
Cameroon,7 May 1982,,
Canada,,23 Dec 1982,23 Dec 1982 A
Cape Verde,7 May 1982,,
Central African Republic,7 May 1982,,
Chad,7 May 1982,,
China,,9 May 1985,9 May 1985 A
Comoros,7 May 1982,,
Congo,7 May 1982,,
Cote d'Ivoire,7 May 1982,,
Democratic Republic of the Congo,7 May 1982,,
Denmark,,7 Sep 1982,7 Sep 1982
Djibouti,7 May 1982,,
Egypt,7 May 1982,,
Equatorial Guinea,7 May 1982,,
Ethiopia,7 May 1982,,
Finland,,7 Sep 1982,7 Sep 1982 A
France,,1 Jul 1982,1 Jul 1982
Gabon,7 May 1982,,
Gambia,7 May 1982,,
Germany,,16 Feb 1983,16 Feb 1983 A
Ghana,7 May 1982,,
Guinea,7 May 1982,,
Guinea-Bissau,7 May 1982,,
India,,25 Oct 1983,6 Dec 1983 a
Italy,,26 Nov 1982,26 Nov 1982 A
Japan,,3 Feb 1983,3 Feb 1983 A
Kenya,7 May 1982,,
Kuwait,,9 Nov 1982,9 Nov 1982 A
Lesotho,7 May 1982,,
Liberia,7 May 1982,,
Madagascar,7 May 1982,,
Malawi,7 May 1982,,
Mali,7 May 1982,,
Mauritania,7 May 1982,,
Mauritius,7 May 1982,,
Morocco,7 May 1982,,
Mozambique,7 May 1982,,
Namibia,,,10 Apr 1994 a
Netherlands,,28 Jan 1983,28 Jan 1983 A
Niger,7 May 1982,,
Nigeria,7 May 1982,,
Norway,,7 Sep 1982,7 Sep 1982 A
Portugal,,8 Dec 1983,15 Dec 1983 a
Republic of Korea,,27 Sep 1982,27 Sep 1982 A
Rwanda,7 May 1982,,
Sao Tome and Principe,7 May 1982,,
Saudi Arabia,,15 Dec 1983,15 Dec 1983 a
Senegal,7 May 1982,,
Seychelles,7 May 1982,,
Sierra Leone,7 May 1982,,
Somalia,7 May 1982,,
South Africa,,,13 Dec 1995 a
Spain,,13 Feb 1984,13 Feb 1984 A
Sudan,7 May 1982,,
Swaziland,7 May 1982,,
Sweden,,7 Sep 1982,7 Sep 1982 A
Switzerland,,14 Sep 1982,14 Sep 1982 A
Togo,7 May 1982,,
Tunisia,7 May 1982,,
Uganda,7 May 1982,,
United Kingdom of Great Britain and Northern Ireland,,23 Dec 1982,27 Apr 1983 A
United Republic of Tanzania,7 May 1982,,
United States of America,,31 Jan 1983,31 Jan 1983 A
Zambia,7 May 1982,,
Zimbabwe,7 May 1982,,
