Participant,Signature,"Ratification, Accession(a)"
Algeria,4 Aug 1963,10 Sep 1964
Angola,,9 Jan 1981 a
Benin,8 Oct 1963,25 Aug 1964
Botswana,,31 Mar 1972 a
Burkina Faso,21 Nov 1963,22 Sep 1964
Burundi,4 Aug 1963,2 Jan 1968 a
Cameroon,8 Oct 1963,7 May 1964
Cape Verde,,15 Apr 1976 a
Central African Republic,4 Aug 1963,26 Aug 1970 a
Chad,,26 Aug 1968 a
Comoros,,3 May 1976 a
Congo,29 Nov 1963,10 Feb 1965
Cote d'Ivoire,4 Aug 1963,20 Mar 1964
Democratic Republic of the Congo,4 Aug 1963,5 Jun 1964
Djibouti,,12 Jul 1978 a
Egypt,4 Aug 1963,14 Sep 1964
Equatorial Guinea,,30 Jun 1975 a
Ethiopia,4 Aug 1963,14 Jul 1964
Gabon,,31 Dec 1972 a
Gambia,,2 Jul 1973 a
Ghana,4 Aug 1963,30 Jun 1964
Guinea,4 Aug 1963,21 May 1964
Guinea-Bissau,,5 May 1975 a
Kenya,4 Aug 1963,24 Jan 1964
Lesotho,,2 Jul 1973 a
Liberia,4 Aug 1963,23 Jun 1964
Libya,4 Aug 1963,21 Jul 1972 a
Madagascar,,3 May 1976 a
Malawi,,25 Jul 1966 a
Mali,4 Aug 1963,23 Apr 1964
Mauritania,4 Aug 1963,9 Sep 1964
Mauritius,,1 Jan 1974 a
Morocco,4 Aug 1963,2 Jun 1964
Mozambique,,4 Jun 1976 a
Niger,25 Oct 1963,29 Jul 1964
Nigeria,4 Aug 1963,12 Mar 1964
Rwanda,18 Dec 1963,18 Jan 1965
Sao Tome and Principe,,14 Apr 1976 a
Senegal,17 Dec 1963,11 Sep 1964
Seychelles,,20 Apr 1977 a
Sierra Leone,4 Aug 1963,18 Feb 1964
Somalia,4 Aug 1963,22 Oct 1964
Spain,13 Feb 1984,13 Feb 1984
Sudan,4 Aug 1963,9 Sep 1963
Swaziland,,26 Jul 1971 a
Syrian Arab Republic,,14 Sep 1964
Togo,18 Oct 1963,3 Jul 1964
Tunisia,4 Aug 1963,29 Oct 1964
Uganda,4 Aug 1963,16 Dec 1963
United Republic of Tanzania,4 Aug 1963,27 Nov 1963
Zambia,,1 Sep 1966 a
Zimbabwe,,5 Sep 1980 a
