Participant,"Accession(a), Succession(d), Participation by virtue of accession to the Protocol of 11 April 1980(P)"
Argentina,19 Jul 1983 a
Belarus,23 Jan 1997 a
Belgium,1 Aug 2008 P
Cuba,2 Nov 1994 a
Czech Republic,30 Sep 1993 d
Dominican Republic,30 Jul 2010 a
Egypt,6 Dec 1982 a
Guinea,23 Jan 1991 a
Hungary,16 Jun 1983 a
Liberia,16 Sep 2005 P
Mexico,21 Jan 1988 a
Montenegro,6 Aug 2012 P
Paraguay,18 Aug 2003 a
Poland,19 May 1995 P
Republic of Moldova,28 Aug 1997 a
Romania,23 Apr 1992 P
Slovakia,28 May 1993 d
Slovenia,2 Aug 1995 P
Uganda,12 Feb 1992 P
United States of America,5 May 1994 P
Uruguay,1 Apr 1997 P
Zambia,6 Jun 1986 a
