Participant,Signature,"Participation under article XI of the Protocol of 11 April 1980(P), Accession(a), Succession(d), Ratification"
Argentina,,9 Oct 1981 a
Belarus,14 Jun 1974,23 Jan 1997 P
Belgium,,1 Aug 2008 a
Benin,,29 Jul 2011 a
Bosnia and Herzegovina,,12 Jan 1994 d
Brazil,14 Jun 1974,
Bulgaria,24 Feb 1975,
Burundi,,4 Sep 1998 a
Costa Rica,30 Aug 1974,
Cuba,,2 Nov 1994 P
Czech Republic,,30 Sep 1993 d
Dominican Republic,,23 Dec 1977 a
Egypt,,6 Dec 1982 P
Ghana,5 Dec 1974,7 Oct 1975
Guinea,,23 Jan 1991 a
Hungary,14 Jun 1974,16 Jun 1983
Liberia,,16 Sep 2005 a
Mexico,,21 Jan 1988 a
Mongolia,14 Jun 1974,
Montenegro,,23 Oct 2006 d
Nicaragua,13 May 1975,
Norway,11 Dec 1975,20 Mar 1980
Paraguay,,18 Aug 2003 P
Poland,14 Jun 1974,19 May 1995
Republic of Moldova,,28 Aug 1997 P
Romania,,23 Apr 1992 a
Russian Federation,14 Jun 1974,
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Slovenia,,2 Aug 1995 P
Uganda,,12 Feb 1992 a
Ukraine,14 Jun 1974,13 Sep 1993
United States of America,,5 May 1994 a
Uruguay,,1 Apr 1997 a
Zambia,,6 Jun 1986 P
