Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)",Notification under article 25
Afghanistan,13 Feb 1980,9 Sep 1981,10 Jun 1985
Albania,,19 Apr 1988 a,
Algeria,22 Oct 1979,6 Nov 1980,10 Jun 1985
Angola,3 Sep 1982,9 Aug 1985,
Antigua and Barbuda,8 Sep 1982,,
Argentina,8 Apr 1979,6 Mar 1981,10 Jun 1985
Armenia,,12 May 1992 a,
Australia,[  3 Mar 1980 ],[  1 Jan 1992 a],
Austria,3 Oct 1979,14 May 1981,10 Jun 1985
Azerbaijan,,23 Nov 1993 a,
Bahamas,,13 Nov 1986 a,
Bahrain,,4 Apr 1986 a,
Bangladesh,2 Jan 1980,5 Nov 1980,28 Jun 1985
Barbados,30 May 1980,30 May 1980,10 Jun 1985
Belarus,10 Dec 1980,17 Jun 1985,17 Jun 1985
Belgium,5 Oct 1979,18 Nov 1981,10 Jun 1985
Belize,,27 Feb 1986 a,
Benin,4 Dec 1979,3 Mar 1983,8 Aug 1985
Bhutan,15 Sep 1983,25 Oct 1983,23 Aug 1985
Bolivia (Plurinational State of),25 Jan 1980,9 Jan 1981,10 Jun 1985
Bosnia and Herzegovina,,1 Oct 1992 a,
Botswana,,21 Jun 1985 a,
Brazil,8 Apr 1979,10 Dec 1980,10 Jun 1985
Bulgaria,6 Jan 1981,5 Jun 1985,5 Jun 1985
Burkina Faso,16 Nov 1979,9 Jul 1982,16 Jul 1985
Burundi,25 Jan 1980,9 Aug 1982,9 Aug 1985
Cambodia,,18 Sep 1995 a,
Cameroon,8 Jul 1980,18 Aug 1981,20 Jun 1985
Canada,[31 Aug 1982 ],[20 Sep 1983 ],[10 Jun 1985 ]
Cape Verde,28 Jan 1983,27 Nov 1984,10 Jun 1985
Central African Republic,8 Jan 1982,8 Jan 1982,9 Jan 1986
Chad,14 Apr 1982,22 Aug 1991,
Chile,8 Apr 1979,12 Nov 1981,7 Jun 1985
China,6 Sep 1979,14 Feb 1980 AA,17 Jun 1985
Colombia,8 Apr 1979,25 Nov 1981,30 Jul 1985
Comoros,18 May 1981,10 May 1985,9 Jan 1986
Congo,18 Dec 1979,16 May 1983,12 Jul 1985
Costa Rica,5 Jan 1984,26 Oct 1987,
Cote d'Ivoire,21 Feb 1980,4 Nov 1981,21 Jun 1985
Croatia,,2 Jun 1992 a,
Cuba,2 Oct 1979,16 Mar 1981,10 Jun 1985
Cyprus,17 Mar 1981,28 Apr 1983,10 Jun 1985
Czech Republic,,22 Jan 1993 a,
Democratic People's Republic of Korea,10 Aug 1981,14 Sep 1981 AA,24 Jun 1985
Democratic Republic of the Congo,21 Jan 1980,9 Jul 1982,8 Jul 1985
Denmark,5 Oct 1979,27 May 1981,10 Jun 1985
Djibouti,29 Oct 1981,20 Aug 1991,
Dominica,8 Jun 1982,8 Jun 1982,27 Nov 1985
Dominican Republic,8 May 1981,29 Mar 1983,20 Jun 1985
Ecuador,8 Apr 1979,15 Apr 1982,10 Jun 1985
Egypt,8 Apr 1979,9 Jan 1981,10 Jun 1985
El Salvador,8 Apr 1979,29 Jan 1988,
Equatorial Guinea,3 Oct 1983,4 May 1984,20 Jan 1986
Eritrea,,20 Jun 1995 a,
Ethiopia,18 Feb 1981,23 Feb 1981,21 Jun 1985
Fiji,21 Dec 1981,21 Dec 1981,30 Dec 1985
Finland,28 Sep 1979,5 Jun 1981,10 Jun 1985
France,5 Oct 1979,30 Mar 1982,10 Jun 1985
Gabon,8 Jan 1980,1 Feb 1982,6 Aug 1985
Gambia,,12 Jun 1986 a,
Georgia,,30 Oct 1992 a,
Germany,5 Oct 1979,13 Jul 1983,10 Jun 1985
Ghana,8 Apr 1979,8 Feb 1982,30 Jul 1985
Greece,5 Oct 1979,10 Jun 1983,10 Jun 1985
Grenada,,16 Jan 1986 a,
Guatemala,13 May 1981,8 Jul 1983,14 Jun 1985
Guinea,29 Nov 1979,23 Jun 1980,11 Jun 1985
Guinea-Bissau,1 May 1980,17 Mar 1983,14 Jun 1985
Guyana,17 Jul 1984,17 Jul 1984,19 Jul 1985
Haiti,28 Jan 1981,9 Jul 1982,5 Aug 1985
Honduras,5 Feb 1980,3 Mar 1983,13 Jun 1985
Hungary,26 Jan 1981,15 Aug 1983,2 Jul 1985
India,16 Nov 1979,21 Jan 1980,17 Jun 1985
Indonesia,28 Sep 1979,10 Nov 1980,10 Jun 1985
Iran (Islamic Republic of),12 Nov 1980,9 Aug 1985,
Iraq,26 Feb 1980,23 Jan 1981,27 Jun 1985
Ireland,5 Oct 1979,17 Jul 1984,10 Jun 1985
Israel,1 Nov 1982,25 Nov 1983,24 Apr 1985
Italy,5 Oct 1979,25 Mar 1985,10 Jun 1985
Jamaica,1 Nov 1982,10 Dec 1982,21 Jun 1985
Japan,18 Jan 1980,3 Jun 1980 A,10 Jun 1985
Jordan,29 Jun 1981,30 Aug 1982,28 Oct 1985
Kazakhstan,,3 Jun 1997 a,
Kenya,28 Oct 1981,13 Nov 1981,10 Jun 1985
Kuwait,7 Jan 1981,7 Apr 1982,30 Jul 1985
Kyrgyzstan,,8 Apr 1993 a,
Lao People's Democratic Republic,5 Mar 1980,3 Jun 1980,3 Sep 1985
Lebanon,8 Apr 1979,2 Aug 1983,6 Aug 1985
Lesotho,18 Jun 1981,18 Jun 1981,10 Jun 1985
Liberia,30 Jan 1980,10 May 1990,
Libya,8 Apr 1979,29 Jan 1981,8 Aug 1985
Lithuania,,[17 Oct 1991 a],
Luxembourg,5 Oct 1979,9 Sep 1983,10 Jun 1985
Madagascar,13 Dec 1979,18 Jan 1980,10 Jun 1985
Malawi,12 Feb 1980,30 May 1980,19 Jul 1985
Malaysia,10 Apr 1980,28 Jul 1980,10 Jun 1985
Maldives,,10 May 1988 a,
Mali,23 May 1980,24 Jul 1981,17 Jul 1985
Malta,2 Oct 1981,4 Nov 1982,10 Jun 1985
Mauritania,4 Mar 1981,29 Jun 1981,9 Aug 1985
Mauritius,16 Sep 1981,9 Dec 1981,10 Jun 1985
Mexico,12 Nov 1979,21 Jan 1980,10 Jun 1985
Monaco,,23 Jan 2003 a,
Mongolia,22 Dec 1980,3 Jun 1985 A,10 Jun 1985
Montenegro,,22 Nov 2006 a,
Morocco,25 Jul 1980,30 Jul 1985,
Mozambique,10 Nov 1982,14 Dec 1983,13 Nov 1985
Myanmar,,12 Apr 1990 a,
Namibia,,21 Feb 1986 a,
Nepal,11 Aug 1983,6 Dec 1983,8 Aug 1985
Netherlands,5 Oct 1979,10 Oct 1980 A,10 Jun 1985
New Zealand,30 May 1985,19 Jul 1985,
Nicaragua,16 Jan 1980,28 Mar 1980,1 Jul 1985
Niger,9 Apr 1979,22 Aug 1980,20 May 1985
Nigeria,8 Apr 1979,19 Dec 1980,10 Jun 1985
Norway,28 Sep 1979,13 Feb 1981,10 Jun 1985
Oman,6 Jul 1981,6 Jul 1981,10 Jun 1985
Pakistan,8 Apr 1979,29 Oct 1979,10 Jun 1985
Panama,17 Aug 1979,23 Jul 1980,19 Jun 1985
Papua New Guinea,29 Mar 1985,10 Sep 1986,
Paraguay,7 Oct 1980,2 Dec 1981,18 Jul 1985
Peru,8 Apr 1979,13 Sep 1982,10 Jun 1985
Philippines,12 Oct 1979,7 Jan 1980,10 Jun 1985
Poland,22 Jan 1981,5 Mar 1985,14 Jun 1985
Portugal,10 Sep 1979,21 May 1984,10 Jun 1985
Qatar,,9 Dec 1985 a,
Republic of Korea,7 Oct 1980,30 Dec 1980,14 Jun 1985
Republic of Moldova,,1 Jun 1993 a,
Romania,8 Apr 1979,28 Nov 1980,10 Jun 1985
Russian Federation,8 Dec 1980,22 May 1985,22 May 1985
Rwanda,28 Aug 1979,18 Jan 1983,10 Jun 1985
Samoa,,11 Dec 2008 a,
Sao Tome and Principe,29 Nov 1983,22 Feb 1985,14 Apr 1986
Saudi Arabia,,21 Jun 1985 a,
Senegal,8 Apr 1979,24 Oct 1983,13 Jun 1985
Serbia,,6 Dec 2000 a,
Seychelles,21 Apr 1982,21 Apr 1982,19 Aug 1985
Sierra Leone,29 Aug 1979,7 Mar 1983,15 Aug 1985
Slovakia,,20 Jan 1993 a,
Slovenia,,11 Jun 1992 a,
Somalia,21 Mar 1980,20 Nov 1981,15 Nov 1985
South Africa,,24 Oct 2000 a,
Spain,21 Jan 1980,21 Sep 1981,10 Jun 1985
Sri Lanka,31 Oct 1979,25 Sep 1981,10 Jun 1985
St. Kitts and Nevis,,11 Dec 1985 a,
St. Lucia,8 May 1980,11 Aug 1982,19 Nov 1985
St. Vincent and the Grenadines,,30 Mar 1987 a,
Sudan,27 Jun 1979,30 Sep 1981,28 Jun 1985
Suriname,19 Sep 1980,8 Oct 1981,24 Dec 1985
Swaziland,14 Jan 1980,19 Aug 1981,3 Apr 1986
