Participant,Signature,"Definitive signature(s), Ratification, Accession(a), Succession(d)"
Afghanistan,,11 Oct 1971 a
Albania,,1 Oct 1969 a
Austria,15 Feb 1959,3 Feb 1960
Belgium,4 Mar 1959,14 Mar 1962
Bulgaria,,15 Apr 1959 s
Canada,,26 Nov 1974 a
Cyprus,,3 Jun 1977 a
Czech Republic,,2 Jun 1993 d
Denmark,,15 Apr 1959 s
Finland,,14 Jun 1960 a
France,14 Apr 1959,3 Jul 1959
Germany,13 Apr 1959,23 Oct 1961
Greece,,2 May 1961 a
Hungary,,6 Dec 1961 a
Iran (Islamic Republic of),,25 May 1971 a
Ireland,,7 Jul 1967 a
Israel,,31 Oct 1969 a
Italy,15 Apr 1959,11 Jan 1963
Japan,,14 May 1971 a
Jordan,,8 Nov 1973 a
Kuwait,,26 May 1977 a
Luxembourg,14 Apr 1959,3 Jul 1962
Malta,,31 Jan 1978 a
Morocco,,10 Oct 1975 a
Netherlands,9 Apr 1959,27 Jul 1960
Norway,,2 Mar 1960 a
Poland,,3 Oct 1961 a
Portugal,,6 Jun 1966 a
Romania,,9 Apr 1964 a
Russian Federation,,20 Feb 1974 a
Slovakia,,28 May 1993 d
Spain,,12 May 1961 a
Sweden,,14 Apr 1959 s
Switzerland,12 Mar 1959,7 Jul 1960
Turkey,,23 Feb 1966 a
United Kingdom of Great Britain and Northern Ireland,13 Apr 1959,9 Oct 1959
United States of America,,3 Dec 1968 a
