Participant,Signature,"Accession(a), Succession(d), Ratification, Definitive signature(s)"
Albania,,14 Oct 2008 a
Australia,,1 Oct 1969 a
Austria,,7 Oct 1963 a
Belgium,21 Feb 1961,14 Mar 1962
Bosnia and Herzegovina,,12 Jan 1994 d
Bulgaria,,28 Feb 1961 s
Croatia,,31 Aug 1994 d
Cuba,,26 Sep 1963 a
Czech Republic,,2 Jun 1993 d
Denmark,,14 Mar 1961 s
Finland,,19 Aug 1966 a
France,8 Mar 1961,12 Mar 1962
Germany,20 Dec 1960,29 Sep 1964
Hungary,,26 Jul 1963 a
Italy,15 Mar 1961,5 Jan 1967
Luxembourg,6 Feb 1961,31 Jul 1962
Montenegro,,23 Oct 2006 d
Netherlands,13 Mar 1961,22 Oct 1962
Norway,,27 Oct 1964 a
Poland,,4 Sep 1969 a
Portugal,,15 Jan 1968 a
Romania,,15 May 1964 a
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
Slovenia,,3 Nov 1992 d
Spain,,2 Feb 1973 a
Sweden,,1 Mar 1961 s
Switzerland,6 Mar 1961,24 Apr 1963
Turkey,,10 Oct 1974 a
United Kingdom of Great Britain and Northern Ireland,7 Feb 1961,1 Oct 1962
