Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Algeria,,14 Dec 1978 a
Armenia,,9 Jun 2006 a
Australia,,10 Nov 1975 a
Austria,22 May 1973,17 Jun 1977
Azerbaijan,,17 Jan 2005 a
Belarus,22 Oct 1973,1 Sep 1976
Bulgaria,12 Jan 1973,22 Feb 1977
Burundi,,4 Sep 1998 a
Canada,5 Dec 1972,10 Dec 1975
China,,22 Jan 1986 a
Cuba,,23 Nov 1984 a
Czech Republic,,2 Jun 1993 d
Finland,26 Dec 1973,22 Feb 1983 A
Georgia,,2 Jun 1999 a
Greece,11 Jan 1973,
Hungary,10 Jan 1973,12 Dec 1973
Indonesia,,11 Oct 1989 a
Kazakhstan,,25 Jan 2005 a
Kyrgyzstan,,22 Oct 2007 a
Liberia,,16 Sep 2005 a
Lithuania,,27 Mar 2002 a
Montenegro,,23 Oct 2006 d
Morocco,,14 Aug 1990 a
New Zealand,,20 Dec 1974 a
Poland,20 Dec 1972,29 Apr 1982
Republic of Korea,15 Jan 1973,19 Oct 1984
Romania,11 Dec 1973,6 Mar 1975
Russian Federation,18 Oct 1973,23 Aug 1976
Saudi Arabia,,23 Dec 2008 a
Serbia,,6 Sep 2001 a
Slovakia,,28 May 1993 d
Spain,,16 Apr 1975 a
Switzerland,5 Dec 1972,12 Oct 1976
Trinidad and Tobago,,23 Mar 1990 a
Tunisia,,11 Mar 2009 a
Turkey,15 Dec 1972,13 Jul 1994
Ukraine,22 Oct 1973,1 Sep 1976
United States of America,5 Dec 1972,12 Nov 1984
Uzbekistan,,27 Nov 1996 a
