Participant,Acceptance(A)
Albania,1 Jul 2005 A
Algeria,8 Jun 2000 A
Antigua and Barbuda,28 Feb 2002 A
Argentina,17 Oct 2006 A
Australia,1 Jul 1994 A
Bahamas,7 May 1998 A
Bangladesh,6 Feb 2007 A
Barbados,1 Jul 1998 A
Belgium,5 Apr 1994 A
Belize,20 Jan 2006 A
Benin,18 Jan 2007 A
Bolivia (Plurinational State of),26 May 2006 A
Brazil,16 Nov 1995 A
Brunei Darussalam,23 Dec 1998 A
Bulgaria,29 Jan 1997 A
Cameroon,17 Mar 1994 A
Canada,24 Jun 1993 A
Chile,20 Nov 1995 A
China,27 Oct 1994 A
Colombia,13 Sep 2006 A
Comoros,3 Aug 2001 A
Congo,31 May 2002 A
Côte d'Ivoire,16 Dec 2004 A
Cuba,22 Dec 1993 A
Cyprus,24 Jun 1996 A
Czech Republic,12 Aug 2004 A
Democratic People's Republic of Korea,12 Dec 2002 A
Denmark,6 Jan 1994 A
Djibouti,13 Aug 2002 A
Ecuador,5 Sep 2005 A
Egypt,12 Jul 1994 A
Eritrea,23 Oct 2001 A
Estonia,26 Aug 1992 A
Fiji,3 Mar 2005 A
Finland,26 Jan 1994 A
France,28 May 1996 A
Gabon,10 Jun 2002 A
Gambia,10 Jan 2003 A
Georgia,5 Sep 2006 A
Germany,25 Jun 2007 A
Ghana,21 Nov 2003 A
Greece,2 Dec 1994 A
Guatemala,8 Aug 2001 A
Honduras,30 Aug 2002 A
Hungary,8 Jul 2004 A
Iceland,17 Feb 1998 A
India,31 Oct 1995 A
Indonesia,21 May 1996 A
Iran (Islamic Republic of),11 Dec 2007 A
Ireland,25 Sep 2003 A
Israel,3 May 2006 A
Italy,18 Feb 2000 A
Jamaica,18 Aug 2005 A
Japan,6 Jun 2006 A
Jordan,22 Jun 2005 A
Kenya,13 Nov 2006 A
Kiribati,28 Oct 2003 A
Latvia,16 Jun 2000 A
Liberia,9 Aug 2002 A
Lithuania,16 Nov 2004 A
Luxembourg,22 Sep 2000 A
Malaysia,10 Nov 2004 A
Maldives,23 May 2005 A
Malta,16 Jan 1998 A
Marshall Islands,7 Sep 1998 A
Mauritius,16 Mar 2004 A
Mexico,1 Sep 1998 A
Monaco,13 Nov 2002 A
Mongolia,20 Sep 2007 A
Montenegro,10 Oct 2006 A
Morocco,16 Jun 1995 A
Namibia,28 Nov 2000 A
Netherlands,6 Dec 1993 A
New Zealand,9 Oct 2000 A
Nicaragua,4 Jul 2006 A
Nigeria,29 Aug 2007 A
Norway,10 Sep 1992 A
Pakistan,5 Apr 2002 A
Panama,19 Mar 1999 A
Peru,7 May 1996 A
Poland,5 Mar 2002 A
Portugal,12 Jul 2004 A
Republic of Korea,22 Dec 1994 A
Romania,6 Sep 2002 A
Russian Federation,23 Aug 1993 A
Samoa,18 Jun 2002 A
San Marino,12 Mar 2002 A
Saudi Arabia,26 Sep 2005 A
Senegal,20 Jun 2005 A
Serbia,11 Dec 2000 A
Seychelles,14 Jul 1992 A
Sierra Leone,27 Jul 2001 A
Singapore,25 May 1994 A
Slovakia,12 Jun 1995 A
Slovenia,10 Mar 1998 A
Spain,6 Oct 1993 A
St. Kitts and Nevis,8 Oct 2001 A
St. Lucia,30 Aug 2005 A
St. Vincent and the Grenadines,9 Aug 2002 A
Sweden,1 Sep 1994 A
Syrian Arab Republic,15 Feb 2001 A
Thailand,19 Apr 1994 A
Togo,11 Jun 2002 A
Tonga,4 Dec 2002 A
Trinidad and Tobago,10 Nov 1995 A
Tunisia,15 Jan 1999 A
United Kingdom of Great Britain and Northern Ireland,14 Sep 1994 A
United Republic of Tanzania,6 Sep 2002 A
United States of America,14 Oct 1998 A
Uruguay,30 Jan 1998 A
Vanuatu,18 Feb 1999 A
Venezuela (Bolivarian Republic of),29 Apr 2004 A
Yemen,7 Dec 2007 A
