Participant,Acceptance(A)
Argentina,5 Oct 1966 A
Australia,15 Feb 1965 A
Belgium,26 Jul 1965 A
Brazil,30 Dec 1966 A
Bulgaria,3 Oct 1966 A
Cambodia,22 Aug 1966 A
Canada,15 Feb 1965 A
Côte d'Ivoire,4 Oct 1965 A
Denmark,14 Jul 1965 A
Dominican Republic,11 Jul 1966 A
Ecuador,18 Aug 1965 A
Egypt,18 Mar 1966 A
Finland,20 Jan 1967 A
France,21 Apr 1965 A
Germany,7 Oct 1965 A
Ghana,17 May 1965 A
Greece,3 Dec 1965 A
Iceland,14 Sep 1965 A
India,17 Mar 1965 A
Indonesia,21 Oct 1966 A
Iran (Islamic Republic of),15 Jun 1966 A
Ireland,14 Jun 1965 A
Israel,9 Feb 1967 A
Kuwait,6 Sep 1966 A
Lebanon,20 Feb 1967 A
Madagascar,25 Feb 1965 A
Malta,8 Sep 1966 A
Mauritania,4 Nov 1966 A
Morocco,7 Oct 1965 A
Myanmar,6 Oct 1966 A
Netherlands,4 Oct 1965 A
New Zealand,26 Nov 1965 A
Norway,13 Sep 1965 A
Pakistan,18 Jun 1965 A
Panama,2 Aug 1966 A
Philippines,2 Nov 1966 A
Poland,9 Jul 1965 A
Republic of Korea,5 May 1965 A
Romania,3 Aug 1966 A
Russian Federation,20 Dec 1965 A
Senegal,6 Oct 1966 A
Singapore,18 Feb 1966 A
Spain,28 Jun 1965 A
Sweden,13 Sep 1965 A
Switzerland,13 Jan 1967 A
Trinidad and Tobago,5 Dec 1966 A
Tunisia,8 Apr 1966 A
United Kingdom of Great Britain and Northern Ireland,15 Feb 1965 A
United States of America,25 Jul 1966 A
