Participant,Acceptance(A)
Albania,3 Nov 1968 A
Algeria,3 Nov 1967 A
Argentina,5 Oct 1966 A
Australia,23 Jun 1966 A
Belgium,6 Jun 1966 A
Brazil,30 Dec 1966 A
Bulgaria,3 Oct 1966 A
Canada,29 Apr 1966 A
Cte d'Ivoire,20 Mar 1967 A
Denmark,15 Nov 1966 A
Egypt,15 Feb 1967 A
Finland,20 Jan 1967 A
France,14 Mar 1966 A
Germany,22 Jul 1966 A
Iceland,13 Mar 1967 A
India,13 Oct 1966 A
Iran (Islamic Republic of),1 Jul 1968 A
Ireland,23 Jun 1966 A
Israel,9 Feb 1967 A
Kuwait,6 Sep 1966 A
Lebanon,20 Feb 1967 A
Madagascar,27 Jan 1966 A
Maldives,22 Apr 1968 A
Malta,8 Sep 1966 A
Mexico,16 Oct 1967 A
Morocco,27 Jan 1966 A
Netherlands,15 May 1967 A
New Zealand,29 Jul 1968 A
Nigeria,11 Dec 1967 A
Norway,23 May 1966 A
Pakistan,5 Jul 1966 A
Panama,2 Aug 1966 A
Philippines,2 Nov 1966 A
Poland,19 Aug 1966 A
Republic of Korea,10 Jan 1967 A
Romania,27 Jul 1967 A
Russian Federation,7 Mar 1966 A
Singapore,18 Feb 1966 A
Spain,9 May 1966 A
Sweden,26 Jul 1966 A
Switzerland,13 Jan 1967 A
Trinidad and Tobago,20 Apr 1967 A
Tunisia,23 Feb 1966 A
Turkey,9 Jun 1967 A
United Kingdom of Great Britain and Northern Ireland,23 May 1966 A
United States of America,1 Feb 1968 A
