Participant,Signature,"Definitive signature(s), Acceptance(A)"
Albania,,24 May 1993 A
Algeria,,31 Oct 1963 A
Angola,,6 Jun 1977 A
Antigua and Barbuda,,13 Jan 1986 A
Argentina,6 Mar 1948,5 Oct 1966 A
Australia,6 Mar 1948,15 Feb 1965 A
Austria,,2 Apr 1975 A
Azerbaijan,,15 May 1995 A
Bahamas,,22 Jul 1976 A
Bahrain,,22 Sep 1976 A
Bangladesh,,27 May 1976 A
Barbados,,7 Jan 1970 A
Belgium,6 Mar 1948,9 Aug 1951 A
Belize,,13 Sep 1990 A
Benin,,19 Mar 1980 A
Bolivia (Plurinational State of),,6 Jul 1987 A
Bosnia and Herzegovina,,16 Jul 1993 A
Brazil,,4 Mar 1963 A
Brunei Darussalam,,31 Dec 1984 A
Bulgaria,,3 Oct 1966 A
Cambodia,,3 Jan 1961 A
Cameroon,,1 May 1961 A
Canada,,15 Oct 1948 A
Cape Verde,,24 Aug 1976 A
Chile,6 Mar 1948,17 Feb 1972 A
China,,1 Mar 1973 A
Colombia,6 Mar 1948,19 Nov 1974 A
Comoros,,3 Aug 2001 A
Congo,,5 Sep 1975 A
Cook Islands,,18 Jul 2008 A
Costa Rica,,4 Mar 1981 A
Cte d'Ivoire,,4 Nov 1960 A
Croatia,,8 Jul 1992 A
Cuba,,6 Mar 1966 A
Cyprus,,21 Nov 1973 A
Czech Republic,,18 Jun 1993 A
Democratic People's Republic of Korea,,16 Apr 1986 A
Democratic Republic of the Congo,,16 Aug 1973 A
Denmark,,3 Jun 1959 A
Djibouti,,20 Feb 1979 A
Dominica,,18 Dec 1979 A
Dominican Republic,,25 Aug 1953 A
Ecuador,,12 Jul 1956 A
Egypt,6 Mar 1948,17 Mar 1958 A
El Salvador,,12 Feb 1981 A
Equatorial Guinea,,6 Sep 1972 A
Eritrea,,31 Aug 1993 A
Estonia,,31 Jan 1992 A
Ethiopia,,3 Jul 1975 A
Fiji,,14 Mar 1983 A
Finland,6 Mar 1948,21 Apr 1959 A
France,6 Mar 1948,9 Apr 1952 A
Gabon,,1 Apr 1976 A
Gambia,,11 Jan 1979 A
Georgia,,22 Jun 1993 A
Germany,,7 Jan 1959 s
Ghana,,17 May 1965 A
Greece,6 Mar 1948,31 Dec 1958 A
Grenada,,3 Dec 1998 A
Guatemala,,16 Mar 1983 A
Guinea,,3 Dec 1975 A
Guinea-Bissau,,6 Dec 1977 A
Guyana,,13 May 1980 A
Haiti,,23 Jun 1953 A
Honduras,13 Apr 1954,23 Aug 1954 A
Hungary,,10 Jun 1970 A
Iceland,,8 Nov 1960 A
India,6 Mar 1948,17 Mar 1965 A
Indonesia,,18 Jan 1961 A
Iran (Islamic Republic of),10 Jun 1954,2 Jan 1958 A
Iraq,,28 Aug 1973 A
Ireland,6 Mar 1948,26 Feb 1951 A
Israel,,24 Apr 1952 A
Italy,6 Mar 1948,28 Jan 1957 A
Jamaica,,11 May 1976 A
Japan,,17 Mar 1958 A
Jordan,,9 Nov 1973 A
Kazakhstan,,11 Mar 1994 A
Kenya,,22 Aug 1973 A
Kiribati,,28 Oct 2003 A
Kuwait,,5 Jul 1960 A
Latvia,,1 Mar 1993 A
Lebanon,6 Mar 1948,3 May 1966 A
Liberia,9 Mar 1954,6 Jan 1959 A
Libya,,16 Feb 1970 A
Lithuania,,7 Dec 1995 A
Luxembourg,,14 Feb 1991 A
Madagascar,,25 Feb 1965 A
Malawi,,19 Jan 1989 A
Malaysia,,17 Jun 1971 A
Maldives,,31 May 1967 A
Malta,,8 Sep 1966 A
Marshall Islands,,26 Mar 1998 A
Mauritania,,8 May 1961 A
Mauritius,,18 May 1978 A
Mexico,,21 Sep 1954 A
Monaco,,22 Dec 1989 A
Mongolia,,11 Dec 1996 A
Montenegro,,10 Oct 2006 A
Morocco,,30 Jul 1962 A
Mozambique,,17 Jan 1979 A
Myanmar,,6 Jul 1951 A
Namibia,,27 Oct 1994 A
Nepal,,31 Jan 1979 A
Netherlands,6 Mar 1948,31 Mar 1949 A
