Participant,Acceptance(A)
Algeria,6 Jul 1976 A
Angola,6 Jun 1977 A
Argentina,31 Dec 1979 A
Australia,10 Jun 1980 A
Bahamas,1 Mar 1979 A
Bahrain,25 Apr 1980 A
Bangladesh,8 Oct 1979 A
Barbados,30 Aug 1977 A
Belgium,28 Apr 1978 A
Brazil,1 Aug 1977 A
Bulgaria,4 Mar 1980 A
Canada,22 Apr 1977 A
Cape Verde,23 Apr 1980 A
Chile,20 Mar 1978 A
China,14 Mar 1979 A
Côte d'Ivoire,4 Nov 1981 A
Cuba,27 Dec 1979 A
Cyprus,6 Dec 1977 A
Denmark,18 Sep 1976 A
Djibouti,20 Feb 1979 A
Dominica,18 Dec 1979 A
Egypt,16 Nov 1976 A
El Salvador,12 Feb 1981 A
Ethiopia,2 Feb 1979 A
Finland,19 Oct 1976 A
France,1 Feb 1977 A
Gambia,11 Jan 1979 A
Germany,24 Oct 1977 A
Ghana,5 Feb 1980 A
Greece,28 Jul 1981 A
Guinea,1 Apr 1977 A
Guinea-Bissau,6 Dec 1977 A
Guyana,13 May 1980 A
Hungary,31 Mar 1980 A
Iceland,28 Jul 1980 A
India,1 May 1978 A
Iraq,5 Sep 1979 A
Ireland,27 Oct 1981 A
Israel,31 Dec 1979 A
Jamaica,9 Apr 1979 A
Jordan,5 Apr 1977 A
Kuwait,28 Dec 1978 A
Liberia,19 Nov 1979 A
Libya,13 Sep 1976 A
Malaysia,12 Apr 1982 A
Maldives,25 Feb 1980 A
Malta,23 Apr 1979 A
Mexico,19 Dec 1980 A
Morocco,25 Jul 1980 A
Myanmar,29 Jan 1980 A
Nepal,31 Jan 1979 A
Netherlands,19 Jul 1977 A
New Zealand,15 Aug 1978 A
Nicaragua,17 Mar 1982 A
Norway,8 Aug 1977 A
Oman,22 May 1981 A
Pakistan,23 Jan 1981 A
Panama,22 Jun 1977 A
Peru,21 Jan 1980 A
Philippines,17 Nov 1981 A
Poland,13 Feb 1979 A
Portugal,3 Mar 1980 A
Qatar,19 May 1977 A
Republic of Korea,19 Sep 1978 A
Romania,25 Jul 1977 A
Russian Federation,2 Jul 1979 A
Saudi Arabia,1 Aug 1979 A
Seychelles,13 Jun 1978 A
Singapore,15 Jun 1979 A
Spain,14 Apr 1981 A
Sri Lanka,12 Jul 1977 A
St. Lucia,10 Apr 1980 A
St. Vincent and the Grenadines,29 Apr 1981 A
Suriname,11 Apr 1979 A
Sweden,23 Mar 1977 A
Switzerland,22 May 1981 A
Thailand,20 Feb 1981 A
Tunisia,1 Aug 1979 A
United Arab Emirates,4 Mar 1980 A
United Kingdom of Great Britain and Northern Ireland,22 Feb 1980 A
United Republic of Tanzania,23 Apr 1979 A
United States of America,28 Aug 1980 A
Uruguay,17 Dec 1980 A
