Participant,Acceptance(A)
Albania,24 May 1993 A
Algeria,28 Oct 1983 A
Antigua and Barbuda,13 Jan 1986 A
Argentina,13 Jun 1983 A
Australia,17 Nov 1980 A
Austria,6 Apr 1983 A
Bahamas,23 May 1980 A
Bahrain,25 Apr 1980 A
Bangladesh,17 Mar 1980 A
Barbados,3 Mar 1980 A
Belgium,23 Dec 1980 A
Bulgaria,21 Oct 1980 A
Cameroon,2 Feb 1984 A
Canada,23 May 1980 A
Cape Verde,30 Aug 1983 A
Chile,16 Mar 1981 A
China,29 Jul 1981 A
Cte d'Ivoire,4 Nov 1981 A
Cuba,3 Nov 1983 A
Cyprus,7 Oct 1982 A
Denmark,12 May 1981 A
Djibouti,1 Jun 1982 A
Egypt,14 Sep 1982 A
Ethiopia,8 Dec 1982 A
Finland,14 Jan 1980 A
France,26 May 1983 A
Gabon,10 Nov 1983 A
Germany,23 Jun 1980 A
Ghana,14 Nov 1983 A
Greece,28 Jul 1981 A
Hungary,3 May 1982 A
Iceland,28 Jul 1980 A
India,5 May 1980 A
Indonesia,29 Jul 1983 A
Iraq,6 Apr 1983 A
Ireland,27 Oct 1981 A
Israel,15 Dec 1982 A
Italy,13 Jun 1983 A
Jamaica,30 Apr 1980 A
Jordan,18 Jan 1984 A
Kenya,19 Apr 1983 A
Lebanon,19 Apr 1983 A
Liberia,8 Jan 1981 A
Malaysia,2 Apr 1981 A
Maldives,2 Apr 1980 A
Mexico,23 Mar 1983 A
Morocco,25 Jul 1980 A
Nepal,1 Nov 1982 A
Netherlands,29 Jun 1981 A
New Zealand,15 Dec 1980 A
Nicaragua,17 Mar 1982 A
Norway,28 Jul 1981 A
Oman,24 May 1982 A
Pakistan,10 Dec 1982 A
Peru,28 Jul 1982 A
Philippines,11 Jul 1983 A
Poland,20 Nov 1980 A
Portugal,22 Dec 1982 A
Qatar,29 Jun 1982 A
Republic of Korea,31 Mar 1980 A
Romania,14 Sep 1982 A
Russian Federation,23 Jan 1981 A
Senegal,20 Jun 1983 A
Seychelles,7 Jul 1982 A
Singapore,1 Nov 1983 A
Somalia,6 Dec 1983 A
Spain,14 Apr 1981 A
Sri Lanka,17 Mar 1981 A
St. Lucia,14 Sep 1983 A
St. Vincent and the Grenadines,29 Apr 1981 A
Suriname,28 May 1980 A
Sweden,25 Nov 1980 A
Switzerland,22 May 1981 A
Thailand,23 Mar 1983 A
Togo,20 Jun 1983 A
Trinidad and Tobago,5 Jul 1983 A
Tunisia,5 Jan 1983 A
United Arab Emirates,2 Nov 1981 A
United Kingdom of Great Britain and Northern Ireland,14 Sep 1983 A
United Republic of Tanzania,26 May 1983 A
United States of America,17 Nov 1981 A
Uruguay,13 Oct 1983 A
Yemen,20 Jun 1983 A
