Participant,Signature,"Acceptance(A), Accession(a), Succession(d)"
Afghanistan,29 Dec 1949,
Bosnia and Herzegovina,,12 Jan 1994 d
Brazil,15 Sep 1949,15 Aug 1962 A
Cambodia,,20 Feb 1952 a
Canada,17 Dec 1949,4 Oct 1950 A
Congo,,26 Aug 1968 a
Costa Rica,,9 Jun 1971 a
Croatia,,26 Jul 1993 d
Cuba,,7 Feb 1977 a
Cyprus,,10 Aug 1972 a
Czech Republic,,22 Aug 1997 a
Denmark,29 Dec 1949,10 Aug 1955 A
Dominican Republic,5 Aug 1949,
Ecuador,29 Dec 1949,
El Salvador,29 Dec 1949,24 Jun 1953 A
Ghana,,22 Mar 1960 a
Greece,31 Dec 1949,9 Jul 1954 A
Haiti,2 Dec 1949,14 May 1954 A
Iran (Islamic Republic of),31 Dec 1949,30 Dec 1959 A
Iraq,,29 Aug 1952 a
Jordan,,7 Jul 1972 a
Lebanon,30 Dec 1949,12 May 1971 A
Liberia,,16 Sep 2005 a
Libya,,22 Jan 1973 a
Madagascar,,23 May 1962 a
Malawi,,5 Jul 1967 a
Malta,,29 Jul 1968 a
Montenegro,,23 Oct 2006 d
Morocco,,25 Jul 1968 a
Netherlands,30 Dec 1949,
Niger,,22 Apr 1968 a
Norway,20 Dec 1949,12 Jan 1950 A
Pakistan,,16 Feb 1950 A
Philippines,31 Dec 1949,13 Nov 1952 A
Serbia,,12 Mar 2001 d
Slovakia,,9 Jun 1997 a
Slovenia,,3 Nov 1992 d
Syrian Arab Republic,,16 Sep 1951 a
The former Yugoslav Republic of Macedonia,,2 Sep 1997 d
Trinidad and Tobago,,31 Aug 1965 a
United States of America,13 Sep 1949,14 Oct 1966 A
Uruguay,31 Dec 1949,20 Apr 1999 A
