Participant,Signature,"Ratification, Accession(a), Acceptance(A), Succession(d)"
Armenia,,23 Aug 2010 a
Australia,,5 Mar 1992 a
Austria,4 Feb 1993,28 Jun 1994
Barbados,,10 Apr 1979 a
Belgium,18 Jun 1980,25 Sep 1986
Bosnia and Herzegovina,,1 Sep 1993 d
Bulgaria,,14 Mar 1997 a
Burkina Faso,,3 Dec 2009 a
Croatia,,26 Jul 1993 d
Cuba,,15 May 1992 a
Cyprus,,3 Aug 2004 a
Czech Republic,,22 Aug 1997 a
Denmark,18 Jun 1980,17 Feb 1983
Egypt,,18 Sep 1981 a
Estonia,,1 Aug 2001 a
Finland,,17 Feb 1987 a
France,18 Jun 1980,3 Jan 1986
Germany,18 Jun 1980,17 Aug 1989
Greece,,4 Mar 1983 a
Holy See,,22 Feb 1980 a
Iraq,,13 Apr 1978 a
Ireland,18 Jun 1980,18 Jun 1980
Italy,18 Jun 1980,2 Jul 1981 A
Kazakhstan,,21 Dec 1998 a
Latvia,,20 Nov 2001 a
Liberia,,16 Sep 2005 a
Lithuania,,21 Aug 1998 a
Luxembourg,18 Jun 1980,22 Jun 1982
Montenegro,,23 Oct 2006 d
Netherlands,18 Jun 1980,15 Jul 1981 A
New Zealand,9 Nov 1981,
Niger,,29 Dec 2008 a
Oman,19 Dec 1977,
Portugal,,11 Jun 1984 a
Republic of Moldova,,3 Sep 1998 a
Russian Federation,,7 Oct 1994 a
San Marino,,30 Jul 1985 a
Serbia,,12 Mar 2001 d
Slovakia,,9 Jun 1997 a
Slovenia,,6 Jul 1992 d
Spain,,2 Oct 1992 a
Sweden,,30 Jul 1997 a
The former Yugoslav Republic of Macedonia,,2 Sep 1997 d
Togo,,16 Nov 2009 a
United Kingdom of Great Britain and Northern Ireland,18 Jun 1980,9 Jun 1982
United States of America,1 Sep 1981,15 May 1989
Uruguay,,20 Apr 1999 a
Venezuela (Bolivarian Republic of),,1 May 1992 a
