Participant,Signature ad referendum (s),"Definitive signature(s), Confirmation of signature"
Afghanistan,,15 Aug 1984 s
Algeria,,4 Nov 1985 s
Argentina,,4 Apr 1984 s
Bhutan,,31 May 1984 s
Brazil,5 May 1986,9 Mar 1990
Bulgaria,,4 Apr 1984 s
Chile,,4 Apr 1984 s
Colombia,,14 Sep 1987 s
Costa Rica,14 Aug 1990,11 Oct 1996
Croatia,,26 Aug 1993 s
Cuba,,4 Apr 1984 s
Ecuador,17 Jul 1990,
Egypt,2 Jan 1986,13 Jan 1987
Greece,,4 Apr 1984 s
Hungary,,14 Sep 1987 s
India,,4 Apr 1984 s
Iran (Islamic Republic of),29 Apr 1988,18 Dec 2001
Iraq,,23 Oct 1984 s
Italy,,4 Apr 1984 s
Mauritius,,19 Sep 1984 s
Mexico,25 Oct 1984,21 Jan 1988
Morocco,,19 Oct 1984 s
Nigeria,,2 May 1985 s
Panama,,11 Dec 1984 s
Peru,,4 Apr 1984 s
Poland,1 Aug 1990,
Russian Federation,,18 Sep 1992 s
Senegal,,29 Jun 1984 s
Sri Lanka,,1 Oct 1993 s
Sudan,,29 Jan 1993 s
Trinidad and Tobago,,8 Feb 1985 s
Tunisia,,5 Aug 1992 s
Turkey,,22 Sep 1987 s
Venezuela (Bolivarian Republic of),,4 Apr 1984 s
Viet Nam,,17 Sep 1984 s
