Participant,"Signature, Signature ad referendum (s)",Confirmation of signature ad referendum(C),"Ratification, Acceptance(A), Accession(a)",Notification under article 21 (1)
Afghanistan,13 Sep 1983,28 Mar 1984 C,6 Jul 1988,
Algeria,13 Sep 1983,,11 Sep 1987,22 Dec 1992
Argentina,13 Sep 1983,,8 May 1990,22 Dec 1992
Bangladesh,,,18 Jul 1996 a,
Bhutan,31 May 1984,,7 May 1985,22 Dec 1992
Bolivia (Plurinational State of),13 Sep 1983,,,
Bosnia and Herzegovina,,,1 Feb 2005 a,
Brazil,5 May 1986,,9 Mar 1990,4 Feb 1993
Bulgaria,13 Sep 1983,,23 Jun 1986 A,
Burundi,,,22 Aug 2008 a,
Cameroon,,,27 Apr 2006 a,
Chile,13 Sep 1983,,27 Apr 1994,
China,13 Sep 1983,,13 Apr 1992 A,22 Dec 1992
Colombia,21 Nov 1986,,3 Mar 1997,
Congo,13 Sep 1983,,,
Costa Rica,14 Aug 1990,,11 Oct 1996,
Cote d'Ivoire,,,22 Jan 1999 a,
Croatia,20 Oct 1992,,26 Aug 1993 A,20 Sep 1993
Cuba,13 Sep 1983,,30 Jun 1986,22 Dec 1992
Democratic Republic of the Congo,13 Sep 1983,,,
Ecuador,13 Sep 1983,,26 Oct 1994,
Egypt,13 Sep 1983,,13 Jan 1987,22 Dec 1992
Eritrea,,,26 Jan 2010 a,
Greece,13 Sep 1983,,,
Hungary,13 Jan 1987,,13 Jan 1987 A,31 Aug 1993
India,13 Sep 1983,,9 Jul 1985,22 Dec 1992
Indonesia,13 Sep 1983,,,
Iran (Islamic Republic of),29 Apr 1988,,18 Dec 2001,
Iraq,28 Feb 1984,,19 Feb 1985,22 Dec 1992
Italy,13 Sep 1983,,20 Sep 1990,22 Dec 1992
Jordan,,,8 Nov 2002 a,
Kenya,,,30 Jul 2010 a,
Kuwait,13 Sep 1983,,21 Oct 1986,
Kyrgyzstan,,,7 Oct 1994 a,
Liberia,,,22 Nov 2005 a,
Libya,,,30 Jun 2008 a,
Malaysia,,,11 Dec 2007 a,
Mauritania,13 Sep 1983,,,
Mauritius,19 Sep 1984,,5 Jan 1989,11 May 1993
Mexico,13 Sep 1983,21 May 1984 C,21 Jan 1988,
Montenegro,,,6 Aug 2012 a,
Morocco,19 Oct 1984,,28 Jun 1990,22 Dec 1992
Namibia,,,2 Nov 2012 a,
Nigeria,13 Sep 1983,,13 Mar 1991,27 Apr 1994
Pakistan,4 Nov 1983,,5 Apr 1994,
Panama,11 Dec 1984,,12 Aug 1986,22 Dec 1992
Peru,22 Mar 1984,,6 Jan 1995,
Poland,1 Aug 1990,,9 Sep 1996,
Qatar,,,16 Jan 2008 a,
Romania,,,5 Dec 1995 a,
Russian Federation,,,30 Nov 1992 A,22 Dec 1992
Saudi Arabia,,,2 Jan 2006 a,
Senegal,29 Jun 1984,,4 May 1985,23 Dec 1993
Slovakia,,,13 Jan 1998 a,
Slovenia,,,28 Dec 1994 a,
South Africa,,,6 Feb 2004 a,
Spain,13 Sep 1983,,,
Sri Lanka,12 Nov 1991,,1 Oct 1993,3 Feb 1994
Sudan,13 Sep 1983,,21 Oct 1991,22 Dec 1992
Syrian Arab Republic,17 Oct 1991,,18 Apr 2001,
Thailand,13 Sep 1983,,,
The former Yugoslav Republic of Macedonia,,,27 Apr 1994 a,
Trinidad and Tobago,13 Sep 1983,,13 Oct 2003,
Tunisia,27 Oct 1983,,20 Sep 1990,22 Dec 1992
Turkey,22 Sep 1987,,10 Jan 1989,22 Dec 1992
United Arab Emirates,,,22 Mar 2004 a,
United Republic of Tanzania,,,1 May 2001 a,
Uruguay,,,5 Dec 1995 a,
Venezuela (Bolivarian Republic of),13 Sep 1983,,15 Oct 1985,22 Dec 1992
Viet Nam,17 Sep 1984,,15 Apr 1993 A,15 Apr 1993
