Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Albania,12 Dec 2000,21 Aug 2002
Algeria,6 Jun 2001,9 Mar 2004
Antigua and Barbuda,,17 Feb 2010 a
Argentina,12 Dec 2000,19 Nov 2002
Armenia,15 Nov 2001,1 Jul 2003
Australia,21 Dec 2001,27 May 2004
Austria,12 Dec 2000,30 Nov 2007
Azerbaijan,12 Dec 2000,30 Oct 2003
Bahamas,9 Apr 2001,26 Sep 2008
Bahrain,,7 Jun 2004 a
Barbados,26 Sep 2001,
Belarus,14 Dec 2000,25 Jun 2003
Belgium,12 Dec 2000,11 Aug 2004
Belize,,14 Sep 2006 a
Benin,17 May 2002,30 Aug 2004
Bolivia (Plurinational State of),12 Dec 2000,
Bosnia and Herzegovina,12 Dec 2000,24 Apr 2002
Botswana,10 Apr 2002,29 Aug 2002
Brazil,12 Dec 2000,29 Jan 2004
Bulgaria,13 Dec 2000,5 Dec 2001
Burkina Faso,15 Dec 2000,15 May 2002
Burundi,14 Dec 2000,24 May 2012
Cambodia,11 Nov 2001,12 Dec 2005
Cameroon,13 Dec 2000,6 Feb 2006
Canada,14 Dec 2000,13 May 2002
Cape Verde,13 Dec 2000,15 Jul 2004
Central African Republic,,6 Oct 2006 a
Chile,8 Aug 2002,29 Nov 2004
Congo,14 Dec 2000,
Costa Rica,16 Mar 2001,7 Aug 2003
Croatia,12 Dec 2000,24 Jan 2003
Cyprus,12 Dec 2000,6 Aug 2003
Czech Republic,10 Dec 2002,
Democratic Republic of the Congo,,28 Oct 2005 a
Denmark,12 Dec 2000,8 Dec 2006
Djibouti,,20 Apr 2005 a
Dominica,,17 May 2013 a
Dominican Republic,15 Dec 2000,10 Dec 2007
Ecuador,13 Dec 2000,17 Sep 2002
Egypt,,1 Mar 2005 a
El Salvador,15 Aug 2002,18 Mar 2004
Equatorial Guinea,14 Dec 2000,
Estonia,20 Sep 2002,12 May 2004
Ethiopia,,22 Jun 2012 a
European Union,12 Dec 2000,6 Sep 2006 AA
Finland,12 Dec 2000,7 Sep 2006 A
France,12 Dec 2000,29 Oct 2002
Gambia,14 Dec 2000,5 May 2003
Georgia,13 Dec 2000,5 Sep 2006
Germany,12 Dec 2000,14 Jun 2006
Ghana,,21 Aug 2012 a
Greece,13 Dec 2000,11 Jan 2011
Grenada,,21 May 2004 a
Guatemala,,1 Apr 2004 a
Guinea,,8 Jun 2005 a
Guinea-Bissau,14 Dec 2000,
Guyana,,16 Apr 2008 a
Haiti,13 Dec 2000,19 Apr 2011
Honduras,,18 Nov 2008 a
Hungary,14 Dec 2000,22 Dec 2006
Iceland,13 Dec 2000,
India,12 Dec 2002,5 May 2011
Indonesia,12 Dec 2000,28 Sep 2009
Iraq,,9 Feb 2009 a
Ireland,13 Dec 2000,
Italy,12 Dec 2000,2 Aug 2006
Jamaica,13 Feb 2002,29 Sep 2003
Japan,9 Dec 2002,
Kazakhstan,,31 Jul 2008 a
Kenya,,5 Jan 2005 a
Kiribati,,15 Sep 2005 a
Kuwait,,12 May 2006 a
Kyrgyzstan,13 Dec 2000,2 Oct 2003
Lao People's Democratic Republic,,26 Sep 2003 a
Latvia,10 Dec 2002,23 Apr 2003
Lebanon,26 Sep 2002,5 Oct 2005
Lesotho,14 Dec 2000,24 Sep 2004
Liberia,,22 Sep 2004 a
Libya,13 Nov 2001,24 Sep 2004
Liechtenstein,14 Mar 2001,20 Feb 2008
Lithuania,25 Apr 2002,12 May 2003
Luxembourg,12 Dec 2000,24 Sep 2012
Madagascar,14 Dec 2000,15 Sep 2005
Malawi,,17 Mar 2005 a
Mali,15 Dec 2000,12 Apr 2002
Malta,14 Dec 2000,24 Sep 2003
