Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Albania,,8 Feb 2008 a
Algeria,,25 Aug 2004 a
Antigua and Barbuda,,27 Apr 2010 a
Argentina,7 Oct 2002,18 Dec 2006
Armenia,,26 Jan 2012 a
Australia,21 Dec 2001,
Austria,12 Nov 2001,
Azerbaijan,,3 Dec 2004 a
Bahamas,,26 Sep 2008
Barbados,26 Sep 2001,
Belarus,,6 Oct 2004 a
Belgium,11 Jun 2002,24 Sep 2004
Benin,17 May 2002,30 Aug 2004
Bosnia and Herzegovina,,1 Apr 2008 a
Brazil,11 Jul 2001,31 Mar 2006
Bulgaria,15 Feb 2002,6 Aug 2002
Burkina Faso,17 Oct 2001,15 May 2002
Burundi,,24 May 2012 a
Cambodia,,12 Dec 2005 a
Canada,20 Mar 2002,
Cape Verde,,15 Jul 2004 a
Central African Republic,,6 Oct 2006 a
Chile,,17 Jun 2010 a
China,9 Dec 2002,
Costa Rica,12 Nov 2001,9 Sep 2003
Croatia,,7 Feb 2005 a
Cuba,,9 Feb 2007 a
Cyprus,14 Aug 2002,6 Aug 2003
Democratic Republic of the Congo,,28 Oct 2005 a
Denmark,27 Aug 2002,
Dominica,,17 May 2013 a
Dominican Republic,15 Nov 2001,7 Apr 2009
Ecuador,12 Oct 2001,
El Salvador,15 Aug 2002,18 Mar 2004
Estonia,20 Sep 2002,12 May 2004
Ethiopia,,22 Jun 2012 a
European Union,16 Jan 2002,
Finland,23 Jan 2002,17 May 2011 A
Gabon,,22 Sep 2010 a
Germany,3 Sep 2002,
Greece,10 Oct 2002,11 Jan 2011
Grenada,,21 May 2004 a
Guatemala,,1 Apr 2004 a
Guyana,,2 May 2008 a
Haiti,,19 Apr 2011 a
Honduras,,1 Apr 2008 a
Hungary,,13 Jul 2011 a
Iceland,15 Nov 2001,
India,12 Dec 2002,5 May 2011
Iraq,,23 May 2013 a
Italy,14 Nov 2001,2 Aug 2006
Jamaica,13 Nov 2001,29 Sep 2003
Japan,9 Dec 2002,
Kazakhstan,,31 Jul 2008 a
Kenya,,5 Jan 2005 a
Kuwait,,30 Jul 2007 a
Lao People's Democratic Republic,,26 Sep 2003 a
Latvia,,28 Jul 2004 a
Lebanon,26 Sep 2002,13 Nov 2006
Lesotho,,24 Sep 2003 a
Liberia,,22 Sep 2004 a
Libya,13 Nov 2001,18 Jun 2004
Lithuania,12 Dec 2002,24 Feb 2005
Luxembourg,11 Dec 2002,
Madagascar,13 Nov 2001,15 Sep 2005
Malawi,,17 Mar 2005 a
Mali,11 Jul 2001,3 May 2002
Mauritania,,22 Jul 2005 a
Mauritius,,24 Sep 2003 a
Mexico,31 Dec 2001,10 Apr 2003
Monaco,24 Jun 2002,
Mongolia,,27 Jun 2008 a
Montenegro,,23 Oct 2006 d
Morocco,,8 Apr 2009 a
Mozambique,,20 Sep 2006 a
Nauru,12 Nov 2001,12 Jul 2012
Netherlands,,8 Feb 2005 a
Nicaragua,,2 Jul 2007 a
Nigeria,13 Nov 2001,3 Mar 2006
Norway,10 May 2002,23 Sep 2003
Oman,,13 May 2005 a
Panama,5 Oct 2001,18 Aug 2004
Paraguay,,27 Sep 2007 a
Peru,,23 Sep 2003 a
Poland,12 Dec 2002,4 Apr 2005
Portugal,3 Sep 2002,3 Jun 2011
Republic of Korea,4 Oct 2001,
Republic of Moldova,,28 Feb 2006 a
Romania,,16 Apr 2004 a
Rwanda,,4 Oct 2006 a
Sao Tome and Principe,,12 Apr 2006 a
Saudi Arabia,,11 Mar 2008 a
Senegal,17 Jan 2002,7 Apr 2006
Serbia,,20 Dec 2005 a
Seychelles,22 Jul 2002,
Sierra Leone,27 Nov 2001,
Slovakia,26 Aug 2002,21 Sep 2004
Slovenia,15 Nov 2001,21 May 2004
South Africa,14 Oct 2002,20 Feb 2004
Spain,,9 Feb 2007 a
St. Kitts and Nevis,,21 May 2004 a
St. Vincent and the Grenadines,,29 Oct 2010 a
Swaziland,,24 Sep 2012 a
Sweden,10 Jan 2002,28 Jun 2011
Switzerland,,29 Nov 2012 a
The former Yugoslav Republic of Macedonia,,14 Sep 2007 a
Togo,,17 Jul 2012 a
Trinidad and Tobago,,6 Nov 2007 a
Tunisia,10 Jul 2002,10 Apr 2008
Turkey,28 Jun 2002,4 May 2004
Turkmenistan,,28 Mar 2005 a
Uganda,,9 Mar 2005 a
United Kingdom of Great Britain and Northern Ireland,6 May 2002,
United Republic of Tanzania,,24 May 2006 a
Uruguay,,3 Apr 2008 a
Zambia,,24 Apr 2005 a
