Participant,"Signature, Succession to signature(d)","Approval(AA), Acceptance(A), Accession(a), Ratification"
Afghanistan,29 Dec 2005,25 Mar 2013
Albania,23 Nov 2005,
Algeria,,3 Mar 2011 a
Andorra,11 May 2006,
Antigua and Barbuda,,1 Dec 2009 a
Argentina,14 Sep 2005,
Armenia,15 Sep 2005,22 Sep 2010
Australia,14 Sep 2005,16 Mar 2012
Austria,15 Sep 2005,14 Sep 2006
Azerbaijan,15 Sep 2005,28 Jan 2009
Bahrain,,4 May 2010 a
Bangladesh,,7 Jun 2007 a
Belarus,15 Sep 2005,13 Mar 2007
Belgium,14 Sep 2005,2 Oct 2009
Benin,15 Sep 2005,
Bosnia and Herzegovina,7 Dec 2005,
Brazil,16 Sep 2005,25 Sep 2009
Bulgaria,14 Sep 2005,
Burkina Faso,21 Sep 2005,
Burundi,29 Mar 2006,24 Sep 2008
Cambodia,7 Dec 2006,
Canada,14 Sep 2005,
Central African Republic,,19 Feb 2008 a
Chile,22 Sep 2005,27 Sep 2010
China,14 Sep 2005,8 Nov 2010
Colombia,1 Nov 2006,
Comoros,,12 Mar 2007 a
Costa Rica,15 Sep 2005,21 Feb 2013
Côte d'Ivoire,,12 Mar 2012 a
Croatia,16 Sep 2005,30 May 2007
Cuba,,17 Jun 2009 a
Cyprus,15 Sep 2005,28 Jan 2008
Czech Republic,15 Sep 2005,25 Jul 2006
Democratic Republic of the Congo,,23 Sep 2010 a
Denmark,14 Sep 2005,20 Mar 2007
Djibouti,14 Jun 2006,
Dominican Republic,,11 Jun 2008 a
Ecuador,15 Sep 2005,
Egypt,20 Sep 2005,
El Salvador,16 Sep 2005,27 Nov 2006
Estonia,14 Sep 2005,
Fiji,,15 May 2008 a
Finland,14 Sep 2005,13 Jan 2009 A
France,14 Sep 2005,
Gabon,15 Sep 2005,1 Oct 2007
Georgia,,23 Apr 2010 a
Germany,15 Sep 2005,8 Feb 2008
Ghana,6 Nov 2006,
Greece,15 Sep 2005,
Guatemala,20 Sep 2005,
Guinea,16 Sep 2005,
Guinea-Bissau,,6 Aug 2008 a
Guyana,15 Sep 2005,
Hungary,14 Sep 2005,12 Apr 2007
Iceland,16 Sep 2005,
India,24 Jul 2006,1 Dec 2006
Iraq,,13 May 2013 a
Ireland,15 Sep 2005,
Israel,27 Dec 2006,
Italy,14 Sep 2005,
Jamaica,5 Dec 2006,
Japan,15 Sep 2005,3 Aug 2007 A
Jordan,16 Nov 2005,
Kazakhstan,16 Sep 2005,31 Jul 2008
Kenya,15 Sep 2005,13 Apr 2006
Kiribati,15 Sep 2005,26 Sep 2008
Kuwait,16 Sep 2005,
Kyrgyzstan,5 May 2006,2 Oct 2007
Latvia,16 Sep 2005,25 Jul 2006
Lebanon,23 Sep 2005,13 Nov 2006
Lesotho,16 Sep 2005,22 Sep 2010
Liberia,16 Sep 2005,
Libya,16 Sep 2005,22 Dec 2008
Liechtenstein,16 Sep 2005,25 Sep 2009
Lithuania,16 Sep 2005,19 Jul 2007
Luxembourg,15 Sep 2005,2 Oct 2008
Madagascar,15 Sep 2005,
Malawi,,7 Oct 2009 a
Malaysia,16 Sep 2005,
Mali,,5 Nov 2009 a
Malta,15 Sep 2005,26 Sep 2012
Mauritania,,28 Apr 2008 a
Mauritius,14 Sep 2005,
Mexico,12 Jan 2006,27 Jun 2006
Monaco,14 Sep 2005,
Mongolia,3 Nov 2005,6 Oct 2006
Montenegro,23 Oct 2006 d,
Morocco,19 Apr 2006,31 Mar 2010
Mozambique,1 May 2006,
Nauru,,24 Aug 2010 a
Netherlands,16 Sep 2005,30 Jun 2010 A
New Zealand,14 Sep 2005,
Nicaragua,15 Sep 2005,25 Feb 2009
Niger,,2 Jul 2008 a
Nigeria,,25 Sep 2012 a
Norway,16 Sep 2005,
Palau,15 Sep 2005,
Panama,21 Feb 2006,21 Jun 2007
Paraguay,16 Sep 2005,29 Jan 2009
Peru,14 Sep 2005,29 May 2009
Philippines,15 Sep 2005,
Poland,14 Sep 2005,8 Apr 2010
Portugal,21 Sep 2005,
Qatar,16 Feb 2006,
Republic of Korea,16 Sep 2005,
Republic of Moldova,16 Sep 2005,18 Apr 2008
Romania,14 Sep 2005,24 Jan 2007
Russian Federation,14 Sep 2005,29 Jan 2007
Rwanda,6 Mar 2006,
