Participant,"Accession(a), Succession(d), Ratification"
Antigua and Barbuda,25 Oct 1988 d
Azerbaijan,16 Aug 1996 a
Bahamas,10 Jun 1976 d
Bangladesh,7 Jan 1985 a
Barbados,22 Jul 1976 d
Benin,4 Apr 1962 d
Bolivia (Plurinational State of),6 Oct 1983 a
Cameroon,7 Mar 1962 d
Central African Republic,4 Sep 1962 d
Chile,20 Jun 1995 a
Congo,15 Oct 1962 d
Cte d'Ivoire,8 Dec 1961 d
Croatia,12 Oct 1992 d
Czech Republic,22 Feb 1993 d
Dominica,17 Aug 1994 d
Fiji,12 Jun 1972 d
Ghana,3 May 1963 d
Guatemala,11 Nov 1983 a
Guinea,30 Mar 1962 d
Israel,6 Jan 1955 a
Kazakhstan,1 May 2008 a
Mali,2 Feb 1973 d
Mauritania,6 Jun 1986 a
Morocco,11 May 1959 d
Niger,25 Aug 1961 d
Paraguay,27 Sep 2007 a
Senegal,2 May 1963 d
Seychelles,5 May 1992 a
Slovakia,28 May 1993 d
Solomon Islands,3 Sep 1981 d
St. Lucia,14 Feb 1990 d
St. Vincent and the Grenadines,9 Nov 1981 a
Suriname,12 Oct 1979 d
The former Yugoslav Republic of Macedonia,18 Jan 1994 d
Togo,27 Feb 1962 d
Turkmenistan,1 May 1997 a
