Participant,"Signature, Succession to signature(d)","Ratification, Accession(a), Succession(d)"
Angola,28 Dec 1990,
Azerbaijan,,4 Dec 1997 a
Barbados,,10 Jul 1992 a
Belarus,13 Dec 1990,28 May 1997
Belgium,,31 May 2002 a
Cameroon,21 Dec 1990,26 Jan 1996
Congo,20 Jun 1990,
Costa Rica,,20 Sep 2001 a
Croatia,,27 Mar 2000 a
Cuba,,9 Feb 2007 a
Cyprus,,8 Jul 1993 a
Democratic Republic of the Congo,20 Mar 1990,
Georgia,,8 Jun 1995 a
Germany,20 Dec 1990,
Guinea,,18 Jul 2003 a
Honduras,,1 Apr 2008 a
Italy,5 Feb 1990,21 Aug 1995
Liberia,,16 Sep 2005 a
Libya,,22 Sep 2000 a
Maldives,17 Jul 1990,11 Sep 1991
Mali,,12 Apr 2002 a
Mauritania,,9 Feb 1998 a
Montenegro,23 Oct 2006 d,
Morocco,5 Oct 1990,
New Zealand,,22 Sep 2004 a
Nigeria,4 Apr 1990,
Peru,,23 Mar 2007 a
Poland,28 Dec 1990,
Qatar,,26 Mar 1999 a
Republic of Moldova,,28 Feb 2006 a
Romania,17 Dec 1990,
Saudi Arabia,,14 Apr 1997 a
Senegal,,9 Jun 1999 a
Serbia,12 Mar 2001 d,
Seychelles,,12 Mar 1990 a
Suriname,27 Feb 1990,10 Aug 1990
Syrian Arab Republic,,23 Oct 2008 a
Togo,,25 Feb 1991 a
Turkmenistan,,18 Sep 1996 a
Ukraine,21 Sep 1990,13 Sep 1993
Uruguay,20 Nov 1990,14 Jul 1999
Uzbekistan,,19 Jan 1998 a
