Participant,Signature,"Ratification, Acceptance(A), Accession(a), Approval(AA), Succession(d)"
Albania,,30 Mar 2001 a
Argentina,15 Dec 1994,6 Jan 1997
Australia,22 Dec 1995,4 Dec 2000
Austria,,6 Sep 2000 a
Azerbaijan,,3 Aug 2000 a
Bangladesh,21 Dec 1994,22 Sep 1999
Belarus,23 Oct 1995,29 Nov 2000
Belgium,21 Dec 1995,19 Feb 2002
Bolivia (Plurinational State of),17 Aug 1995,22 Dec 2004
Bosnia and Herzegovina,,11 Aug 2003 a
Botswana,,1 Mar 2000 a
Brazil,3 Feb 1995,6 Sep 2000
Brunei Darussalam,,20 Mar 2002 a
Bulgaria,,4 Jun 1998 a
Burkina Faso,,27 Oct 2008 a
Canada,15 Dec 1994,3 Apr 2002
Chile,,27 Aug 1997 a
China,,22 Sep 2004 a
Costa Rica,,17 Oct 2000 a
Côte d'Ivoire,,13 Mar 2002 a
Croatia,,27 Mar 2000 a
Cyprus,,1 Jul 2003 a
Czech Republic,27 Dec 1995,13 Jun 1997
Democratic People's Republic of Korea,,8 Oct 2003 a
Denmark,15 Dec 1994,11 Apr 1995
Dominican Republic,,16 Mar 2012 a
Ecuador,,28 Dec 2000 a
Estonia,,8 Mar 2006 a
Fiji,25 Oct 1995,1 Apr 1999
Finland,15 Dec 1994,5 Jan 2001
France,12 Jan 1995,9 Jun 2000
Germany,1 Feb 1995,22 Apr 1997
Greece,,3 Aug 2000 a
Guatemala,,23 Sep 2008 a
Guinea,,7 Sep 2000 a
Guyana,,21 May 2004 a
Haiti,19 Dec 1994,
Honduras,17 May 1995,
Hungary,,13 Jul 1999 a
Iceland,,10 May 2001 a
Ireland,,28 Mar 2002 a
Italy,16 Dec 1994,5 Apr 1999
Jamaica,,8 Sep 2000 a
Japan,6 Jun 1995,6 Jun 1995 A
Kenya,,19 Oct 2004 a
Kuwait,,19 Jul 2004 a
Lao People's Democratic Republic,,22 Aug 2002 a
Lebanon,,25 Sep 2003 a
Lesotho,,6 Sep 2000 a
Liberia,,22 Sep 2004 a
Libya,,22 Sep 2000 a
Liechtenstein,16 Oct 1995,11 Dec 2000
Lithuania,,8 Sep 2000 a
Luxembourg,31 May 1995,30 Jul 2001
Malawi,,7 Oct 2009 a
Mali,,2 Jan 2008 a
Malta,16 Mar 1995,
Monaco,,5 Mar 1999 a
Mongolia,,25 Feb 2004 a
Montenegro,,23 Oct 2006 d
Nauru,,12 Nov 2001 a
Nepal,,8 Sep 2000 a
Netherlands,22 Dec 1995,7 Feb 2002 A
New Zealand,15 Dec 1994,16 Dec 1998
Norway,15 Dec 1994,3 Jul 1995
Pakistan,8 Mar 1995,
Panama,15 Dec 1994,4 Apr 1996
Paraguay,,30 Dec 2008 a
Philippines,27 Feb 1995,17 Jun 1997
Poland,17 Mar 1995,22 May 2000
Portugal,15 Dec 1994,14 Oct 1998
Republic of Korea,,8 Dec 1997 a
Romania,27 Sep 1995,29 Dec 1997
Russian Federation,26 Sep 1995,25 Jun 2001
Samoa,16 Jan 1995,19 Aug 2005
Saudi Arabia,,22 Mar 2010 a
Senegal,21 Feb 1995,9 Jun 1999
Serbia,,31 Jul 2003 a
Sierra Leone,13 Feb 1995,
Singapore,,26 Mar 1996 a
Slovakia,28 Dec 1995,26 Jun 1996
Slovenia,,21 Jan 2004 a
Spain,19 Dec 1994,13 Jan 1998
Sri Lanka,,23 Sep 2003 a
Sweden,15 Dec 1994,25 Jun 1996
Switzerland,,9 Nov 2007 a
The former Yugoslav Republic of Macedonia,,6 Mar 2002 a
Togo,22 Dec 1995,21 Apr 2008
Tunisia,22 Feb 1995,12 Sep 2000
Turkey,,9 Aug 2004 a
Turkmenistan,,29 Sep 1998 a
Ukraine,15 Dec 1994,17 Aug 1995
United Kingdom of Great Britain and Northern Ireland,19 Dec 1995,6 May 1998
United States of America,19 Dec 1994,
Uruguay,17 Nov 1995,3 Sep 1999
Uzbekistan,,3 Jul 1996 a
