Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Ratification"
Afghanistan,11 Sep 1981,28 Mar 1984
Algeria,15 Mar 1982,31 Mar 1982
Andean Community,,24 Jan 2008 a
Angola,29 Jun 1983,28 Jan 1986
Argentina,22 Sep 1982,1 Jul 1983
Australia,[20 May 1981 ],[  9 Oct 1981 ]
Austria,8 Jul 1981,4 May 1983
Bangladesh,23 Dec 1980,1 Jun 1981
Barbados,2 Jan 1985,
Belgium,31 Mar 1981,6 Jun 1985
Benin,10 Sep 1981,25 Oct 1982
Bhutan,22 Sep 1983,18 Sep 1984
Botswana,18 Nov 1981,22 Apr 1982
Brazil,16 Apr 1981,28 Jun 1984
Bulgaria,29 Jul 1987,24 Sep 1987 AA
Burkina Faso,20 Aug 1981,8 Jul 1983
Burundi,8 Apr 1981,1 Jun 1982
Cameroon,30 Jun 1981,1 Feb 1983
Canada,[15 Jan 1981 ],[27 Sep 1983 ]
Cape Verde,9 Oct 1981,30 Jul 1984
Caribbean Community,,15 May 2007 a
Central African Republic,28 Jan 1982,2 Aug 1983
Chad,16 Dec 1981,6 Jun 1984
China,5 Nov 1980,2 Sep 1981 AA
Colombia,14 Jun 1983,8 Apr 1986
Common Market for Eastern and Southern Africa,,3 Feb 1998 a
Comoros,10 Sep 1981,27 Jan 1984
Congo,22 Oct 1981,4 Nov 1987
Costa Rica,29 Jul 1981,21 Nov 2002 a
Cte d'Ivoire,15 Jul 1987,29 Oct 1996 a
Cuba,22 Jun 1983,21 Jul 1988
Democratic People's Republic of Korea,29 Jun 1983,5 Jun 1987
Democratic Republic of the Congo,17 Mar 1981,27 Oct 1983
Denmark,27 Oct 1980,13 May 1981
Djibouti,9 Oct 1984,25 Nov 1985
Dominican Republic,15 Jun 1983,
East African Community,,25 Apr 2006 a
Economic Community of West African States,,1 May 2009 a
Ecuador,3 Oct 1980,4 May 1982
Egypt,19 Oct 1981,11 Jun 1982
El Salvador,28 Jun 1983,
Equatorial Guinea,22 Jul 1983,22 Jul 1983
Ethiopia,30 Sep 1981,19 Nov 1981
Eurasian Economic Community,,6 Mar 2009 a
European Union,21 Oct 1981,6 Jul 1990 AA
Finland,27 Oct 1980,30 Dec 1981
France,4 Nov 1980,17 Sep 1982 AA
Gabon,10 Sep 1981,30 Nov 1981
Gambia,23 Oct 1981,14 Apr 1983
Germany,10 Mar 1981,15 Aug 1985
Ghana,1 Dec 1982,19 Jan 1983
Greece,21 Jul 1981,10 Aug 1984
Grenada,28 Jun 1983,
Guatemala,1 Jun 1983,22 Mar 1985
Guinea,6 Oct 1981,9 Dec 1982
Guinea-Bissau,11 Sep 1981,7 Jun 1983
Guyana,8 Jun 1983,
Haiti,19 Jan 1981,20 Jul 1981
Honduras,28 Jun 1983,26 May 1988
India,18 Sep 1981,22 Dec 1981 A
Indonesia,1 Oct 1980,24 Feb 1981
Iraq,7 Apr 1981,10 Sep 1981
Ireland,24 Feb 1981,11 Aug 1982
Italy,17 Dec 1980,20 Nov 1984
Jamaica,6 Jan 1983,7 Jan 1985
Japan,28 Nov 1980,15 Jun 1981 A
Kenya,10 Mar 1982,6 Apr 1982
Kuwait,1 Dec 1981,26 Apr 1983
Lao People's Democratic Republic,,17 Dec 2002 a
Lesotho,7 Sep 1981,6 Dec 1983
Liberia,21 Oct 1981,
Luxembourg,29 Dec 1980,4 Oct 1985
Madagascar,8 Jun 1983,21 Oct 1987
Malawi,17 Mar 1981,15 Dec 1981
Malaysia,30 Dec 1980,22 Sep 1983
Maldives,19 May 1988,11 Jul 1988
Mali,17 Jun 1981,11 Jan 1982
Mauritania,18 Oct 1988,28 Aug 1990
Mexico,19 Dec 1980,11 Feb 1982
Morocco,22 Jan 1981,29 May 1987
Mozambique,21 Dec 1982,30 Sep 1993 a
Myanmar,,21 Nov 1996 a
Nepal,7 Sep 1981,3 Apr 1984
Netherlands,1 Oct 1980,9 Jun 1983 A
New Zealand,[12 Feb 1982 ],[27 Sep 1983 ]
Nicaragua,7 Sep 1981,5 Mar 1984
Niger,19 Oct 1981,19 Oct 1981 AA
Nigeria,20 Jul 1981,30 Sep 1983
Norway,27 Oct 1980,15 Jul 1981
Organization of African Unity,,16 Mar 1998 a
Pakistan,4 May 1982,9 Jun 1983
Papua New Guinea,27 Oct 1981,27 Jan 1982
Peru,25 Sep 1981,29 Jul 1987
Philippines,24 Feb 1981,13 May 1981
Portugal,30 Jan 1981,3 Jul 1989
Republic of Korea,27 Nov 1981,30 Mar 1982
Russian Federation,14 Jul 1987,8 Dec 1987 AA
Rwanda,6 Oct 1981,23 Mar 1983
Samoa,2 Apr 1982,6 Mar 1984
Sao Tome and Principe,20 Jun 1983,6 Dec 1983
Saudi Arabia,11 Jan 1983,16 Mar 1983
Senegal,11 Nov 1981,20 Jun 1983
Sierra Leone,24 Sep 1981,7 Oct 1982
Singapore,17 Dec 1982,16 Dec 1983
Somalia,27 Oct 1981,27 Aug 1984
Southern African Development Community,,18 Dec 2007 a
Spain,27 May 1981,5 Jan 1984
Sri Lanka,21 Jan 1981,4 Sep 1981
St. Lucia,20 Dec 1984,
Sudan,13 May 1981,30 Sep 1983
Suriname,20 Jun 1983,
Swaziland,18 Nov 1987,29 Jun 1988
Sweden,27 Oct 1980,6 Jul 1981
Switzerland,30 Mar 1981,27 Aug 1982
Syrian Arab Republic,26 Mar 1982,8 Sep 1983
Thailand,8 Jun 1983,6 Aug 1992 a
Togo,29 Jun 1983,10 Apr 1984
Trinidad and Tobago,,22 Jan 1998 a
Tunisia,2 Mar 1982,15 Dec 1982
Turkey,[  7 Sep 1981 ],[29 Aug 1990 ]
Uganda,19 Mar 1982,19 Mar 1982
United Arab Emirates,8 Jun 1982,26 Apr 1983
United Kingdom of Great Britain and Northern Ireland,16 Dec 1980,31 Dec 1981
United Republic of Tanzania,7 Sep 1981,11 Jun 1982
United States of America,5 Nov 1980,
Uruguay,13 Feb 1986,
Venezuela (Bolivarian Republic of),5 Dec 1980,31 Mar 1982
West African Economic and Monetary Union,,9 Jun 2009 a
Yemen,16 Dec 1981,8 Jan 1986
Zambia,3 Feb 1981,16 Mar 1983
Zimbabwe,8 Jun 1983,28 Sep 1983
