Participant,Provisional acceptance,Definitive acceptance
Argentina,18 Apr 2001,
Belgium,6 Nov 1991,14 Oct 1999
Brazil,,9 Dec 2009
Canada,,[19 Jun 1992 ]
Chile,29 Jun 1990,25 Oct 1994
China,,12 Jul 1990
European Union,,6 Nov 1991
Finland,,19 Jun 1990
France,26 Nov 1991,7 Aug 1992
Germany,22 Jan 1992,16 Dec 1992
Greece,29 Jun 1990,11 May 1993
India,,30 Jul 1997
Indonesia,,[30 Jul 1992 ]
Italy,15 May 1992,
Japan,,[12 Nov 2004 ]
Luxembourg,,14 Oct 1999
Mexico,,3 Apr 1995
Netherlands,,[  6 Nov 1991 ]
Norway,,[27 Feb 1991 ]
Peru,28 Jun 1990,16 May 1995
Philippines,[13 Jan 1992 ],[10 Sep 1993 ]
Poland,29 Jun 1990,6 Feb 1991
Portugal,,6 Nov 1991
Russian Federation,,21 Jan 1997
Serbia,,23 May 2000
Spain,6 Nov 1991,1 Feb 1994
Sweden,,24 Jun 2009
United Kingdom of Great Britain and Northern Ireland,,[17 Mar 2000 ]
United States of America,15 Mar 1990,11 Nov 1994
Zambia,,18 Nov 1992
