Participant,Signature,Provisional application(n),"Ratification, Accession(a), Acceptance(A), Approval(AA), Definitive signature(s)"
Australia,,,2 Feb 1996 s
Austria,13 May 1996,,16 May 1997
Belgium,13 May 1996,13 May 1996 n,
Bolivia (Plurinational State of),17 Aug 1995,,17 Aug 1995
Brazil,13 Dec 1996,,28 Nov 1997
Cambodia,3 Feb 1995,,3 Feb 1995 A
Cameroon,22 Dec 1994,31 Aug 1995 n,
Canada,3 May 1995,,23 May 1996
Central African Republic,,23 May 1997 n,
China,22 Feb 1996,,31 Jul 1996 AA
Colombia,8 Nov 1995,9 Oct 1996 n,16 Aug 1999
Congo,22 Jun 1994,25 Oct 1995 n,
Cote d'Ivoire,9 Sep 1996,9 Sep 1996 n,31 Jan 1997
Democratic Republic of the Congo,17 Dec 1996,27 Mar 1997 n,
Denmark,13 May 1996,,13 May 1996
Ecuador,1 Jun 1994,,6 Sep 1995
Egypt,8 Nov 1994,15 May 1996 n,13 Apr 2000
European Union,13 May 1996,13 May 1996 n,
Fiji,27 Jan 1995,27 Jan 1995 n,
Finland,13 May 1996,13 May 1996 n,
France,13 May 1996,28 Oct 1996 n,17 Aug 2006 AA
Gabon,27 May 1994,2 Aug 1995 n,
Germany,30 Aug 1995,30 Aug 1995 n,
Ghana,12 Jul 1995,,28 Aug 1995
Greece,13 May 1996,,13 Oct 1997
Guatemala,,,3 May 2001 a
Guyana,13 Sep 1996,,27 Aug 1997
Honduras,9 May 1995,2 Nov 1995 n,
India,17 Sep 1996,,17 Oct 1996
Indonesia,21 Apr 1994,,17 Feb 1995
Ireland,14 May 1996,,18 Aug 2000
Italy,7 May 1996,,25 Jun 1998
Japan,13 Dec 1994,13 Dec 1994 n,9 May 1995 A
Liberia,,,9 Dec 1994 s
Luxembourg,13 May 1996,13 May 1996 n,
Malaysia,14 Feb 1995,,1 Mar 1995
Mexico,,,11 Mar 2004 a
Myanmar,6 Jul 1995,,31 Jan 1996
Nepal,,23 May 1997 n,
Netherlands,6 Jul 1995,6 Jul 1995 n,
New Zealand,,,6 Jun 1995 s
Nigeria,,,28 Feb 2002 a
Norway,25 Jan 1995,,1 Feb 1995
Panama,22 Jun 1994,4 May 1995 n,4 Apr 1996
Papua New Guinea,28 Aug 1995,28 Aug 1995 n,13 May 1996
Peru,29 Aug 1994,1 Jan 1997 n,21 Sep 1995
Philippines,29 Sep 1995,26 Feb 1996 n,
Poland,,,19 Dec 2006 a
Portugal,13 May 1996,,4 Nov 1999
Republic of Korea,12 Sep 1995,,12 Sep 1995
Spain,12 Jan 1996,12 Jan 1996 n,15 Jan 1997
Suriname,,,24 Aug 1998 a
Sweden,13 May 1996,,13 May 1996
Switzerland,29 Aug 1995,,10 Jun 1996
Thailand,10 Apr 1996,,25 Jul 1996
Togo,12 Jul 1994,,4 Oct 1995 A
Trinidad and Tobago,,,29 Dec 1998 a
United Kingdom of Great Britain and Northern Ireland,13 May 1996,13 May 1996 n,
United States of America,1 Jul 1994,,14 Nov 1996 A
Vanuatu,,,19 May 2000 a
Venezuela (Bolivarian Republic of),4 Oct 1995,,2 Mar 1998
