Participant,Signature,Provisional application(n),"Ratification, Accession(a), Acceptance(A), Approval(AA)"
Algeria,,20 Jun 1995 n,23 Apr 1997 a
Argentina,,30 Jun 1995 n,6 Jan 1997 a
Australia,,,28 Jun 1995 a
Canada,26 Jun 1995,,26 Jun 1995
Côte d'Ivoire,15 Jun 1995,,14 Nov 2002
Cuba,22 Jun 1995,22 Jun 1995 n,16 Oct 1995
Ecuador,,,4 Nov 1997 a
Egypt,30 Jun 1995,,27 May 1998
European Union,30 Jun 1995,30 Jun 1995 n,1 Feb 1996 AA
Holy See,20 Jun 1995,,28 Jun 1995
Hungary,29 Jun 1995,,29 Jun 1995 AA
India,22 Jun 1995,,27 Jun 1995
Iran (Islamic Republic of),,,29 Apr 2002 a
Japan,21 Jun 1995,21 Jun 1995 n,1 Dec 1995 A
Kazakhstan,,,9 Jul 2003 a
Kenya,,,15 Jun 1998 a
Malta,,,31 Oct 1996 a
Mauritius,,,29 Jun 1995 a
Morocco,26 Jun 1995,26 Jun 1995 n,10 Jul 1997
Norway,21 Jun 1995,21 Jun 1995 n,6 Oct 1997
Pakistan,,7 Aug 1996 n,3 Apr 1997 a
Panama,30 Jun 1995,,
Republic of Korea,,23 Jun 1995 n,4 Mar 1996 a
Russian Federation,,,3 Dec 2007 a
Saudi Arabia,,,16 Jan 2012 a
South Africa,,16 Aug 1995 n,14 Nov 1996 a
Switzerland,16 Jun 1995,16 Jun 1995 n,16 Apr 1996
Tunisia,30 Jun 1995,30 Jun 1995 n,31 Jul 1996
Turkey,,30 Jun 1995 n,10 Jul 1996 a
Ukraine,,,21 Oct 2010 a
United States of America,26 Jun 1995,,21 May 1999
