Participant,Signature,Provisional application(n),"Ratification, Acceptance(A), Approval(AA), Accession(a)"
Angola,,,2 Jan 2002 a
Austria,,,23 Sep 2002 a
Belgium,25 Sep 2001,25 Sep 2001 n,
Benin,,,21 Mar 2003 a
Bolivia (Plurinational State of),,,30 May 2002 a
Brazil,18 Sep 2001,,21 Sep 2001
Bulgaria,,,15 Mar 2007 a
Burundi,24 Sep 2001,,24 Sep 2001 A
Cameroon,,,28 May 2002 a
Central African Republic,,,19 Dec 2002 a
Colombia,20 Jun 2001,20 Jun 2001 n,17 Feb 2004
Congo,25 Sep 2001,,25 Sep 2001
Costa Rica,20 Dec 2000,,25 Sep 2002
Cote d'Ivoire,25 Sep 2001,,29 Jan 2002 AA
Cuba,25 Sep 2001,30 Nov 2001 n,26 Dec 2001
Cyprus,,,23 Jan 2002 a
Democratic Republic of the Congo,,,12 Apr 2002 a
Denmark,25 Sep 2001,,5 Jun 2002
Dominican Republic,10 Aug 2001,,5 Mar 2004
Ecuador,15 Aug 2001,,5 Feb 2002
El Salvador,,,25 Jan 2002 a
Ethiopia,23 Mar 2001,,16 Apr 2003
European Union,25 Sep 2001,,25 Sep 2001 AA
France,24 Sep 2001,,25 Apr 2005 AA
Gabon,25 Sep 2001,,25 Sep 2001 A
Germany,25 Sep 2001,25 Sep 2001 n,20 Dec 2002
Ghana,24 Sep 2001,24 Sep 2001 n,31 May 2006
Greece,,,4 Mar 2004 a
Guatemala,,,5 Feb 2003 a
Guinea,,,21 May 2003 a
Haiti,,,24 Sep 2002 a
Honduras,25 Sep 2001,,24 Sep 2002
India,10 Aug 2001,,10 Sep 2001
Indonesia,,,23 Aug 2002 a
Ireland,25 Sep 2001,25 Sep 2001 n,11 Jun 2002
Italy,25 Sep 2001,,17 May 2005
Jamaica,25 Sep 2001,,1 Nov 2001
Japan,[11 Jul 2001 ],,[11 Jul 2001 A]
Kenya,,,1 Nov 2001 a
Latvia,,,4 Jan 2006 a
Luxembourg,25 Sep 2001,25 Sep 2001 n,
Madagascar,24 Sep 2001,,24 Sep 2001 A
Malawi,,,12 Feb 2003 a
Mexico,24 Sep 2001,25 Jan 2002 n,9 Jul 2002
Netherlands,,,25 May 2007 a
Nicaragua,,,12 Dec 2002 a
Nigeria,,,26 Feb 2002 a
Norway,,,21 May 2002 a
Panama,,,26 Jul 2006 a
Papua New Guinea,,,23 Jan 2002 a
Paraguay,,,10 Mar 2004 a
Philippines,,,28 May 2002 a
Poland,,,15 Sep 2006 a
Portugal,25 Sep 2001,,21 May 2003
Romania,,,24 Mar 2008 a
Rwanda,4 Sep 2001,,13 Sep 2001
Slovakia,,,1 Jun 2006 a
Spain,20 Sep 2001,20 Sep 2001 n,7 Jun 2002
Sweden,,,19 Nov 2001 a
Switzerland,25 Sep 2001,28 Jan 2002 n,30 Apr 2002
Thailand,24 Sep 2001,,24 Sep 2001
Togo,,,9 May 2003 a
Uganda,9 May 2001,,5 Oct 2001
United Kingdom of Great Britain and Northern Ireland,25 Sep 2001,25 Sep 2001 n,2 Jun 2003
United Republic of Tanzania,26 Jan 2001,,31 Oct 2002
United States of America,,,3 Feb 2005 a
Venezuela (Bolivarian Republic of),,,8 Jul 2004 a
Viet Nam,22 Aug 2001,,2 May 2002 AA
Zambia,,,26 Mar 2003 a
Zimbabwe,,,3 Jun 2004 a
