Participant,Signature,"Ratification, Definitive signature(s), Succession(d)"
Australia,,14 May 1963 s
Austria,27 Oct 1958,
Belgium,,6 Jan 1972 s
Bolivia (Plurinational State of),,17 Oct 1958 s
Bosnia and Herzegovina,,12 Jan 1994 d
Cambodia,22 Jan 1970,
Canada,29 Apr 1958,
Colombia,,29 Apr 1958 s
Costa Rica,,29 Apr 1958 s
Cuba,,29 Apr 1958 s
Denmark,29 Apr 1958,26 Sep 1968
Dominican Republic,,29 Apr 1958 s
Finland,27 Oct 1958,16 Feb 1965
France,,30 Oct 1958 s
Germany,30 Oct 1958,26 Jul 1973
Ghana,,29 Apr 1958 s
Haiti,29 Apr 1958,29 Mar 1960
Holy See,,30 Apr 1958 s
Hungary,,8 Dec 1989 s
Indonesia,8 May 1958,
Israel,29 Apr 1958,
Liberia,,27 May 1958 s
Madagascar,,10 Aug 1962 s
Malawi,,17 Dec 1965 s
Malaysia,,1 May 1961 s
Malta,,19 May 1966 d
Mauritius,,5 Oct 1970 d
Montenegro,,23 Oct 2006 d
Nepal,,29 Apr 1958 s
Netherlands,31 Oct 1958,18 Feb 1966
New Zealand,,29 Oct 1958 s
Pakistan,,6 Nov 1958 s
Panama,,2 May 1958 s
Portugal,28 Oct 1958,8 Jan 1963
Serbia,,12 Mar 2001 d
Sierra Leone,,14 Feb 1963 s
Solomon Islands,,3 Sep 1981 d
Sri Lanka,,30 Oct 1958 s
Sweden,1 Jun 1966,28 Jun 1966
Switzerland,24 May 1958,18 May 1966
Uganda,,15 Sep 1964 s
United Kingdom of Great Britain and Northern Ireland,,9 Sep 1958 s
United States of America,15 Sep 1958,
Uruguay,,29 Apr 1958 s
