Participant,Signature,"Provisional application by virtue of a notification (n), Provisional application by virtue of signature, adoption of the Agreement or accession thereto",Notification of non-provisional application under article 7 (1) (b),"Ratification, Formal confirmation(c), Accession(a), Definitive signature(s), Simplified procedure(p), Consent to be bound(P), Succession(d)"
Afghanistan,,16 Nov 1994,,
Albania,,16 Nov 1994,,23 Jun 2003 P
Algeria,29 Jul 1994,16 Nov 1994,,11 Jun 1996 P
Andorra,,16 Nov 1994,,
Angola,,,,7 Sep 2010 a
Argentina,29 Jul 1994,16 Nov 1994,,1 Dec 1995
Armenia,,16 Nov 1994,,9 Dec 2002 a
Australia,29 Jul 1994,16 Nov 1994,,5 Oct 1994
Austria,29 Jul 1994,16 Nov 1994,,14 Jul 1995
Bahamas,29 Jul 1994,16 Nov 1994,,28 Jul 1995 p
Bahrain,,16 Nov 1994,,
Bangladesh,,16 Nov 1994,,27 Jul 2001 a
Barbados,15 Nov 1994,16 Nov 1994,,28 Jul 1995 p
Belarus,,16 Nov 1994,,30 Aug 2006 a
Belgium,29 Jul 1994,16 Nov 1994,,13 Nov 1998 P
Belize,,16 Nov 1994,,21 Oct 1994 s
Benin,,16 Nov 1994,,16 Oct 1997 P
Bhutan,,16 Nov 1994,,
Bolivia (Plurinational State of),,16 Nov 1994,,28 Apr 1995 P
Botswana,,16 Nov 1994,,31 Jan 2005 a
Brazil,29 Jul 1994,,29 Jul 1994,25 Oct 2007
Brunei Darussalam,,16 Nov 1994,,5 Nov 1996 P
Bulgaria,,15 May 1996,15 Nov 1994,15 May 1996 a
Burkina Faso,30 Nov 1994,30 Nov 1994,,25 Jan 2005 P
Burundi,,16 Nov 1994,,
Cambodia,,16 Nov 1994,,
Cameroon,24 May 1995,24 May 1995,15 Nov 1994,28 Aug 2002
Canada,29 Jul 1994,16 Nov 1994,,7 Nov 2003
Cape Verde,29 Jul 1994,16 Nov 1994,,23 Apr 2008
Chad,,,,14 Aug 2009 P
Chile,,16 Nov 1994,,25 Aug 1997 a
China,29 Jul 1994,16 Nov 1994,,7 Jun 1996 P
Congo,,16 Nov 1994,,9 Jul 2008 P
Cook Islands,,,,15 Feb 1995 a
Costa Rica,,,,20 Sep 2001 a
Côte d'Ivoire,25 Nov 1994,16 Nov 1994,,28 Jul 1995 p
Croatia,,,,5 Apr 1995 P
Cuba,,16 Nov 1994,,17 Oct 2002 a
Cyprus,1 Nov 1994,27 Jul 1995,15 Nov 1994,27 Jul 1995
Czech Republic,16 Nov 1994,16 Nov 1994,,21 Jun 1996
Denmark,29 Jul 1994,,29 Jul 1994,16 Nov 2004
Dominican Republic,,,,10 Jul 2009 P
Ecuador,,,,24 Sep 2012 P
Egypt,22 Mar 1995,16 Nov 1994,,
Equatorial Guinea,,,,21 Jul 1997 P
Eritrea,,16 Nov 1994,,
Estonia,,16 Nov 1994,,26 Aug 2005 a
Ethiopia,,16 Nov 1994,,
European Union,29 Jul 1994,16 Nov 1994,,1 Apr 1998 c
Fiji,29 Jul 1994,16 Nov 1994,,28 Jul 1995
Finland,29 Jul 1994,16 Nov 1994,,21 Jun 1996
France,29 Jul 1994,16 Nov 1994,,11 Apr 1996
Gabon,4 Apr 1995,16 Nov 1994,,11 Mar 1998 P
Georgia,,,,21 Mar 1996 P
Germany,29 Jul 1994,16 Nov 1994,,14 Oct 1994
Ghana,,16 Nov 1994,,
Greece,29 Jul 1994,16 Nov 1994,,21 Jul 1995
Grenada,14 Nov 1994,16 Nov 1994,,28 Jul 1995 p
Guatemala,,,,11 Feb 1997 P
Guinea,26 Aug 1994,16 Nov 1994,,28 Jul 1995 p
Guyana,,16 Nov 1994,,25 Sep 2008 a
Haiti,,,,31 Jul 1996 P
Honduras,,16 Nov 1994,,28 Jul 2003 a
Hungary,,16 Nov 1994,,5 Feb 2002 a
Iceland,29 Jul 1994,16 Nov 1994,,28 Jul 1995 p
India,29 Jul 1994,16 Nov 1994,,29 Jun 1995
Indonesia,29 Jul 1994,16 Nov 1994,,2 Jun 2000
Iran (Islamic Republic of),,,1 Nov 1994,
Iraq,,16 Nov 1994,,
Ireland,29 Jul 1994,,29 Jul 1994,21 Jun 1996
Italy,29 Jul 1994,16 Nov 1994,29 Jul 1994,13 Jan 1995
Jamaica,29 Jul 1994,16 Nov 1994,,28 Jul 1995 p
Japan,29 Jul 1994,16 Nov 1994,,20 Jun 1996
Jordan,,,14 Nov 1994,27 Nov 1995 P
Kenya,,16 Nov 1994,,29 Jul 1994 s
Kiribati,,,,24 Feb 2003 P
Kuwait,,16 Nov 1994,,2 Aug 2002 a
Lao People's Democratic Republic,27 Oct 1994,16 Nov 1994,,5 Jun 1998 P
Latvia,,,,23 Dec 2004 a
Lebanon,,,,5 Jan 1995 P
Lesotho,,,,31 May 2007 P
Liberia,,,,25 Sep 2008 P
Libya,,16 Nov 1994,,
Liechtenstein,,16 Nov 1994,,
Lithuania,,,,12 Nov 2003 a
Luxembourg,29 Jul 1994,16 Nov 1994,,5 Oct 2000
Madagascar,,16 Nov 1994,,22 Aug 2001 P
Malawi,,,,28 Sep 2010 P
Malaysia,2 Aug 1994,16 Nov 1994,,14 Oct 1996 P
Maldives,10 Oct 1994,16 Nov 1994,,7 Sep 2000 P
Malta,29 Jul 1994,16 Nov 1994,,26 Jun 1996
Marshall Islands,,16 Nov 1994,,
Mauritania,2 Aug 1994,16 Nov 1994,,17 Jul 1996 P
Mauritius,,16 Nov 1994,,4 Nov 1994 P
Mexico,,,2 Nov 1994,10 Apr 2003 a
Micronesia (Federated States of),10 Aug 1994,16 Nov 1994,,6 Sep 1995
Monaco,30 Nov 1994,16 Nov 1994,,20 Mar 1996 P
Mongolia,17 Aug 1994,16 Nov 1994,,13 Aug 1996 P
