Participant,"Signature, Succession to signature(d)","Formal confirmation(c), Accession(a), Succession(d), Ratification"
Afghanistan,18 Mar 1983,
Albania,,23 Jun 2003 a
Algeria,10 Dec 1982,11 Jun 1996
Angola,10 Dec 1982,5 Dec 1990
Antigua and Barbuda,7 Feb 1983,2 Feb 1989
Argentina,5 Oct 1984,1 Dec 1995
Armenia,,9 Dec 2002 a
Australia,10 Dec 1982,5 Oct 1994
Austria,10 Dec 1982,14 Jul 1995
Bahamas,10 Dec 1982,29 Jul 1983
Bahrain,10 Dec 1982,30 May 1985
Bangladesh,10 Dec 1982,27 Jul 2001
Barbados,10 Dec 1982,12 Oct 1993
Belarus,10 Dec 1982,30 Aug 2006
Belgium,5 Dec 1984,13 Nov 1998
Belize,10 Dec 1982,13 Aug 1983
Benin,30 Aug 1983,16 Oct 1997
Bhutan,10 Dec 1982,
Bolivia (Plurinational State of),27 Nov 1984,28 Apr 1995
Bosnia and Herzegovina,,12 Jan 1994 d
Botswana,5 Dec 1984,2 May 1990
Brazil,10 Dec 1982,22 Dec 1988
Brunei Darussalam,5 Dec 1984,5 Nov 1996
Bulgaria,10 Dec 1982,15 May 1996
Burkina Faso,10 Dec 1982,25 Jan 2005
Burundi,10 Dec 1982,
Cambodia,1 Jul 1983,
Cameroon,10 Dec 1982,19 Nov 1985
Canada,10 Dec 1982,7 Nov 2003
Cape Verde,10 Dec 1982,10 Aug 1987
Central African Republic,4 Dec 1984,
Chad,10 Dec 1982,14 Aug 2009
Chile,10 Dec 1982,25 Aug 1997
China,10 Dec 1982,7 Jun 1996
Colombia,10 Dec 1982,
Comoros,6 Dec 1984,21 Jun 1994
Congo,10 Dec 1982,9 Jul 2008
Cook Islands,10 Dec 1982,15 Feb 1995
Costa Rica,10 Dec 1982,21 Sep 1992
Cote d'Ivoire,10 Dec 1982,26 Mar 1984
Croatia,,5 Apr 1995 d
Cuba,10 Dec 1982,15 Aug 1984
Cyprus,10 Dec 1982,12 Dec 1988
Czech Republic,22 Feb 1993 d,21 Jun 1996
Democratic People's Republic of Korea,10 Dec 1982,
Democratic Republic of the Congo,22 Aug 1983,17 Feb 1989
Denmark,10 Dec 1982,16 Nov 2004
Djibouti,10 Dec 1982,8 Oct 1991
Dominica,28 Mar 1983,24 Oct 1991
Dominican Republic,10 Dec 1982,10 Jul 2009
Ecuador,,24 Sep 2012 a
Egypt,10 Dec 1982,26 Aug 1983
El Salvador,5 Dec 1984,
Equatorial Guinea,30 Jan 1984,21 Jul 1997
Estonia,,26 Aug 2005 a
Ethiopia,10 Dec 1982,
