Participant,Signature,"Accession(a), Ratification"
Argentina,4 Dec 1995,
Australia,4 Dec 1995,23 Dec 1999
Austria,27 Jun 1996,19 Dec 2003
Bahamas,,16 Jan 1997 a
Bangladesh,4 Dec 1995,5 Nov 2012
Barbados,,22 Sep 2000 a
Belgium,3 Oct 1996,19 Dec 2003
Belize,4 Dec 1995,14 Jul 2005
Brazil,4 Dec 1995,8 Mar 2000
Bulgaria,,13 Dec 2006 a
Burkina Faso,15 Oct 1996,
Canada,4 Dec 1995,3 Aug 1999
China,6 Nov 1996,
Cook Islands,,1 Apr 1999 a
Costa Rica,,18 Jun 2001 a
Côte d'Ivoire,24 Jan 1996,
Cyprus,,25 Sep 2002 a
Czech Republic,,19 Mar 2007 a
Denmark,27 Jun 1996,19 Dec 2003
Egypt,5 Dec 1995,
Estonia,,7 Aug 2006 a
European Union,27 Jun 1996,19 Dec 2003
Fiji,4 Dec 1995,12 Dec 1996
Finland,27 Jun 1996,19 Dec 2003
France,4 Dec 1996,19 Dec 2003
Gabon,7 Oct 1996,
Germany,28 Aug 1996,19 Dec 2003
Greece,27 Jun 1996,19 Dec 2003
Guinea,,16 Sep 2005 a
Guinea-Bissau,4 Dec 1995,
Hungary,,16 May 2008 a
Iceland,4 Dec 1995,14 Feb 1997
India,,19 Aug 2003 a
Indonesia,4 Dec 1995,28 Sep 2009
Iran (Islamic Republic of),,17 Apr 1998 a
Ireland,27 Jun 1996,19 Dec 2003
Israel,4 Dec 1995,
Italy,27 Jun 1996,19 Dec 2003
Jamaica,4 Dec 1995,
Japan,19 Nov 1996,7 Aug 2006
Kenya,,13 Jul 2004 a
Kiribati,,15 Sep 2005 a
Latvia,,5 Feb 2007 a
Liberia,,16 Sep 2005 a
Lithuania,,1 Mar 2007 a
Luxembourg,27 Jun 1996,19 Dec 2003
Maldives,8 Oct 1996,30 Dec 1998
Malta,,11 Nov 2001 a
Marshall Islands,4 Dec 1995,19 Mar 2003
Mauritania,21 Dec 1995,
Mauritius,,25 Mar 1997 a
Micronesia (Federated States of),4 Dec 1995,23 May 1997
Monaco,,9 Jun 1999 a
Morocco,4 Dec 1995,19 Sep 2012
Mozambique,,10 Dec 2008 a
Namibia,19 Apr 1996,8 Apr 1998
Nauru,,10 Jan 1997 a
Netherlands,28 Jun 1996,19 Dec 2003
New Zealand,4 Dec 1995,18 Apr 2001
Nigeria,,2 Nov 2009 a
Niue,4 Dec 1995,11 Oct 2006
Norway,4 Dec 1995,30 Dec 1996
Oman,,14 May 2008 a
Pakistan,15 Feb 1996,
Palau,,26 Mar 2008 a
Panama,,16 Dec 2008 a
Papua New Guinea,4 Dec 1995,4 Jun 1999
Philippines,30 Aug 1996,
Poland,,14 Mar 2006 a
Portugal,27 Jun 1996,19 Dec 2003
Republic of Korea,26 Nov 1996,1 Feb 2008
Romania,,16 Jul 2007 a
Russian Federation,4 Dec 1995,4 Aug 1997
Samoa,4 Dec 1995,25 Oct 1996
Senegal,4 Dec 1995,30 Jan 1997
Seychelles,4 Dec 1996,20 Mar 1998
Slovakia,,6 Nov 2008 a
Slovenia,,15 Jun 2006 a
Solomon Islands,,13 Feb 1997 a
South Africa,,14 Aug 2003 a
Spain,3 Dec 1996,19 Dec 2003
Sri Lanka,9 Oct 1996,24 Oct 1996
St. Lucia,12 Dec 1995,9 Aug 1996
St. Vincent and the Grenadines,,29 Oct 2010 a
Sweden,27 Jun 1996,19 Dec 2003
Tonga,4 Dec 1995,31 Jul 1996
Trinidad and Tobago,,13 Sep 2006 a
Tuvalu,,2 Feb 2009 a
Uganda,10 Oct 1996,
Ukraine,4 Dec 1995,27 Feb 2003
United Kingdom of Great Britain and Northern Ireland,4 Dec 1995,10 Dec 2001
United States of America,4 Dec 1995,21 Aug 1996
Uruguay,16 Jan 1996,10 Sep 1999
Vanuatu,23 Jul 1996,
