Participant,Signature,"Ratification, Approval(AA), Acceptance(A), Accession(a)"
Argentina,,20 Oct 2006 a
Austria,,25 Sep 2003 a
Bahamas,26 Aug 1998,
Brazil,27 Aug 1998,16 Nov 2007
Bulgaria,,10 Feb 2009 a
Cameroon,,28 Aug 2002 a
Chile,14 Apr 1999,8 Feb 2005
Cte d'Ivoire,25 Sep 1998,
Croatia,,8 Sep 2000 a
Cuba,,11 Jul 2008 a
Czech Republic,1 Aug 2000,26 Oct 2001
Denmark,,16 Nov 2004 a
Egypt,26 Apr 2000,20 Jun 2001
Estonia,,1 Feb 2008 a
Finland,31 Mar 1999,31 Oct 2007 A
France,,23 Jan 2012 a
Germany,,8 Jun 2007 a
Ghana,12 Jan 1999,
Greece,14 Oct 1998,
Guyana,,25 Oct 2011 a
India,,14 Nov 2005 a
Indonesia,26 Aug 1998,
Ireland,,9 Feb 2011 a
Italy,18 May 2000,19 Jul 2006
Jamaica,26 Aug 1998,25 Sep 2002
Kenya,26 Aug 1998,
Lithuania,,26 Sep 2012 a
Malta,26 Jul 2000,
Mauritius,,22 Dec 2004 a
Mozambique,,12 Jan 2009 a
Namibia,24 Sep 1999,
Netherlands,26 Aug 1998,21 Nov 2002 A
Nigeria,,1 May 2003 a
Norway,,10 May 2006 a
Oman,19 Aug 1999,12 Mar 2004
Pakistan,9 Sep 1999,
Poland,,2 Oct 2007 a
Portugal,6 Apr 2000,2 Feb 2007
Saudi Arabia,11 Oct 1999,
Senegal,11 Jun 1999,
Slovakia,22 Jun 1999,20 Apr 2000
Slovenia,,1 Apr 2008 a
Spain,14 Sep 1999,9 Jan 2001
Sudan,6 Aug 1999,
The former Yugoslav Republic of Macedonia,17 Sep 1998,
Togo,,11 Jun 2012 a
Trinidad and Tobago,26 Aug 1998,10 Aug 2005
United Kingdom of Great Britain and Northern Ireland,19 Aug 1999,2 Nov 2000
Uruguay,21 Oct 1998,6 Jul 2006 a
