Participant,"Signature, Succession to signature(d)","Ratification, Accession(a), Formal confirmation(c), Succession(d)"
Argentina,30 Jan 1987,17 Aug 1990
Australia,,16 Jun 1993 a
Austria,21 Mar 1986,26 Aug 1987
Belarus,,30 Dec 1999 a
Belgium,9 Jun 1987,1 Sep 1992
Benin,24 Jun 1987,
Bosnia and Herzegovina,12 Jan 1994 d,
Brazil,21 Mar 1986,
Bulgaria,,10 Mar 1988 a
Burkina Faso,21 Mar 1986,
Colombia,,24 Jul 2009 a
Cte d'Ivoire,21 Mar 1986,
Council of Europe,11 May 1987,
Croatia,,11 Apr 1994 a
Cyprus,29 Jun 1987,5 Nov 1991
Czech Republic,,22 Feb 1993 d
Democratic Republic of the Congo,21 Mar 1986,
Denmark,8 Jun 1987,26 Jul 1994
Egypt,21 Mar 1986,
Estonia,,21 Oct 1991 a
Food and Agriculture Organization of the United Nations,29 Jun 1987,
Gabon,,5 Nov 2004 a
Germany,27 Apr 1987,20 Jun 1991
Greece,15 Jul 1986,28 Jan 1992
Hungary,,17 Aug 1988 a
International Atomic Energy Agency,,26 Apr 2001 a
International Civil Aviation Organization,29 Jun 1987,24 Dec 2001 c
International Criminal Police Organization,,3 Jan 2001 a
International Labour Organisation,31 Mar 1987,31 Jul 2000 c
International Maritime Organization,30 Jun 1987,14 Feb 2000 c
International Telecommunication Union,29 Jun 1987,
Italy,17 Dec 1986,20 Jun 1991
Japan,24 Apr 1987,
Liberia,,16 Sep 2005 a
Liechtenstein,,8 Feb 1990 a
Malawi,30 Jun 1987,
Malta,,26 Sep 2012 a
Mexico,21 Mar 1986,10 Mar 1988
Montenegro,23 Oct 2006 d,
Morocco,21 Mar 1986,
Netherlands,12 Jun 1987,18 Sep 1997
Organisation for the Prohibition of Chemical Weapons,,2 Jun 2000 a
Preparatory Commission for the Comprehensive Nuclear Test-Ban Treaty Organization,,11 Jun 2002 a
Republic of Korea,29 Jun 1987,
Republic of Moldova,,26 Jan 1993 a
Senegal,9 Jul 1986,6 Aug 1987
Serbia,12 Mar 2001 d,
Slovakia,,28 May 1993 d
Spain,,24 Jul 1990 a
Sudan,21 Mar 1986,
Sweden,18 Jun 1987,10 Feb 1988
Switzerland,,7 May 1990 a
United Kingdom of Great Britain and Northern Ireland,24 Feb 1987,20 Jun 1991
United Nations,12 Feb 1987,21 Dec 1998 c
United Nations Educational Scientific and Cultural Organization,23 Jun 1987,
United Nations Industrial Development Organization,,4 Mar 2002 a
United States of America,26 Jun 1987,
Universal Postal Union,,19 Oct 2004 a
Uruguay,,10 Mar 1999 a
World Health Organization,30 Apr 1987,22 Jun 2000 c
World Intellectual Property Organization,,24 Oct 2000 a
World Meteorological Organization,30 Jun 1987,
Zambia,21 Mar 1986,
