Participant,Signature,"Ratification, Acceptance(A), Accession(a)"
Afghanistan,12 Jan 1977,17 May 1977
Australia,26 Jul 1977,26 Jul 1977
Bangladesh,1 Apr 1976,22 Oct 1976
Bhutan,,23 Jun 1998 a
Brunei Darussalam,,27 Mar 1986 a
Cambodia,,5 Apr 2007 a
China,25 Oct 1976,2 Jun 1977 A
Cook Islands,,21 Jul 1987 a
Democratic People's Republic of Korea,,22 Feb 1994 a
Fiji,,29 Nov 1999 a
India,28 Oct 1976,26 Nov 1976
Indonesia,,29 Apr 1985 a
Iran (Islamic Republic of),15 Sep 1976,3 Mar 1980
Japan,22 Mar 1977,25 Nov 1977 A
Kiribati,,7 Oct 2011 a
Lao People's Democratic Republic,,20 Oct 1989 a
Malaysia,23 Jun 1977,23 Jun 1977
Maldives,,17 Mar 1980 a
Marshall Islands,,25 Jan 2005 a
Micronesia (Federated States of),,28 Dec 1993 a
Mongolia,,14 Aug 1991 a
Myanmar,20 Oct 1976,9 Dec 1976
Nauru,1 Apr 1976,22 Nov 1976
Nepal,15 Sep 1976,12 May 1977
New Zealand,,13 Jan 1993 a
Niue,,14 Nov 1994 a
Pakistan,25 Jan 1977,1 Jul 1977
Palau,,19 Jun 1996 a
Papua New Guinea,29 Sep 1976,17 Dec 1992
Philippines,28 Oct 1976,17 Jun 1977
Republic of Korea,8 Jul 1977,8 Jul 1977
Samoa,,6 Nov 2000 a
Singapore,23 Jun 1977,6 Oct 1977
Solomon Islands,,17 May 2010 a
Sri Lanka,,3 Oct 1979 a
Thailand,15 Sep 1976,26 Jan 1979
Tonga,,14 Feb 1992 a
Tuvalu,,13 Sep 2011 a
United Kingdom of Great Britain and Northern Ireland,31 Aug 1977,31 Aug 1977
Vanuatu,,11 Oct 2010 a
Viet Nam,,11 Sep 1979 a
