Participant,Signature,"Definitive signature(s), Ratification, Acceptance(A), Approval(AA), Accession(a)"
Argentina,11 May 1999,5 Jul 2007
Armenia,,25 Mar 2008 a
Barbados,,25 Jul 2003 a
Belgium,,2 Jul 2010 a
Benin,18 Jun 1998,
Brazil,12 Mar 1999,
Bulgaria,22 Sep 1999,20 Jun 2000
Burundi,18 Jun 1998,23 Jan 2013
Canada,15 Jun 1999,18 May 2001
Chad,20 Oct 1999,
Chile,18 Jun 1998,
Colombia,,12 Jun 2008 a
Congo,18 Jun 1998,
Costa Rica,20 Jun 2003,
Cyprus,18 Jun 1998,14 Jul 2000
Czech Republic,4 Sep 2002,17 Jun 2003
Denmark,18 Jun 1998,2 Jun 2003
Dominica,,26 Dec 2000 a
El Salvador,9 Aug 2000,18 Apr 2002
Estonia,25 May 1999,
Finland,18 Jun 1998,1 Apr 1999 A
France,,6 Aug 2009 a
Gabon,27 Apr 2001,
Germany,18 Jun 1998,
Ghana,18 Jun 1998,
Guinea,,8 Oct 2002 a
Haiti,11 Feb 1999,
Honduras,25 Feb 1999,
Hungary,20 Jun 2003,7 Apr 2004
Iceland,20 Jun 2003,13 May 2011
India,29 Nov 1999,29 Nov 1999
Ireland,,16 Aug 2007 a
Italy,18 Jun 1998,
Kenya,18 Jun 1998,12 Feb 2003
Kuwait,18 Jun 1998,13 Jun 2002
Lebanon,17 Nov 1998,27 Jan 2006
Liberia,,16 Sep 2005 a
Liechtenstein,,8 Jun 2004 a
Lithuania,,9 Dec 2004 a
Luxembourg,,8 Jun 2012 a
Madagascar,12 Sep 2002,
Mali,18 Jun 1998,
Malta,18 Jun 1998,
Marshall Islands,11 Nov 1998,
Mauritania,18 Jun 1998,
Mongolia,18 Jun 1998,
Montenegro,,21 Jul 2010 a
Morocco,1 Dec 1998,11 Mar 2003
Nepal,23 Apr 1999,
Netherlands,19 Dec 2000,6 Jul 2001 A
Nicaragua,18 Jun 1998,18 Nov 1999
Niger,18 Jun 1998,
Oman,19 Aug 1999,16 Apr 2003
Pakistan,,30 Jan 2009 a
Panama,20 Sep 2001,5 Mar 2003
Peru,14 Jan 1999,27 Oct 2003
Poland,18 Jun 1998,
Portugal,18 Jun 1998,
Romania,18 Jun 1998,17 Nov 2005
Russian Federation,14 Mar 2002,
Senegal,20 Nov 1998,
Slovakia,16 Feb 2000,6 Feb 2001
Spain,,27 Feb 2006 a
Sri Lanka,5 Aug 1999,13 Oct 1999
St. Lucia,31 Jan 2000,
St. Vincent and the Grenadines,,14 Aug 2003 a
Sudan,4 Dec 1998,
Sweden,10 Jun 2003,13 Sep 2004
Switzerland,18 Jun 1998,24 Apr 2002
Tajikistan,18 Jun 1998,
The former Yugoslav Republic of Macedonia,3 Dec 1998,
Tonga,,8 May 2003 a
Uganda,28 Oct 1998,5 Sep 2002
United Kingdom of Great Britain and Northern Ireland,,18 Jun 2003 s
United States of America,17 Nov 1998,
Uruguay,13 May 2003,19 Apr 2012
Uzbekistan,6 Oct 1998,
Venezuela (Bolivarian Republic of),3 Apr 2003,13 May 2005
