Participant,Signature,Provisional application(n),"Approval(AA), Acceptance(A), Accession(a), Ratification"
Afghanistan,3 Dec 2008,,8 Sep 2011
Albania,3 Dec 2008,,16 Jun 2009
Andorra,,,9 Apr 2013 a
Angola,3 Dec 2008,,
Antigua and Barbuda,16 Jul 2010,,23 Aug 2010
Australia,3 Dec 2008,,8 Oct 2012
Austria,3 Dec 2008,,2 Apr 2009
Belgium,3 Dec 2008,,22 Dec 2009
Benin,3 Dec 2008,,
Bolivia (Plurinational State of),3 Dec 2008,,30 Apr 2013
Bosnia and Herzegovina,3 Dec 2008,,7 Sep 2010
Botswana,3 Dec 2008,,27 Jun 2011
Bulgaria,3 Dec 2008,,6 Apr 2011
Burkina Faso,3 Dec 2008,,16 Feb 2010
Burundi,3 Dec 2008,,25 Sep 2009
Cameroon,15 Dec 2009,,12 Jul 2012
Canada,3 Dec 2008,,
Cape Verde,3 Dec 2008,,19 Oct 2010
Central African Republic,3 Dec 2008,,
Chad,3 Dec 2008,,26 Mar 2013
Chile,3 Dec 2008,,16 Dec 2010
Colombia,3 Dec 2008,,
Comoros,3 Dec 2008,,28 Jul 2010
Congo,3 Dec 2008,,
Cook Islands,3 Dec 2008,,23 Aug 2011
Costa Rica,3 Dec 2008,,28 Apr 2011
Cote d'Ivoire,4 Dec 2008,,12 Mar 2012
Croatia,3 Dec 2008,,17 Aug 2009
Cyprus,23 Sep 2009,,
Czech Republic,3 Dec 2008,,22 Sep 2011
Democratic Republic of the Congo,18 Mar 2009,,
Denmark,3 Dec 2008,,12 Feb 2010
Djibouti,30 Jul 2010,,
Dominican Republic,10 Nov 2009,,20 Dec 2011
Ecuador,3 Dec 2008,,11 May 2010
El Salvador,3 Dec 2008,,10 Jan 2011
Fiji,3 Dec 2008,,28 May 2010
France,3 Dec 2008,,25 Sep 2009
Gambia,3 Dec 2008,,
Germany,3 Dec 2008,,8 Jul 2009
Ghana,3 Dec 2008,,3 Feb 2011
Grenada,,,29 Jun 2011 a
Guatemala,3 Dec 2008,,3 Nov 2010
Guinea,3 Dec 2008,,
Guinea-Bissau,4 Dec 2008,,29 Nov 2010
Haiti,28 Oct 2009,,
Holy See,3 Dec 2008,,3 Dec 2008
Honduras,3 Dec 2008,,21 Mar 2012
Hungary,3 Dec 2008,,3 Jul 2012
Iceland,3 Dec 2008,,
Indonesia,3 Dec 2008,,
Iraq,12 Nov 2009,,14 May 2013
Ireland,3 Dec 2008,,3 Dec 2008
Italy,3 Dec 2008,,21 Sep 2011
Jamaica,12 Jun 2009,,
Japan,3 Dec 2008,,14 Jul 2009 A
Kenya,3 Dec 2008,,
Lao People's Democratic Republic,3 Dec 2008,,18 Mar 2009
Lebanon,3 Dec 2008,,5 Nov 2010
Lesotho,3 Dec 2008,,28 May 2010
Liberia,3 Dec 2008,,
Liechtenstein,3 Dec 2008,,4 Mar 2013
Lithuania,3 Dec 2008,24 Mar 2011 n,24 Mar 2011
Luxembourg,3 Dec 2008,,10 Jul 2009
Madagascar,3 Dec 2008,,
Malawi,3 Dec 2008,,7 Oct 2009
Mali,3 Dec 2008,,30 Jun 2010
Malta,3 Dec 2008,,24 Sep 2009
Mauritania,19 Apr 2010,,1 Feb 2012
Mexico,3 Dec 2008,,6 May 2009
Monaco,3 Dec 2008,,21 Sep 2010
Montenegro,3 Dec 2008,,25 Jan 2010
Mozambique,3 Dec 2008,,14 Mar 2011
Namibia,3 Dec 2008,,
Nauru,3 Dec 2008,,4 Feb 2013
Netherlands,3 Dec 2008,,23 Feb 2011 A
New Zealand,3 Dec 2008,,22 Dec 2009
Nicaragua,3 Dec 2008,,2 Nov 2009
Niger,3 Dec 2008,,2 Jun 2009
Nigeria,12 Jun 2009,,
Norway,3 Dec 2008,3 Dec 2008 n,3 Dec 2008
Palau,3 Dec 2008,,
Panama,3 Dec 2008,,29 Nov 2010
Paraguay,3 Dec 2008,,
Peru,3 Dec 2008,,26 Sep 2012
Philippines,3 Dec 2008,,
Portugal,3 Dec 2008,,9 Mar 2011
Republic of Moldova,3 Dec 2008,,16 Feb 2010
Rwanda,3 Dec 2008,,
Samoa,3 Dec 2008,,28 Apr 2010
San Marino,3 Dec 2008,,10 Jul 2009
Sao Tome and Principe,3 Dec 2008,,
Senegal,3 Dec 2008,,3 Aug 2011
Seychelles,13 Apr 2010,,20 May 2010
Sierra Leone,3 Dec 2008,,3 Dec 2008
Slovenia,3 Dec 2008,,19 Aug 2009
Somalia,3 Dec 2008,,
South Africa,3 Dec 2008,,
Spain,3 Dec 2008,,17 Jun 2009
St. Vincent and the Grenadines,23 Sep 2009,,29 Oct 2010
Swaziland,,,13 Sep 2011 a
Sweden,3 Dec 2008,,23 Apr 2012
Switzerland,3 Dec 2008,17 Jul 2012 n,17 Jul 2012
The former Yugoslav Republic of Macedonia,3 Dec 2008,,8 Oct 2009
Togo,3 Dec 2008,,22 Jun 2012
Trinidad and Tobago,,,21 Sep 2011 a
Tunisia,12 Jan 2009,,28 Sep 2010
Uganda,3 Dec 2008,,
United Kingdom of Great Britain and Northern Ireland,3 Dec 2008,,4 May 2010
United Republic of Tanzania,3 Dec 2008,,
Uruguay,3 Dec 2008,,24 Sep 2009
Zambia,3 Dec 2008,,12 Aug 2009
