Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Albania,,16 Jun 2009 a
Austria,9 Jul 1985,4 Jun 1987
Belarus,9 Jul 1985,10 Sep 1986 A
Belgium,9 Jul 1985,9 Jun 1989
Bulgaria,9 Jul 1985,26 Sep 1986 AA
Canada,9 Jul 1985,4 Dec 1985
Czech Republic,,30 Sep 1993 d
Denmark,9 Jul 1985,29 Apr 1986
Estonia,,7 Mar 2000 a
Finland,9 Jul 1985,24 Jun 1986
France,9 Jul 1985,13 Mar 1986 AA
Germany,9 Jul 1985,3 Mar 1987
Hungary,9 Jul 1985,11 Sep 1986
Italy,9 Jul 1985,5 Feb 1990
Liechtenstein,9 Jul 1985,13 Feb 1986
Lithuania,,15 Mar 2007 a
Luxembourg,9 Jul 1985,24 Aug 1987
Netherlands,9 Jul 1985,30 Apr 1986 A
Norway,9 Jul 1985,4 Nov 1986
Russian Federation,9 Jul 1985,10 Sep 1986 A
Slovakia,,28 May 1993 d
Sweden,9 Jul 1985,31 Mar 1986
Switzerland,9 Jul 1985,21 Sep 1987
The former Yugoslav Republic of Macedonia,,10 Mar 2010 a
Ukraine,9 Jul 1985,2 Oct 1986 A
