Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA), Succession(d)"
Austria,14 Jun 1994,27 Aug 1998
Belgium,14 Jun 1994,8 Nov 2000
Bulgaria,14 Jun 1994,5 Jul 2005
Canada,14 Jun 1994,8 Jul 1997
Croatia,14 Jun 1994,27 Apr 1999 A
Cyprus,,26 Apr 2006 a
Czech Republic,14 Jun 1994,19 Jun 1997
Denmark,14 Jun 1994,25 Aug 1997 AA
European Union,14 Jun 1994,24 Apr 1998 AA
Finland,14 Jun 1994,8 Jun 1998 A
France,14 Jun 1994,12 Jun 1997 AA
Germany,14 Jun 1994,3 Jun 1998
Greece,14 Jun 1994,24 Feb 1998
Hungary,9 Dec 1994,11 Mar 2002
Ireland,17 Oct 1994,4 Sep 1998
Italy,14 Jun 1994,14 Sep 1998
Liechtenstein,14 Jun 1994,27 Aug 1997 A
Lithuania,,22 Apr 2008 a
Luxembourg,14 Jun 1994,14 Jun 1996
Monaco,,9 Apr 2002 a
Netherlands,14 Jun 1994,30 May 1995 A
Norway,14 Jun 1994,3 Jul 1995
Poland,14 Jun 1994,
Russian Federation,14 Jun 1994,
Slovakia,14 Jun 1994,1 Apr 1998
Slovenia,14 Jun 1994,7 May 1998
Spain,14 Jun 1994,7 Aug 1997
Sweden,14 Jun 1994,19 Jul 1995
Switzerland,14 Jun 1994,23 Jan 1998
The former Yugoslav Republic of Macedonia,,10 Mar 2010 a
Ukraine,14 Jun 1994,
United Kingdom of Great Britain and Northern Ireland,14 Jun 1994,17 Dec 1996
