Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA)"
Armenia,18 Dec 1998,
Austria,24 Jun 1998,27 Aug 2002
Belgium,24 Jun 1998,25 May 2006
Bulgaria,24 Jun 1998,5 Dec 2001
Canada,24 Jun 1998,18 Dec 1998
Croatia,24 Jun 1998,6 Sep 2007
Cyprus,24 Jun 1998,2 Sep 2004
Czech Republic,24 Jun 1998,6 Aug 2002
Denmark,24 Jun 1998,6 Jul 2001 AA
Estonia,,11 May 2005 a
European Union,24 Jun 1998,30 Apr 2004 AA
Finland,24 Jun 1998,3 Sep 2002 A
France,24 Jun 1998,25 Jul 2003 AA
Germany,24 Jun 1998,25 Apr 2002
Greece,24 Jun 1998,
Hungary,18 Dec 1998,7 Jan 2004
Iceland,24 Jun 1998,29 May 2003
Ireland,24 Jun 1998,
Italy,24 Jun 1998,20 Jun 2006
Latvia,24 Jun 1998,28 Oct 2004
Liechtenstein,24 Jun 1998,23 Dec 2003 A
Lithuania,24 Jun 1998,16 Jun 2006
Luxembourg,24 Jun 1998,1 May 2000
Montenegro,,9 Feb 2012 a
Netherlands,24 Jun 1998,23 Jun 2000 A
Norway,24 Jun 1998,16 Dec 1999
Poland,24 Jun 1998,
Portugal,24 Jun 1998,
Republic of Moldova,24 Jun 1998,1 Oct 2002
Romania,24 Jun 1998,5 Sep 2003
Serbia,,26 Mar 2012 a
Slovakia,24 Jun 1998,30 Dec 2002 A
Slovenia,24 Jun 1998,15 Nov 2005
Spain,24 Jun 1998,15 Feb 2011
Sweden,24 Jun 1998,19 Jan 2000
Switzerland,24 Jun 1998,14 Nov 2000
The former Yugoslav Republic of Macedonia,,1 Nov 2010 a
Ukraine,24 Jun 1998,
United Kingdom of Great Britain and Northern Ireland,24 Jun 1998,2 Sep 2005
United States of America,24 Jun 1998,
