Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a)"
Armenia,1 Dec 1999,
Austria,1 Dec 1999,
Belgium,4 Feb 2000,13 Sep 2007
Bulgaria,1 Dec 1999,5 Jul 2005
Canada,1 Dec 1999,
Croatia,1 Dec 1999,7 Oct 2008
Cyprus,,11 Apr 2007 a
Czech Republic,1 Dec 1999,12 Aug 2004
Denmark,1 Dec 1999,11 Jun 2002 AA
European Union,,23 Jun 2003 a
Finland,1 Dec 1999,23 Dec 2003 A
France,1 Dec 1999,10 Apr 2007 AA
Germany,1 Dec 1999,21 Oct 2004
Greece,1 Mar 2000,
Hungary,1 Dec 1999,13 Nov 2006 AA
Ireland,1 Dec 1999,
Italy,1 Dec 1999,
Latvia,1 Dec 1999,25 May 2004 A
Liechtenstein,1 Dec 1999,
Lithuania,,2 Apr 2004 a
Luxembourg,1 Dec 1999,7 Aug 2001
Netherlands,1 Dec 1999,5 Feb 2004 A
Norway,1 Dec 1999,30 Jan 2002
Poland,30 May 2000,
Portugal,1 Dec 1999,16 Feb 2005 AA
Republic of Moldova,23 May 2000,
Romania,1 Dec 1999,5 Sep 2003
Slovakia,1 Dec 1999,28 Apr 2005
Slovenia,1 Dec 1999,4 May 2004
Spain,1 Dec 1999,28 Jan 2005
Sweden,1 Dec 1999,28 Mar 2002
Switzerland,1 Dec 1999,14 Sep 2005
United Kingdom of Great Britain and Northern Ireland,1 Dec 1999,8 Dec 2005
United States of America,1 Dec 1999,22 Nov 2004 A
