Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Afghanistan,,17 Jun 2004 a
Albania,,8 Oct 1999 a
Algeria,,20 Oct 1992 a
Andorra,,26 Jan 2009 a
Angola,,17 May 2000 a
Antigua and Barbuda,,3 Dec 1992 a
Argentina,29 Jun 1988,18 Sep 1990
Armenia,,1 Oct 1999 a
Australia,8 Jun 1988,19 May 1989
Austria,29 Aug 1988,3 May 1989
Azerbaijan,,12 Jun 1996 a
Bahamas,,4 May 1993 a
Bahrain,,27 Apr 1990 a
Bangladesh,,2 Aug 1990 a
Barbados,,16 Oct 1992 a
Belarus,22 Jan 1988,31 Oct 1988 A
Belgium,16 Sep 1987,30 Dec 1988
Belize,,9 Jan 1998 a
Benin,,1 Jul 1993 a
Bhutan,,23 Aug 2004 a
Bolivia (Plurinational State of),,3 Oct 1994 a
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,4 Dec 1991 a
Brazil,,19 Mar 1990 a
Brunei Darussalam,,27 May 1993 a
Bulgaria,,20 Nov 1990 a
Burkina Faso,14 Sep 1988,20 Jul 1989
Burundi,,6 Jan 1997 a
Cambodia,,27 Jun 2001 a
Cameroon,,30 Aug 1989 a
Canada,16 Sep 1987,30 Jun 1988
Cape Verde,,31 Jul 2001 a
Central African Republic,,29 Mar 1993 a
Chad,,7 Jun 1994
Chile,14 Jun 1988,26 Mar 1990
China,,14 Jun 1991 a
Colombia,,6 Dec 1993 a
Comoros,,31 Oct 1994 a
Congo,15 Sep 1988,16 Nov 1994
Cook Islands,,22 Dec 2003 a
Costa Rica,,30 Jul 1991 a
Cote d'Ivoire,,5 Apr 1993 a
Croatia,,21 Sep 1992 d
Cuba,,14 Jul 1992 a
Cyprus,,28 May 1992 a
Czech Republic,,30 Sep 1993 d
Democratic People's Republic of Korea,,24 Jan 1995 a
Democratic Republic of the Congo,,30 Nov 1994 a
Denmark,16 Sep 1987,16 Dec 1988
Djibouti,,30 Jul 1999 a
Dominica,,31 Mar 1993 a
Dominican Republic,,18 May 1993 a
Ecuador,,30 Apr 1990 a
Egypt,16 Sep 1987,2 Aug 1988
El Salvador,,2 Oct 1992 a
Equatorial Guinea,,6 Sep 2006 a
Eritrea,,10 Mar 2005 a
Estonia,,17 Oct 1996 a
Ethiopia,,11 Oct 1994 a
European Union,16 Sep 1987,16 Dec 1988 AA
Fiji,,23 Oct 1989 a
Finland,16 Sep 1987,23 Dec 1988 A
France,16 Sep 1987,28 Dec 1988 AA
Gabon,,9 Feb 1994 a
Gambia,,25 Jul 1990 a
Georgia,,21 Mar 1996 a
Germany,16 Sep 1987,16 Dec 1988
Ghana,16 Sep 1987,14 Jul 1992
Greece,29 Oct 1987,29 Dec 1988
Grenada,,31 Mar 1993 a
Guatemala,,7 Nov 1989 a
Guinea,,25 Jun 1992 a
Guinea-Bissau,,12 Nov 2002 a
Guyana,,12 Aug 1993 a
Haiti,,29 Mar 2000 a
Holy See,,5 May 2008 a
Honduras,,14 Oct 1993 a
Hungary,,20 Apr 1989 a
Iceland,,29 Aug 1989 a
India,,19 Jun 1992 a
Indonesia,21 Jul 1988,26 Jun 1992
Iran (Islamic Republic of),,3 Oct 1990 a
Iraq,,25 Jun 2008 a
Ireland,15 Sep 1988,16 Dec 1988
Israel,14 Jan 1988,30 Jun 1992
Italy,16 Sep 1987,16 Dec 1988
Jamaica,,31 Mar 1993 a
Japan,16 Sep 1987,30 Sep 1988 A
Jordan,,31 May 1989 a
Kazakhstan,,26 Aug 1998 a
Kenya,16 Sep 1987,9 Nov 1988
Kiribati,,7 Jan 1993 a
Kuwait,,23 Nov 1992 a
Kyrgyzstan,,31 May 2000 a
Lao People's Democratic Republic,,21 Aug 1998 a
Latvia,,28 Apr 1995 a
Lebanon,,31 Mar 1993 a
Lesotho,,25 Mar 1994 a
Liberia,,15 Jan 1996 a
Libya,,11 Jul 1990 a
Liechtenstein,,8 Feb 1989 a
Lithuania,,18 Jan 1995 a
Luxembourg,29 Jan 1988,17 Oct 1988
Madagascar,,7 Nov 1996 a
Malawi,,9 Jan 1991 a
Malaysia,,29 Aug 1989 a
Maldives,12 Jul 1988,16 May 1989
Mali,,28 Oct 1994 a
Malta,15 Sep 1988,29 Dec 1988
Marshall Islands,,11 Mar 1993 a
Mauritania,,26 May 1994 a
Mauritius,,18 Aug 1992 a
Mexico,16 Sep 1987,31 Mar 1988 A
Micronesia (Federated States of),,6 Sep 1995 a
Monaco,,12 Mar 1993 a
Mongolia,,7 Mar 1996 a
Montenegro,,23 Oct 2006 d
Morocco,7 Jan 1988,28 Dec 1995
Mozambique,,9 Sep 1994 a
Myanmar,,24 Nov 1993 a
Namibia,,20 Sep 1993 a
Nauru,,12 Nov 2001 a
Nepal,,6 Jul 1994 a
Netherlands,16 Sep 1987,16 Dec 1988 A
New Zealand,16 Sep 1987,21 Jul 1988
Nicaragua,,5 Mar 1993 a
Niger,,9 Oct 1992 a
Nigeria,,31 Oct 1988 a
Niue,,22 Dec 2003 a
Norway,16 Sep 1987,24 Jun 1988
Oman,,30 Jun 1999 a
Pakistan,,18 Dec 1992 a
Palau,,29 May 2001 a
Panama,16 Sep 1987,3 Mar 1989
Papua New Guinea,,27 Oct 1992 a
Paraguay,,3 Dec 1992 a
Peru,,31 Mar 1993 a
Philippines,14 Sep 1988,17 Jul 1991
Poland,,13 Jul 1990 a
Portugal,16 Sep 1987,17 Oct 1988
Qatar,,22 Jan 1996 a
Republic of Korea,,27 Feb 1992 a
Republic of Moldova,,24 Oct 1996 a
Romania,,27 Jan 1993 a
Russian Federation,29 Dec 1987,10 Nov 1988 A
Rwanda,,11 Oct 2001 a
Samoa,,21 Dec 1992 a
San Marino,,23 Apr 2009 a
Sao Tome and Principe,,19 Nov 2001 a
Saudi Arabia,,1 Mar 1993 a
Senegal,16 Sep 1987,6 May 1993
Serbia,,12 Mar 2001 d
Seychelles,,6 Jan 1993 a
Sierra Leone,,29 Aug 2001 a
Singapore,,5 Jan 1989 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Solomon Islands,,17 Jun 1993 a
Somalia,,1 Aug 2001 a
South Africa,,15 Jan 1990 a
South Sudan,,12 Jan 2012 a
Spain,21 Jul 1988,16 Dec 1988
Sri Lanka,,15 Dec 1989 a
St. Kitts and Nevis,,10 Aug 1992 a
St. Lucia,,28 Jul 1993 a
St. Vincent and the Grenadines,,2 Dec 1996 a
Sudan,,29 Jan 1993 a
Suriname,,14 Oct 1997 a
Swaziland,,10 Nov 1992 a
Sweden,16 Sep 1987,29 Jun 1988
Switzerland,16 Sep 1987,28 Dec 1988
Syrian Arab Republic,,12 Dec 1989 a
Tajikistan,,7 Jan 1998 a
Thailand,15 Sep 1988,7 Jul 1989
The former Yugoslav Republic of Macedonia,,10 Mar 1994 d
Timor-Leste,,16 Sep 2009 a
Togo,16 Sep 1987,25 Feb 1991
Tonga,,29 Jul 1998 a
Trinidad and Tobago,,28 Aug 1989 a
Tunisia,,25 Sep 1989 a
Turkey,,20 Sep 1991 a
Turkmenistan,,18 Nov 1993 a
Tuvalu,,15 Jul 1993 a
Uganda,15 Sep 1988,15 Sep 1988
Ukraine,18 Feb 1988,20 Sep 1988 A
United Arab Emirates,,22 Dec 1989 a
United Kingdom of Great Britain and Northern Ireland,16 Sep 1987,16 Dec 1988
United Republic of Tanzania,,16 Apr 1993 a
United States of America,16 Sep 1987,21 Apr 1988
Uruguay,,8 Jan 1991 a
Uzbekistan,,18 May 1993 a
Vanuatu,,21 Nov 1994 a
Venezuela (Bolivarian Republic of),16 Sep 1987,6 Feb 1989
Viet Nam,,26 Jan 1994 a
Yemen,,21 Feb 1996 a
Zambia,,24 Jan 1990 a
Zimbabwe,,3 Nov 1992 a
