Participant,Signature,"Approval(AA), Formal confirmation(c), Acceptance(A), Accession(a), Ratification"
Botswana,,17 Jun 2004 a
Chile,8 Dec 2000,
Colombia,22 Nov 2000,22 Jul 2008
Congo,,20 Apr 2007 a
Costa Rica,27 Apr 2000,
Democratic Republic of the Congo,,23 Mar 2005 a
Denmark,5 Dec 2000,
Ethiopia,,8 Oct 2003 a
Finland,6 Dec 2000,
France,8 Dec 2000,
Ghana,,9 Jun 2005 a
Hungary,5 Dec 2000,
Liberia,,16 Sep 2005 a
Luxembourg,28 Aug 2000,
Monaco,17 Mar 2000,
Saudi Arabia,,10 Jan 2013 a
Sweden,1 Dec 2000,
Switzerland,9 Mar 2000,
Syrian Arab Republic,,5 Oct 2004 a
The former Yugoslav Republic of Macedonia,3 Apr 2000,
Togo,,2 Jul 2004 a
United Kingdom of Great Britain and Northern Ireland,7 Dec 2000,
Yemen,,25 Aug 2009 a
