Participant,"Signature, Succession to signature(d)","Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification"
Albania,21 May 2003,2 Dec 2005
Armenia,21 May 2003,24 Jan 2011
Austria,21 May 2003,23 Mar 2010
Belgium,21 May 2003,
Bosnia and Herzegovina,21 May 2003,
Bulgaria,21 May 2003,25 Jan 2007
Croatia,23 May 2003,6 Oct 2009
Cyprus,21 May 2003,
Czech Republic,21 May 2003,19 Jul 2005
Denmark,21 May 2003,4 Jun 2012 AA
Estonia,21 May 2003,12 Apr 2010
European Union,21 May 2003,12 Nov 2008 AA
Finland,21 May 2003,18 Apr 2005 A
France,21 May 2003,
Georgia,21 May 2003,
Germany,21 May 2003,22 Feb 2007
Greece,21 May 2003,
Hungary,21 May 2003,26 Nov 2010 AA
Ireland,21 May 2003,
Italy,21 May 2003,
Latvia,21 May 2003,
Lithuania,21 May 2003,22 Mar 2011
Luxembourg,21 May 2003,2 Jul 2008
Montenegro,23 Oct 2006 d,2 Nov 2009
Netherlands,21 May 2003,8 Dec 2009 A
Norway,21 May 2003,11 Oct 2007 AA
Poland,21 May 2003,21 Jun 2011
Portugal,21 May 2003,4 Sep 2012 AA
Republic of Moldova,21 May 2003,
Romania,21 May 2003,8 Mar 2010
Serbia,21 May 2003,8 Jul 2010
Slovakia,19 Dec 2003,29 May 2008
Slovenia,22 May 2003,23 Apr 2010
Spain,21 May 2003,24 Sep 2009
Sweden,21 May 2003,30 Mar 2006
The former Yugoslav Republic of Macedonia,21 May 2003,
Ukraine,21 May 2003,
United Kingdom of Great Britain and Northern Ireland,21 May 2003,
