Participant,"Signature, Succession to signature(d)","Ratification, Acceptance(A), Approval(AA), Accession(a)"
Albania,26 Feb 1991,4 Oct 1991
Armenia,,21 Feb 1997 a
Austria,26 Feb 1991,27 Jul 1994
Azerbaijan,,25 Mar 1999 a
Belarus,26 Feb 1991,10 Nov 2005 A
Belgium,26 Feb 1991,2 Jul 1999
Bosnia and Herzegovina,,14 Dec 2009 a
Bulgaria,26 Feb 1991,12 May 1995
Canada,26 Feb 1991,13 May 1998
Croatia,,8 Jul 1996 a
Cyprus,,20 Jul 2000 a
Czech Republic,30 Sep 1993 d,26 Feb 2001
Denmark,26 Feb 1991,14 Mar 1997 AA
Estonia,,25 Apr 2001 a
European Union,26 Feb 1991,24 Jun 1997 AA
Finland,26 Feb 1991,10 Aug 1995 A
France,26 Feb 1991,15 Jun 2001 AA
Germany,26 Feb 1991,8 Aug 2002
Greece,26 Feb 1991,24 Feb 1998
Hungary,26 Feb 1991,11 Jul 1997
Iceland,26 Feb 1991,
Ireland,27 Feb 1991,25 Jul 2002
Italy,26 Feb 1991,19 Jan 1995
Kazakhstan,,11 Jan 2001 a
Kyrgyzstan,,1 May 2001 a
Latvia,,31 Aug 1998 a
Liechtenstein,,9 Jul 1998 a
Lithuania,,11 Jan 2001 a
Luxembourg,26 Feb 1991,29 Aug 1995
Malta,,20 Oct 2010 a
Montenegro,,9 Jul 2009 a
Netherlands,25 Feb 1991,28 Feb 1995 A
Norway,25 Feb 1991,23 Jun 1993
Poland,26 Feb 1991,12 Jun 1997
Portugal,26 Feb 1991,6 Apr 2000
Republic of Moldova,,4 Jan 1994 a
Romania,26 Feb 1991,29 Mar 2001
Russian Federation,6 Jun 1991,
Serbia,,18 Dec 2007 a
Slovakia,28 May 1993 d,19 Nov 1999
Slovenia,,5 Aug 1998 a
Spain,26 Feb 1991,10 Sep 1992
Sweden,26 Feb 1991,24 Jan 1992
Switzerland,,16 Sep 1996 a
The former Yugoslav Republic of Macedonia,,31 Aug 1999 a
Ukraine,26 Feb 1991,20 Jul 1999
United Kingdom of Great Britain and Northern Ireland,26 Feb 1991,10 Oct 1997
United States of America,26 Feb 1991,
