Participant,"Approval(AA), Acceptance(A), Accession(a), Ratification"
Austria,19 Nov 2012 A
Belarus,13 Feb 2013 A
Bosnia and Herzegovina,27 Jan 2010 A
Bulgaria,5 Nov 2012 A
Croatia,31 Jul 2008 A
Czech Republic,29 Jan 2008 A
Denmark,5 Jan 2012 AA
Estonia,11 Jun 2009 A
Finland,11 Dec 2007 A
France,27 Jul 2009 AA
Germany,15 Nov 2012 A
Greece,5 Jun 2013 A
Hungary,20 Jun 2005 A
Italy,29 Dec 2011
Latvia,9 Mar 2009 A
Liechtenstein,4 Jun 2012 A
Lithuania,28 Mar 2012 A
Luxembourg,10 May 2006
Netherlands,12 Jan 2006 A
Norway,25 Jun 2012 AA
Poland,31 Jan 2005
Portugal,8 Nov 2012 AA
Republic of Moldova,6 Feb 2007 A
Romania,13 Jun 2006 A
Russian Federation,6 Feb 2013 A
Serbia,27 Aug 2010 a
Slovakia,14 Mar 2013 A
Spain,24 Sep 2009 A
Sweden,20 May 2004 A
Switzerland,12 May 2011 A
Uzbekistan,28 Nov 2011 A
