Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA)"
Albania,18 Mar 1992,5 Jan 1994
Austria,18 Mar 1992,25 Jul 1996
Azerbaijan,,3 Aug 2000 a
Belarus,,29 May 2003 a
Belgium,18 Mar 1992,8 Nov 2000
Bosnia and Herzegovina,,3 Dec 2009 a
Bulgaria,18 Mar 1992,28 Oct 2003
Croatia,,8 Jul 1996 a
Czech Republic,,12 Jun 2000 a
Denmark,18 Mar 1992,28 May 1997 AA
Estonia,18 Mar 1992,16 Jun 1995
European Union,18 Mar 1992,14 Sep 1995 AA
Finland,18 Mar 1992,21 Feb 1996 A
France,18 Mar 1992,30 Jun 1998 AA
Germany,18 Mar 1992,30 Jan 1995
Greece,18 Mar 1992,6 Sep 1996
Hungary,18 Mar 1992,2 Sep 1994 AA
Italy,18 Mar 1992,23 May 1996
Kazakhstan,,11 Jan 2001 a
Latvia,18 Mar 1992,10 Dec 1996
Liechtenstein,,19 Nov 1997 a
Lithuania,18 Mar 1992,28 Apr 2000
Luxembourg,20 May 1992,7 Jun 1994
Netherlands,18 Mar 1992,14 Mar 1995 A
Norway,18 Sep 1992,1 Apr 1993 AA
Poland,18 Mar 1992,15 Mar 2000
Portugal,9 Jun 1992,9 Dec 1994
Republic of Moldova,,4 Jan 1994 a
Romania,18 Mar 1992,31 May 1995
Russian Federation,18 Mar 1992,2 Nov 1993 A
Serbia,,27 Aug 2010 a
Slovakia,,7 Jul 1999 a
Slovenia,,13 Apr 1999 a
Spain,18 Mar 1992,16 Feb 2000
Sweden,18 Mar 1992,5 Aug 1993
Switzerland,18 Mar 1992,23 May 1995
Turkmenistan,,29 Aug 2012 a
Ukraine,,8 Oct 1999 a
United Kingdom of Great Britain and Northern Ireland,18 Mar 1992,
Uzbekistan,,4 Sep 2007 a
