Participant,Signature,"Ratification, Acceptance(A), Accession(a), Approval(AA)"
Afghanistan,,25 Mar 2013 a
Albania,,1 Apr 2005 a
Algeria,,16 Feb 2005 a
Angola,,8 May 2007 a
Antigua and Barbuda,16 Mar 1998,3 Nov 1998
Argentina,16 Mar 1998,28 Sep 2001
Armenia,,25 Apr 2003 a
Australia,29 Apr 1998,12 Dec 2007
Austria,29 Apr 1998,31 May 2002
Azerbaijan,,28 Sep 2000 a
Bahamas,,9 Apr 1999 a
Bahrain,,31 Jan 2006 a
Bangladesh,,22 Oct 2001 a
Barbados,,7 Aug 2000 a
Belarus,,26 Aug 2005 a
Belgium,29 Apr 1998,31 May 2002
Belize,,26 Sep 2003 a
Benin,,25 Feb 2002 a
Bhutan,,26 Aug 2002 a
Bolivia (Plurinational State of),9 Jul 1998,30 Nov 1999
Bosnia and Herzegovina,,16 Apr 2007 a
Botswana,,8 Aug 2003 a
Brazil,29 Apr 1998,23 Aug 2002
Brunei Darussalam,,20 Aug 2009 a
Bulgaria,18 Sep 1998,15 Aug 2002
Burkina Faso,,31 Mar 2005 a
Burundi,,18 Oct 2001 a
Cambodia,,22 Aug 2002 a
Cameroon,,28 Aug 2002 a
Canada,[29 Apr 1998 ],[17 Dec 2002 ]
Cape Verde,,10 Feb 2006 a
Central African Republic,,18 Mar 2008 a
Chad,,18 Aug 2009 a
Chile,17 Jun 1998,26 Aug 2002
China,29 May 1998,30 Aug 2002 AA
Colombia,,30 Nov 2001 a
Comoros,,10 Apr 2008 a
Congo,,12 Feb 2007 a
Cook Islands,16 Sep 1998,27 Aug 2001
Costa Rica,27 Apr 1998,9 Aug 2002
Cte d'Ivoire,,23 Apr 2007 a
Croatia,11 Mar 1999,30 May 2007
Cuba,15 Mar 1999,30 Apr 2002
Cyprus,,16 Jul 1999 a
Czech Republic,23 Nov 1998,15 Nov 2001 AA
Democratic People's Republic of Korea,,27 Apr 2005 a
Democratic Republic of the Congo,,23 Mar 2005 a
Denmark,29 Apr 1998,31 May 2002
Djibouti,,12 Mar 2002 a
Dominica,,25 Jan 2005 a
Dominican Republic,,12 Feb 2002 a
Ecuador,15 Jan 1999,13 Jan 2000
Egypt,15 Mar 1999,12 Jan 2005
El Salvador,8 Jun 1998,30 Nov 1998
Equatorial Guinea,,16 Aug 2000 a
Eritrea,,28 Jul 2005 a
Estonia,3 Dec 1998,14 Oct 2002
Ethiopia,,14 Apr 2005 a
European Union,29 Apr 1998,31 May 2002 AA
Fiji,17 Sep 1998,17 Sep 1998
Finland,29 Apr 1998,31 May 2002
France,29 Apr 1998,31 May 2002 AA
Gabon,,12 Dec 2006 a
Gambia,,1 Jun 2001 a
Georgia,,16 Jun 1999 a
Germany,29 Apr 1998,31 May 2002
Ghana,,30 May 2003 a
Greece,29 Apr 1998,31 May 2002
Grenada,,6 Aug 2002 a
Guatemala,10 Jul 1998,5 Oct 1999
Guinea,,7 Sep 2000 a
Guinea-Bissau,,18 Nov 2005 a
Guyana,,5 Aug 2003 a
Haiti,,6 Jul 2005 a
Honduras,25 Feb 1999,19 Jul 2000
Hungary,,21 Aug 2002 a
Iceland,,23 May 2002 a
India,,26 Aug 2002 a
Indonesia,13 Jul 1998,3 Dec 2004
Iran (Islamic Republic of),,22 Aug 2005 a
Iraq,,28 Jul 2009 a
Ireland,29 Apr 1998,31 May 2002
Israel,16 Dec 1998,15 Mar 2004
Italy,29 Apr 1998,31 May 2002
Jamaica,,28 Jun 1999 a
Japan,28 Apr 1998,4 Jun 2002 A
Jordan,,17 Jan 2003 a
Kazakhstan,12 Mar 1999,19 Jun 2009
Kenya,,25 Feb 2005 a
Kiribati,,7 Sep 2000 a
Kuwait,,11 Mar 2005 a
Kyrgyzstan,,13 May 2003 a
Lao People's Democratic Republic,,6 Feb 2003 a
Latvia,14 Dec 1998,5 Jul 2002
Lebanon,,13 Nov 2006 a
Lesotho,,6 Sep 2000 a
Liberia,,5 Nov 2002 a
Libya,,24 Aug 2006 a
Liechtenstein,29 Jun 1998,3 Dec 2004
Lithuania,21 Sep 1998,3 Jan 2003
Luxembourg,29 Apr 1998,31 May 2002
Madagascar,,24 Sep 2003 a
Malawi,,26 Oct 2001 a
Malaysia,12 Mar 1999,4 Sep 2002
Maldives,16 Mar 1998,30 Dec 1998
Mali,27 Jan 1999,28 Mar 2002
Malta,17 Apr 1998,11 Nov 2001
Marshall Islands,17 Mar 1998,11 Aug 2003
Mauritania,,22 Jul 2005 a
Mauritius,,9 May 2001 a
Mexico,9 Jun 1998,7 Sep 2000
Micronesia (Federated States of),17 Mar 1998,21 Jun 1999
Monaco,29 Apr 1998,27 Feb 2006
Mongolia,,15 Dec 1999 a
Montenegro,,4 Jun 2007 a
Morocco,,25 Jan 2002 a
Mozambique,,18 Jan 2005 a
Myanmar,,13 Aug 2003 a
Namibia,,4 Sep 2003 a
Nauru,,16 Aug 2001 a
Nepal,,16 Sep 2005 a
Netherlands,29 Apr 1998,31 May 2002 A
New Zealand,22 May 1998,19 Dec 2002
Nicaragua,7 Jul 1998,18 Nov 1999
Niger,23 Oct 1998,30 Sep 2004
Nigeria,,10 Dec 2004 a
Niue,8 Dec 1998,6 May 1999
Norway,29 Apr 1998,30 May 2002
Oman,,19 Jan 2005 a
Pakistan,,11 Jan 2005 a
Palau,,10 Dec 1999 a
Panama,8 Jun 1998,5 Mar 1999
Papua New Guinea,2 Mar 1999,28 Mar 2002
Paraguay,25 Aug 1998,27 Aug 1999
Peru,13 Nov 1998,12 Sep 2002
Philippines,15 Apr 1998,20 Nov 2003
Poland,15 Jul 1998,13 Dec 2002
Portugal,29 Apr 1998,31 May 2002 AA
Qatar,,11 Jan 2005 a
Republic of Korea,25 Sep 1998,8 Nov 2002
Republic of Moldova,,22 Apr 2003 a
Romania,5 Jan 1999,19 Mar 2001
Russian Federation,11 Mar 1999,18 Nov 2004
Rwanda,,22 Jul 2004 a
Samoa,16 Mar 1998,27 Nov 2000
San Marino,,28 Apr 2010 a
Sao Tome and Principe,,25 Apr 2008 a
Saudi Arabia,,31 Jan 2005 a
Senegal,,20 Jul 2001 a
Serbia,,19 Oct 2007 a
Seychelles,20 Mar 1998,22 Jul 2002
Sierra Leone,,10 Nov 2006 a
Singapore,,12 Apr 2006 a
Slovakia,26 Feb 1999,31 May 2002
Slovenia,21 Oct 1998,2 Aug 2002
Solomon Islands,29 Sep 1998,13 Mar 2003
Somalia,,26 Jul 2010 a
South Africa,,31 Jul 2002 a
Spain,29 Apr 1998,31 May 2002
Sri Lanka,,3 Sep 2002 a
St. Kitts and Nevis,,8 Apr 2008 a
St. Lucia,16 Mar 1998,20 Aug 2003
St. Vincent and the Grenadines,19 Mar 1998,31 Dec 2004
Sudan,,2 Nov 2004 a
Suriname,,25 Sep 2006 a
Swaziland,,13 Jan 2006 a
Sweden,29 Apr 1998,31 May 2002
Switzerland,16 Mar 1998,9 Jul 2003
Syrian Arab Republic,,27 Jan 2006 a
Tajikistan,,29 Dec 2008 a
Thailand,2 Feb 1999,28 Aug 2002
The former Yugoslav Republic of Macedonia,,18 Nov 2004 a
Timor-Leste,,14 Oct 2008 a
Togo,,2 Jul 2004 a
Tonga,,14 Jan 2008 a
Trinidad and Tobago,7 Jan 1999,28 Jan 1999
Tunisia,,22 Jan 2003 a
Turkey,,28 May 2009 a
Turkmenistan,28 Sep 1998,11 Jan 1999
Tuvalu,16 Nov 1998,16 Nov 1998
Uganda,,25 Mar 2002 a
Ukraine,15 Mar 1999,12 Apr 2004
United Arab Emirates,,26 Jan 2005 a
United Kingdom of Great Britain and Northern Ireland,29 Apr 1998,31 May 2002
United Republic of Tanzania,,26 Aug 2002 a
United States of America,12 Nov 1998,
Uruguay,29 Jul 1998,5 Feb 2001
Uzbekistan,20 Nov 1998,12 Oct 1999
Vanuatu,,17 Jul 2001 a
Venezuela (Bolivarian Republic of),,18 Feb 2005 a
Viet Nam,3 Dec 1998,25 Sep 2002
Yemen,,15 Sep 2004 a
Zambia,5 Aug 1998,7 Jul 2006
Zimbabwe,,30 Jun 2009 a
