Participant,Application
Albania,15 Dec 2003
Angola,9 May 2012
Argentina,10 Oct 1963
Australia,9 May 1986
Austria,10 Nov 1959
Belgium,14 Mar 1962
Bosnia and Herzegovina,1 Sep 1993
Brazil,22 Mar 1963
Bulgaria,24 Jan 2000
Burkina Faso,6 Apr 1962
Cameroon,30 Apr 1992
China,30 Jun 1981
Cte d'Ivoire,4 Jun 1962
Croatia,12 Oct 1992
Czech Republic,22 Feb 1993
Democratic Republic of the Congo,8 Dec 1964
Denmark,19 Jul 1961
Egypt,24 May 1976
Estonia,7 Nov 2008
Finland,27 Jul 1959
France,2 Aug 2000
Gabon,30 Nov 1982
Gambia,1 Aug 1966
Georgia,18 Jul 2007
Germany,12 Apr 1962
Greece,21 Jun 1977
Guatemala,26 Jan 2005
Guinea,29 Mar 1968
Guyana,13 Sep 1973
Hungary,12 Nov 1991
Iceland,17 Jan 2006
India,3 Aug 1961
Indonesia,8 Mar 1972
Iran (Islamic Republic of),16 May 1974
Ireland,10 May 1967
Italy,30 Aug 1985
Japan,18 Apr 1963
Kenya,1 Jul 1965
Kuwait,7 Feb 1963
Lao People's Democratic Republic,9 Aug 1960
Latvia,19 Dec 2005
Lesotho,26 Nov 1969
Lithuania,10 Feb 1997
Madagascar,3 Jan 1966
Malawi,2 Aug 1965
Malta,13 Feb 1969
Montenegro,23 Oct 2006
Morocco,3 Nov 1976
Mozambique,6 Oct 2011
Netherlands,28 Jun 1965
Norway,10 Nov 1960
Pakistan,17 Jul 1962
Paraguay,13 Jan 2006
Philippines,13 Jan 1961
Poland,1 Nov 1990
Portugal,8 Nov 2012
Republic of Moldova,2 Sep 2011
Romania,26 Aug 2010
Russian Federation,29 Jun 1994
Senegal,2 Mar 1966
Serbia,12 Mar 2001
Seychelles,24 Jul 1985
Slovakia,28 May 1993
Slovenia,6 Jul 1992
South Africa,30 Aug 2002
Spain,26 Sep 1974
Sweden,3 Sep 1960
Switzerland,25 Sep 2012
Thailand,19 Jun 1961
The former Yugoslav Republic of Macedonia,11 Mar 1996
Trinidad and Tobago,6 Oct 2004
Uganda,11 Aug 1983
Ukraine,25 Feb 1993
United Arab Emirates,11 Dec 2003
United Republic of Tanzania,10 Apr 1963
Uzbekistan,18 Feb 1997
Vanuatu,2 Jan 2008
Zimbabwe,5 Mar 1991
