Participant,Application
Austria,1 Nov 1957
Bahamas,17 Mar 1977
Croatia,12 Oct 1992
Denmark,14 Oct 1957
Egypt,3 Feb 1958
Fiji,21 Jun 1971
Germany,5 Sep 1958
Ghana,9 Sep 1958
India,31 Jul 1958
Libya,30 Apr 1958
Montenegro,23 Oct 2006
Nigeria,26 Jun 1961
Norway,11 Sep 1957
Serbia,12 Mar 2001
Sierra Leone,13 Mar 1962
Sweden,22 Aug 1957
Thailand,19 Jun 1961
The former Yugoslav Republic of Macedonia,11 Mar 1996
Tonga,17 Mar 1976
Tunisia,19 May 1958
United Kingdom of Great Britain and Northern Ireland,30 Sep 1957
Zambia,16 Jun 1975
