Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,,6 Oct 1965 a
Albania,18 Apr 1961,8 Feb 1988
Algeria,,14 Apr 1964 a
Andorra,,3 Jul 1996 a
Angola,,9 Aug 1990 a
Argentina,18 Apr 1961,10 Oct 1963
Armenia,,23 Jun 1993 a
Australia,30 Mar 1962,26 Jan 1968
Austria,18 Apr 1961,28 Apr 1966
Azerbaijan,,13 Aug 1992 a
Bahamas,,17 Mar 1977 d
Bahrain,,2 Nov 1971 a
Bangladesh,,13 Jan 1978 d
Barbados,,6 May 1968 d
Belarus,18 Apr 1961,14 May 1964
Belgium,23 Oct 1961,2 May 1968
Belize,,30 Nov 2000 a
Benin,,27 Mar 1967 a
Bhutan,,7 Dec 1972 a
Bolivia (Plurinational State of),,28 Dec 1977 a
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,11 Apr 1969 a
Brazil,18 Apr 1961,25 Mar 1965
Brunei Darussalam,,24 May 2013 a
Bulgaria,18 Apr 1961,17 Jan 1968
Burkina Faso,,4 May 1987 a
Burundi,,1 May 1968 a
Cambodia,,31 Aug 1965 a
Cameroon,,4 Mar 1977 a
Canada,5 Feb 1962,26 May 1966
Cape Verde,,30 Jul 1979 a
Central African Republic,28 Mar 1962,19 Mar 1973
Chad,,3 Nov 1977 a
Chile,18 Apr 1961,9 Jan 1968
China,,25 Nov 1975 a
Colombia,18 Apr 1961,5 Apr 1973
Comoros,,27 Sep 2004 a
Congo,,11 Mar 1963 a
Costa Rica,14 Feb 1962,9 Nov 1964
Cote d'Ivoire,,1 Oct 1962 a
Croatia,,12 Oct 1992 d
Cuba,16 Jan 1962,26 Sep 1963
Cyprus,,10 Sep 1968 a
Czech Republic,,22 Feb 1993 d
Democratic People's Republic of Korea,,29 Oct 1980 a
Democratic Republic of the Congo,18 Apr 1961,19 Jul 1965
Denmark,18 Apr 1961,2 Oct 1968
Djibouti,,2 Nov 1978 a
Dominica,,24 Nov 1987 d
Dominican Republic,30 Mar 1962,14 Jan 1964
Ecuador,18 Apr 1961,21 Sep 1964
Egypt,,9 Jun 1964 a
El Salvador,,9 Dec 1965 a
Equatorial Guinea,,30 Aug 1976 a
Eritrea,,14 Jan 1997 a
Estonia,,21 Oct 1991 a
Ethiopia,,22 Mar 1979 a
