Participant,"Signature, Succession to signature(d)","Ratification, Accession(a)"
Belgium,,9 Sep 1970 a
Bosnia and Herzegovina,12 Jan 1994 d,
Botswana,,12 May 2008 a
Brazil,24 Apr 1963,
Bulgaria,,11 Jul 1989 a
Cameroon,21 Aug 1963,
Colombia,24 Apr 1963,
Congo,24 Apr 1963,
Democratic Republic of the Congo,24 Apr 1963,
Denmark,24 Apr 1963,15 Nov 1972
Dominican Republic,24 Apr 1963,4 Mar 1964
Egypt,,21 Jun 1965 a
Estonia,,21 Oct 1991 a
Finland,28 Oct 1963,2 Jul 1980
Gabon,,23 Feb 1965 a
Germany,31 Oct 1963,7 Sep 1971
Ghana,24 Apr 1963,4 Oct 1963
Iceland,,1 Jun 1978 a
India,,28 Nov 1977 a
Indonesia,,4 Jun 1982 a
Iran (Islamic Republic of),,5 Jun 1975 a
Iraq,,14 Jan 1970 a
Italy,22 Nov 1963,25 Jun 1969
Kenya,,1 Jul 1965 a
Kuwait,10 Jan 1964,
Lao People's Democratic Republic,,9 Aug 1973 a
Liberia,24 Apr 1963,
Madagascar,,17 Feb 1967 a
Malawi,,23 Feb 1981 a
Montenegro,23 Oct 2006 d,
Morocco,,23 Feb 1977 a
Nauru,,14 Dec 2012 a
Nepal,,28 Sep 1965 a
Netherlands,,17 Dec 1985 a
New Zealand,,5 Sep 2003 a
Nicaragua,,9 Jan 1990 a
Niger,,21 Jun 1978 a
Norway,24 Apr 1963,13 Feb 1980
Oman,,31 May 1974 a
Panama,4 Dec 1963,28 Aug 1967
Paraguay,,23 Dec 1969 a
Philippines,,15 Nov 1965 a
Republic of Korea,,7 Mar 1977 a
Senegal,,29 Apr 1966 a
Serbia,12 Mar 2001 d,
Suriname,,11 Sep 1980 a
Sweden,8 Oct 1963,19 Mar 1974
Switzerland,,12 Jun 1992 a
Thailand,,15 Apr 1999 a
Tunisia,,24 Jan 1968 a
