Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA), Succession(d)"
Algeria,16 May 1986,27 Oct 1988
Angola,,9 Aug 1990 a
Antigua and Barbuda,28 May 1986,9 Sep 1987
Bahamas,20 May 1986,13 Nov 1986
Barbados,16 May 1986,2 Oct 1986
Belarus,16 May 1986,1 Jul 1987
Benin,16 May 1986,
Bolivia (Plurinational State of),16 May 1986,27 Apr 1988
Bosnia and Herzegovina,,1 Sep 1993 d
Bulgaria,10 Jun 1986,18 Aug 1987
Burkina Faso,16 May 1986,29 Jun 1988
Burundi,16 May 1986,
Cameroon,21 Mar 1988,
Cape Verde,16 May 1986,
Central African Republic,16 May 1986,
China,21 Oct 1987,
Colombia,31 Jul 1986,
Croatia,,12 Oct 1992 d
Cuba,16 May 1986,11 Dec 1990
Cyprus,9 Jul 1987,
Czech Republic,,22 Feb 1993 d
Democratic Republic of the Congo,16 May 1986,
Ecuador,16 May 1986,12 Jun 1991
Egypt,16 May 1986,2 Apr 1991
Equatorial Guinea,,27 Mar 1987 a
Estonia,,21 Oct 1991 a
Ethiopia,16 May 1986,22 Jul 1987
Gabon,16 May 1986,
Ghana,16 May 1986,24 Mar 1988
Guinea,16 May 1986,10 Oct 1989
Guinea-Bissau,16 May 1986,
Guyana,1 Oct 1986,1 Oct 1986
Haiti,16 May 1986,
Hungary,25 Jun 1986,
India,,12 Sep 1990 a
Indonesia,16 May 1986,23 Jul 1993
Iran (Islamic Republic of),16 May 1986,12 Jan 1988
Iraq,,30 Jan 1989 a
Jamaica,16 May 1986,2 Oct 1986
Jordan,16 May 1986,26 Aug 1987
Kenya,16 May 1986,
Kuwait,,28 Aug 1998 a
Kyrgyzstan,,19 Jul 2005 a
Latvia,,14 Apr 1992 a
Lebanon,7 Nov 1986,
Liberia,2 May 1986,
Libya,16 May 1986,29 Jun 1988
Madagascar,16 May 1986,
Malaysia,16 May 1986,
Maldives,3 Oct 1986,
Mali,,7 Feb 1989 a
Mauritania,18 Jan 1988,13 Dec 1988
Mauritius,,26 Jun 1990 a
Mexico,16 May 1986,18 Jun 1987
Mongolia,16 May 1986,16 Dec 1987 AA
Montenegro,,23 Oct 2006 d
Morocco,16 May 1986,
Nepal,24 Jun 1986,1 Mar 1989
Nicaragua,16 May 1986,
Niger,27 May 1986,2 Sep 1986
Nigeria,16 May 1986,20 May 1987
Panama,16 May 1986,
Peru,30 May 1986,7 Jul 1988
Philippines,16 May 1986,27 Jul 1987
Poland,16 May 1986,4 Mar 1988
Qatar,3 Dec 1987,19 Jan 1988
Russian Federation,16 May 1986,11 Jun 1987
Rwanda,16 May 1986,
Senegal,16 May 1986,15 Oct 1986
Serbia,,12 Mar 2001 d
Sierra Leone,16 May 1986,
Somalia,4 Jun 1986,
St. Kitts and Nevis,16 May 1986,5 Dec 1988
St. Lucia,29 May 1987,
Sudan,16 May 1986,23 Feb 1990
Syrian Arab Republic,16 Mar 1986,28 Nov 1988
Togo,29 May 1986,23 Apr 1987
Trinidad and Tobago,21 May 1986,11 Oct 1990
Tunisia,16 May 1986,25 Sep 1989
Uganda,16 May 1986,29 Aug 1986
Ukraine,16 May 1986,19 Jun 1987
United Republic of Tanzania,16 May 1986,13 Jan 1989
Uruguay,28 May 1986,26 Jan 1988
Venezuela (Bolivarian Republic of),16 May 1986,3 Oct 1989
Yemen,16 May 1986,
Zambia,10 Feb 1988,8 Mar 1988
Zimbabwe,16 May 1986,14 Jul 1987
