Participant,"Acceptance(A), Succession(d)"
Algeria,21 Jan 1998 A
Andorra,17 Jan 1997 A
Argentina,2 Mar 1999 A
Austria,1 Feb 2002 A
Bahamas,23 Oct 2001 A
Bahrain,13 Jun 2000 A
Bangladesh,23 Apr 1997 A
Belarus,23 Sep 2003 A
Belgium,29 Jun 2004 A
Belize,15 Dec 2000 A
Bhutan,17 Mar 1999 A
Bolivia (Plurinational State of),15 Mar 1999 A
Botswana,6 Mar 2002 A
Brazil,26 Feb 1998 A
Brunei Darussalam,28 Jun 2000 A
Bulgaria,25 Jun 1999 A
Burkina Faso,26 Jul 1999 A
Cambodia,12 Aug 1997 A
Cameroon,5 Oct 2001 A
Canada,17 Sep 1997 A
Chad,16 May 2002 A
Chile,19 Aug 1997 A
China,10 Jul 2002 A
Colombia,31 Jan 1997 A
Congo,28 Feb 2000 A
Costa Rica,12 Feb 1997 A
Cote d'Ivoire,25 Sep 2001 A
Croatia,26 May 1998 A
Cuba,23 Oct 1996 A
Cyprus,20 Sep 2001 A
Czech Republic,23 May 2000 A
Democratic People's Republic of Korea,23 Feb 2000 A
Denmark,10 Sep 1996 A
Djibouti,21 Sep 2001 A
Dominica,5 Jul 2001 A
Ecuador,25 Feb 1998 A
Egypt,28 Dec 1998 A
Estonia,6 Dec 2000 A
Ethiopia,15 Apr 1998 A
Fiji,20 Aug 1997 A
Finland,3 Jan 1997 A
France,20 Jun 1997 A
Georgia,11 Apr 2000 A
Germany,25 Jun 1997 A
Ghana,3 Feb 2011 A
Greece,23 Sep 1997 A
Grenada,20 May 1999 A
Guatemala,26 Dec 2002 A
Guinea,14 May 1999 A
Guyana,15 Sep 1998 A
Haiti,20 Dec 2000 A
Holy See,15 Aug 1996 A
Iceland,14 Jan 2000 A
Indonesia,17 Dec 1998 A
Iran (Islamic Republic of),13 Nov 2001 A
Iraq,31 Dec 2001 A
Ireland,18 Nov 2002 A
Israel,27 Dec 1999 A
Italy,14 Sep 1999 A
Jamaica,6 Apr 1998 A
Japan,12 Jun 2003 A
Jordan,24 Sep 2002 A
Kenya,12 Feb 2003 A
Kiribati,9 Sep 2002 A
Kuwait,9 May 2003 A
Kyrgyzstan,31 May 2000 A
Lao People's Democratic Republic,22 Sep 1997 A
Latvia,15 Nov 2005 A
Lebanon,14 Jul 2000 A
Lesotho,12 Nov 2001 A
Liberia,16 Sep 2005 A
Libya,24 Sep 2004 A
Liechtenstein,21 Jan 2000 A
Lithuania,27 Mar 2002 A
Luxembourg,11 Jul 2000 A
Malaysia,19 Aug 2002 A
Maldives,2 Nov 1998 A
Mali,4 Mar 1999 A
Malta,1 May 1997 A
Mauritania,20 Aug 1999 A
Mauritius,25 Aug 1999 A
Mexico,22 Sep 1997 A
Monaco,26 May 1999 A
Mongolia,19 Dec 1997 A
Montenegro,23 Oct 2006 d
Morocco,27 Jan 1997 A
Mozambique,4 Mar 1999 A
Myanmar,9 Jun 2000 A
Namibia,11 Dec 2001 A
Netherlands,4 Dec 1996 A
New Zealand,16 Jun 2000 A
Nicaragua,23 Jan 2003 A
Niger,24 Oct 2001 A
Norway,24 Feb 2000 A
Oman,16 Oct 2002 A
Pakistan,19 Jan 2000 A
Palau,26 Apr 2002 A
Panama,5 Nov 1996 A
Paraguay,12 Dec 2003 A
Peru,26 Jan 2000 A
Philippines,14 Jan 1998 A
Poland,2 Sep 1999 A
Portugal,29 Jun 1998 A
Qatar,5 May 1999 A
Republic of Korea,3 Feb 1999 A
Republic of Moldova,30 Jan 1998 A
Romania,3 Oct 2002 A
Russian Federation,1 May 1998 A
Rwanda,19 Sep 2001 A
Samoa,22 Mar 2002 A
San Marino,10 Oct 2000 A
Saudi Arabia,30 Jun 1997 A
Senegal,5 Nov 2003 A
Serbia,4 Oct 2001 A
Sierra Leone,27 Nov 2001 A
Singapore,29 Mar 2000 A
Slovakia,29 Jul 1999 A
South Africa,5 Aug 1997 A
Spain,13 Jan 1998 A
Sri Lanka,29 Feb 2000 A
Sudan,9 Apr 2001 A
Suriname,23 May 2002 A
Swaziland,17 Jan 2002 A
Sweden,17 Oct 1996 A
Switzerland,2 Dec 1997 A
Syrian Arab Republic,16 Jun 2000 A
Thailand,30 Apr 1998 A
The former Yugoslav Republic of Macedonia,16 Oct 1996 A
Togo,19 Jun 1996 A
Trinidad and Tobago,1 Nov 1996 A
Tunisia,29 Mar 2001 A
Turkey,9 Dec 1999 A
Uganda,27 Jun 1997 A
Ukraine,3 Jul 2003 A
United Arab Emirates,11 Nov 1997 A
United Kingdom of Great Britain and Northern Ireland,17 Jul 1997 A
Uruguay,17 Feb 1999 A
Uzbekistan,25 Apr 1997 A
Venezuela (Bolivarian Republic of),2 Nov 1998 A
Viet Nam,11 Jan 2000 A
Yemen,3 Apr 1997 A
Zambia,9 Aug 2000 A
Zimbabwe,27 Aug 2002 A
