Participant,Signature,"Ratification, Accession(a), Succession(d)"
Albania,,23 Jun 2003 a
Andorra,9 Jul 2001,14 Oct 2002
Angola,,1 Nov 2007 a
Antigua and Barbuda,,5 Jun 2006 a
Argentina,28 Feb 2000,20 Mar 2007
Armenia,,14 Sep 2006 a
Australia,,4 Dec 2008 a
Austria,10 Dec 1999,6 Sep 2000
Azerbaijan,6 Jun 2000,1 Jun 2001
Bangladesh,6 Sep 2000,6 Sep 2000
Belarus,29 Apr 2002,3 Feb 2004
Belgium,10 Dec 1999,17 Jun 2004
Belize,,9 Dec 2002 a
Benin,25 May 2000,
Bolivia (Plurinational State of),10 Dec 1999,27 Sep 2000
Bosnia and Herzegovina,7 Sep 2000,4 Sep 2002
Botswana,,21 Feb 2007 a
Brazil,13 Mar 2001,28 Jun 2002
Bulgaria,6 Jun 2000,20 Sep 2006
Burkina Faso,16 Nov 2001,10 Oct 2005
Burundi,13 Nov 2001,
Cambodia,11 Nov 2001,13 Oct 2010
Cameroon,,7 Jan 2005 a
Canada,,18 Oct 2002 a
Cape Verde,,10 Oct 2011 a
Chad,26 Sep 2012,
Chile,10 Dec 1999,
Colombia,10 Dec 1999,23 Jan 2007
Congo,29 Sep 2008,
Cook Islands,,27 Nov 2007 a
Costa Rica,10 Dec 1999,20 Sep 2001
Côte d'Ivoire,,20 Jan 2012 a
Croatia,5 Jun 2000,7 Mar 2001
Cuba,17 Mar 2000,
Cyprus,8 Feb 2001,26 Apr 2002
Czech Republic,10 Dec 1999,26 Feb 2001
Denmark,10 Dec 1999,31 May 2000
Dominican Republic,14 Mar 2000,10 Aug 2001
Ecuador,10 Dec 1999,5 Feb 2002
El Salvador,4 Apr 2001,
Equatorial Guinea,,16 Oct 2009 a
Finland,10 Dec 1999,29 Dec 2000
France,10 Dec 1999,9 Jun 2000
Gabon,,5 Nov 2004 a
Georgia,,1 Aug 2002 a
Germany,10 Dec 1999,15 Jan 2002
Ghana,24 Feb 2000,3 Feb 2011
Greece,10 Dec 1999,24 Jan 2002
Guatemala,7 Sep 2000,9 May 2002
Guinea-Bissau,12 Sep 2000,5 Aug 2009
Hungary,,22 Dec 2000 a
Iceland,10 Dec 1999,6 Mar 2001
Indonesia,28 Feb 2000,
Ireland,7 Sep 2000,7 Sep 2000
Italy,10 Dec 1999,22 Sep 2000
Kazakhstan,6 Sep 2000,24 Aug 2001
Kyrgyzstan,,22 Jul 2002 a
Lesotho,6 Sep 2000,24 Sep 2004
Liberia,22 Sep 2004,
Libya,,18 Jun 2004 a
Liechtenstein,10 Dec 1999,24 Oct 2001
Lithuania,8 Sep 2000,5 Aug 2004
Luxembourg,10 Dec 1999,1 Jul 2003
Madagascar,7 Sep 2000,
Malawi,7 Sep 2000,
Maldives,,13 Mar 2006 a
Mali,,5 Dec 2000 a
Mauritius,11 Nov 2001,31 Oct 2008
Mexico,10 Dec 1999,15 Mar 2002
Mongolia,7 Sep 2000,28 Mar 2002
Montenegro,,23 Oct 2006 d
Mozambique,,4 Nov 2008 a
Namibia,19 May 2000,26 May 2000
Nepal,18 Dec 2001,15 Jun 2007
Netherlands,10 Dec 1999,22 May 2002
New Zealand,7 Sep 2000,7 Sep 2000
Niger,,30 Sep 2004 a
Nigeria,8 Sep 2000,22 Nov 2004
Norway,10 Dec 1999,5 Mar 2002
Panama,9 Jun 2000,9 May 2001
Paraguay,28 Dec 1999,14 May 2001
Peru,22 Dec 2000,9 Apr 2001
Philippines,21 Mar 2000,12 Nov 2003
Poland,,22 Dec 2003 a
Portugal,16 Feb 2000,26 Apr 2002
Republic of Korea,,18 Oct 2006 a
Republic of Moldova,,28 Feb 2006 a
Romania,6 Sep 2000,25 Aug 2003
Russian Federation,8 May 2001,28 Jul 2004
Rwanda,,15 Dec 2008 a
San Marino,,15 Sep 2005 a
Sao Tome and Principe,6 Sep 2000,
Senegal,10 Dec 1999,26 May 2000
Serbia,,31 Jul 2003 a
Seychelles,22 Jul 2002,1 Mar 2011
Sierra Leone,8 Sep 2000,
Slovakia,5 Jun 2000,17 Nov 2000
Slovenia,10 Dec 1999,23 Sep 2004
Solomon Islands,,6 May 2002 a
South Africa,,18 Oct 2005 a
Spain,14 Mar 2000,6 Jul 2001
Sri Lanka,,15 Oct 2002 a
St. Kitts and Nevis,,20 Jan 2006 a
Sweden,10 Dec 1999,24 Apr 2003
Switzerland,15 Feb 2007,29 Sep 2008
Tajikistan,7 Sep 2000,
Thailand,14 Jun 2000,14 Jun 2000
The former Yugoslav Republic of Macedonia,3 Apr 2000,17 Oct 2003
Timor-Leste,,16 Apr 2003 a
Tunisia,,23 Sep 2008 a
Turkey,8 Sep 2000,29 Oct 2002
Turkmenistan,,20 May 2009 a
Ukraine,7 Sep 2000,26 Sep 2003
United Kingdom of Great Britain and Northern Ireland,,17 Dec 2004 a
United Republic of Tanzania,,12 Jan 2006 a
Uruguay,9 May 2000,26 Jul 2001
Vanuatu,,17 May 2007 a
Venezuela (Bolivarian Republic of),17 Mar 2000,13 May 2002
Zambia,29 Sep 2008,
