Participant,Acceptance(A)
Australia,15 Oct 1993 A
Bulgaria,2 Mar 1995 A
Canada,8 Feb 1995 A
China,10 Jul 2002 A
Colombia,1 Sep 1999 A
Cyprus,22 Feb 1994 A
Denmark,3 Sep 1993 A
Ecuador,6 Sep 1995 A
Finland,5 Feb 1993 A
France,24 May 1994 A
Germany,8 Oct 1996 A
Iceland,23 Oct 1996 A
Liberia,16 Sep 2005 A
Liechtenstein,24 Aug 1994 A
Luxembourg,31 Jan 2005 A
Mexico,15 Mar 2002 A
Morocco,11 Sep 2012 A
Nauru,26 Sep 2012 A
Netherlands,24 Jan 1995 A
New Zealand,8 Oct 1993 A
Norway,6 Oct 1993 A
Philippines,27 Nov 1996 A
Poland,23 Mar 2009 A
Portugal,17 Apr 1998 A
Seychelles,23 Jul 1993 A
Spain,5 May 1999 A
Sweden,14 May 1993 A
Switzerland,10 Dec 1993 A
Ukraine,17 Jun 1994 A
United Kingdom of Great Britain and Northern Ireland,7 Feb 1994 A
