Participant,Signature,"Accession(a), Succession(d), Ratification"
Afghanistan,,30 Aug 2005 a
Albania,,18 Aug 1992 a
Algeria,,21 Feb 1963 d
Angola,,23 Jun 1981 a
Antigua and Barbuda,,7 Sep 1995 a
Argentina,,15 Nov 1961 a
Armenia,,6 Jul 1993 a
Australia,,22 Jan 1954 a
Austria,28 Jul 1951,1 Nov 1954
Azerbaijan,,12 Feb 1993 a
Bahamas,,15 Sep 1993 a
Belarus,,23 Aug 2001 a
Belgium,28 Jul 1951,22 Jul 1953
Belize,,27 Jun 1990 a
Benin,,4 Apr 1962 d
Bolivia (Plurinational State of),,9 Feb 1982 a
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,6 Jan 1969 a
Brazil,15 Jul 1952,16 Nov 1960
Bulgaria,,12 May 1993 a
Burkina Faso,,18 Jun 1980 a
Burundi,,19 Jul 1963 a
Cambodia,,15 Oct 1992 a
Cameroon,,23 Oct 1961 d
Canada,,4 Jun 1969 a
Central African Republic,,4 Sep 1962 d
Chad,,19 Aug 1981 a
Chile,,28 Jan 1972 a
China,,24 Sep 1982 a
Colombia,28 Jul 1951,10 Oct 1961
Congo,,15 Oct 1962 d
Costa Rica,,28 Mar 1978 a
Cte d'Ivoire,,8 Dec 1961 d
Croatia,,12 Oct 1992 d
Cyprus,,16 May 1963 d
Czech Republic,,11 May 1993 d
Democratic Republic of the Congo,,19 Jul 1965 a
Denmark,28 Jul 1951,4 Dec 1952
Djibouti,,9 Aug 1977 d
Dominica,,17 Feb 1994 a
Dominican Republic,,4 Jan 1978 a
Ecuador,,17 Aug 1955 a
Egypt,,22 May 1981 a
El Salvador,,28 Apr 1983 a
Equatorial Guinea,,7 Feb 1986 a
Estonia,,10 Apr 1997 a
Ethiopia,,10 Nov 1969 a
Fiji,,12 Jun 1972 d
Finland,,10 Oct 1968 a
France,11 Sep 1952,23 Jun 1954
Gabon,,27 Apr 1964 a
Gambia,,7 Sep 1966 d
Georgia,,9 Aug 1999 a
Germany,19 Nov 1951,1 Dec 1953
Ghana,,18 Mar 1963 a
Greece,10 Apr 1952,5 Apr 1960
Guatemala,,22 Sep 1983 a
Guinea,,28 Dec 1965 d
Guinea-Bissau,,11 Feb 1976 a
Haiti,,25 Sep 1984 a
Holy See,21 May 1952,15 Mar 1956
Honduras,,23 Mar 1992 a
Hungary,,14 Mar 1989 a
Iceland,,30 Nov 1955 a
Iran (Islamic Republic of),,28 Jul 1976 a
Ireland,,29 Nov 1956 a
Israel,1 Aug 1951,1 Oct 1954
Italy,23 Jul 1952,15 Nov 1954
Jamaica,,30 Jul 1964 d
Japan,,3 Oct 1981 a
Kazakhstan,,15 Jan 1999 a
Kenya,,16 May 1966 a
Kyrgyzstan,,8 Oct 1996 a
Latvia,,31 Jul 1997 a
Lesotho,,14 May 1981 a
Liberia,,15 Oct 1964 a
Liechtenstein,28 Jul 1951,8 Mar 1957
Lithuania,,28 Apr 1997 a
Luxembourg,28 Jul 1951,23 Jul 1953
Madagascar,,18 Dec 1967 a
Malawi,,10 Dec 1987 a
Mali,,2 Feb 1973 d
Malta,,17 Jun 1971 a
Mauritania,,5 May 1987 a
Mexico,,7 Jun 2000 a
Monaco,,18 May 1954 a
Montenegro,,10 Oct 2006 d
Morocco,,7 Nov 1956 d
Mozambique,,16 Dec 1983 a
Namibia,,17 Feb 1995 a
Nauru,,28 Jun 2011 a
Netherlands,28 Jul 1951,3 May 1956
New Zealand,,30 Jun 1960 a
Nicaragua,,28 Mar 1980 a
Niger,,25 Aug 1961 d
Nigeria,,23 Oct 1967 a
Norway,28 Jul 1951,23 Mar 1953
Panama,,2 Aug 1978 a
Papua New Guinea,,17 Jul 1986 a
Paraguay,,1 Apr 1970 a
Peru,,21 Dec 1964 a
Philippines,,22 Jul 1981 a
Poland,,27 Sep 1991 a
Portugal,,22 Dec 1960 a
Republic of Korea,,3 Dec 1992 a
Republic of Moldova,,31 Jan 2002 a
Romania,,7 Aug 1991 a
Russian Federation,,2 Feb 1993 a
Rwanda,,3 Jan 1980 a
Samoa,,21 Sep 1988 a
Sao Tome and Principe,,1 Feb 1978 a
Senegal,,2 May 1963 d
Serbia,,12 Mar 2001 d
Seychelles,,23 Apr 1980 a
Sierra Leone,,22 May 1981 a
Slovakia,,4 Feb 1993 d
Slovenia,,6 Jul 1992 d
Solomon Islands,,28 Feb 1995 a
Somalia,,10 Oct 1978 a
South Africa,,12 Jan 1996 a
Spain,,14 Aug 1978 a
St. Kitts and Nevis,,1 Feb 2002 a
St. Vincent and the Grenadines,,3 Nov 1993 a
Sudan,,22 Feb 1974 a
Suriname,,29 Nov 1978 d
Swaziland,,14 Feb 2000 a
Sweden,28 Jul 1951,26 Oct 1954
Switzerland,28 Jul 1951,21 Jan 1955
Tajikistan,,7 Dec 1993 a
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Timor-Leste,,7 May 2003 a
Togo,,27 Feb 1962 d
Trinidad and Tobago,,10 Nov 2000 a
Tunisia,,24 Oct 1957 d
Turkey,24 Aug 1951,30 Mar 1962
Turkmenistan,,2 Mar 1998 a
Tuvalu,,7 Mar 1986 d
Uganda,,27 Sep 1976 a
Ukraine,,10 Jun 2002 a
United Kingdom of Great Britain and Northern Ireland,28 Jul 1951,11 Mar 1954
United Republic of Tanzania,,12 May 1964 a
Uruguay,,22 Sep 1970 a
Yemen,,18 Jan 1980 a
Zambia,,24 Sep 1969 d
Zimbabwe,,25 Aug 1981 a
