Participant,"Accession(a), Succession(d)"
Afghanistan,30 Aug 2005 a
Albania,18 Aug 1992 a
Algeria,8 Nov 1967 a
Angola,23 Jun 1981 a
Antigua and Barbuda,7 Sep 1995 a
Argentina,6 Dec 1967 a
Armenia,6 Jul 1993 a
Australia,13 Dec 1973 a
Austria,5 Sep 1973 a
Azerbaijan,12 Feb 1993 a
Bahamas,15 Sep 1993 a
Belarus,23 Aug 2001 a
Belgium,8 Apr 1969 a
Belize,27 Jun 1990 a
Benin,6 Jul 1970 a
Bolivia (Plurinational State of),9 Feb 1982 a
Bosnia and Herzegovina,1 Sep 1993 d
Botswana,6 Jan 1969 a
Brazil,7 Apr 1972 a
Bulgaria,12 May 1993 a
Burkina Faso,18 Jun 1980 a
Burundi,15 Mar 1971 a
Cambodia,15 Oct 1992 a
Cameroon,19 Sep 1967 a
Canada,4 Jun 1969 a
Cape Verde,9 Jul 1987 a
Central African Republic,30 Aug 1967 a
Chad,19 Aug 1981 a
Chile,27 Apr 1972 a
China,24 Sep 1982 a
Colombia,4 Mar 1980 a
Congo,10 Jul 1970 a
Costa Rica,28 Mar 1978 a
Cte d'Ivoire,16 Feb 1970 a
Croatia,12 Oct 1992 d
Cyprus,9 Jul 1968 a
Czech Republic,11 May 1993 d
Democratic Republic of the Congo,13 Jan 1975 a
Denmark,29 Jan 1968 a
Djibouti,9 Aug 1977 d
Dominica,17 Feb 1994 a
Dominican Republic,4 Jan 1978 a
Ecuador,6 Mar 1969 a
Egypt,22 May 1981 a
El Salvador,28 Apr 1983 a
Equatorial Guinea,7 Feb 1986 a
Estonia,10 Apr 1997 a
Ethiopia,10 Nov 1969 a
Fiji,12 Jun 1972 d
Finland,10 Oct 1968 a
France,3 Feb 1971 a
Gabon,28 Aug 1973 a
Gambia,29 Sep 1967 a
Georgia,9 Aug 1999 a
Germany,5 Nov 1969 a
Ghana,30 Oct 1968 a
Greece,7 Aug 1968 a
Guatemala,22 Sep 1983 a
Guinea,16 May 1968 a
Guinea-Bissau,11 Feb 1976 a
Haiti,25 Sep 1984 a
Holy See,8 Jun 1967 a
Honduras,23 Mar 1992 a
Hungary,14 Mar 1989 a
Iceland,26 Apr 1968 a
Iran (Islamic Republic of),28 Jul 1976 a
Ireland,6 Nov 1968 a
Israel,14 Jun 1968 a
Italy,26 Jan 1972 a
Jamaica,30 Oct 1980 a
Japan,1 Jan 1982 a
Kazakhstan,15 Jan 1999 a
Kenya,13 Nov 1981 a
Kyrgyzstan,8 Oct 1996 a
Latvia,31 Jul 1997 a
Lesotho,14 May 1981 a
Liberia,27 Feb 1980 a
Liechtenstein,20 May 1968 a
Lithuania,28 Apr 1997 a
Luxembourg,22 Apr 1971 a
Malawi,10 Dec 1987 a
Mali,2 Feb 1973 a
Malta,15 Sep 1971 a
Mauritania,5 May 1987 a
Mexico,7 Jun 2000 a
Monaco,16 Jun 2010 a
Montenegro,10 Oct 2006 d
Morocco,20 Apr 1971 a
Mozambique,1 May 1989 a
Namibia,17 Feb 1995 a
Nauru,28 Jun 2011 a
Netherlands,29 Nov 1968 a
New Zealand,6 Aug 1973 a
Nicaragua,28 Mar 1980 a
Niger,2 Feb 1970 a
Nigeria,2 May 1968 a
Norway,28 Nov 1967 a
Panama,2 Aug 1978 a
Papua New Guinea,17 Jul 1986 a
Paraguay,1 Apr 1970 a
Peru,15 Sep 1983 a
Philippines,22 Jul 1981 a
Poland,27 Sep 1991 a
Portugal,13 Jul 1976 a
Republic of Korea,3 Dec 1992 a
Republic of Moldova,31 Jan 2002 a
Romania,7 Aug 1991 a
Russian Federation,2 Feb 1993 a
Rwanda,3 Jan 1980 a
Samoa,29 Nov 1994 a
Sao Tome and Principe,1 Feb 1978 a
Senegal,3 Oct 1967 a
Serbia,12 Mar 2001 d
Seychelles,23 Apr 1980 a
Sierra Leone,22 May 1981 a
Slovakia,4 Feb 1993 d
Slovenia,6 Jul 1992 d
Solomon Islands,12 Apr 1995 a
Somalia,10 Oct 1978 a
South Africa,12 Jan 1996 a
Spain,14 Aug 1978 a
St. Vincent and the Grenadines,3 Nov 2003 a
Sudan,23 May 1974 a
Suriname,29 Nov 1978 d
Swaziland,28 Jan 1969 a
Sweden,4 Oct 1967 a
Switzerland,20 May 1968 a
Tajikistan,7 Dec 1993 a
The former Yugoslav Republic of Macedonia,18 Jan 1994 d
Timor-Leste,7 May 2003 a
Togo,1 Dec 1969 a
Trinidad and Tobago,10 Nov 2000 a
Tunisia,16 Oct 1968 a
Turkey,31 Jul 1968 a
Turkmenistan,2 Mar 1998 a
Tuvalu,7 Mar 1986 d
Uganda,27 Sep 1976 a
Ukraine,4 Apr 2002 a
United Kingdom of Great Britain and Northern Ireland,4 Sep 1968 a
United Republic of Tanzania,4 Sep 1968 a
United States of America,1 Nov 1968 a
Uruguay,22 Sep 1970 a
Venezuela (Bolivarian Republic of),19 Sep 1986 a
Yemen,18 Jan 1980 a
Zambia,24 Sep 1969 a
Zimbabwe,25 Aug 1981 a
