Participant,"Definitive signature of the Protocol, Acceptance of the Protocol","Ratification of the Convention as amended, Accession to the Convention as amended(a)"
Austria,,17 May 1950
Belgium,11 Dec 1946,
Brazil,17 Dec 1946,
Cambodia,,3 Oct 1951 a
Cameroon,,15 Jan 1962 a
Canada,11 Dec 1946,
Chile,,21 Nov 1972 a
China,11 Dec 1946,
Colombia,11 Dec 1946,
Cote d'Ivoire,,20 Dec 1961 a
Cuba,,9 Aug 1967
Dominican Republic,,9 Jun 1958 a
Egypt,13 Sep 1948,
Ethiopia,,9 Sep 1947 a
France,10 Oct 1947,
Greece,21 Feb 1949,
Haiti,31 May 1951,
India,11 Dec 1946,
Indonesia,,3 Apr 1958 a
Israel,,16 May 1952 a
Italy,,3 Apr 1961 a
Japan,,7 Sep 1955
Jordan,,7 May 1958 a
Lao People's Democratic Republic,,13 Jul 1951 a
Liechtenstein,,24 May 1961 a
Luxembourg,,28 Jun 1955 a
Madagascar,,11 Dec 1974 a
Malawi,,8 Jun 1965 a
Mexico,,6 May 1955
Netherlands,,[19 Mar 1959 ]
Romania,11 Oct 1961,
Rwanda,,15 Jul 1981 a
Spain,,5 Jun 1970
Sri Lanka,,4 Dec 1957 a
Switzerland,,31 Dec 1952
Turkey,11 Dec 1946,
